Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,date
8,5/5/1/3/1/1,,HAPPY FORCE,B227,M L Yeung,,8,T P Yung,66,0,1073,+19,1.21.89,4,-,g,2178100,1,B,Happy Yeah Yeah Syndicate,Pierro,Hosiery,PPG,118.0,TURF - C Course,1400M,GOOD TO FIRM,Class 3,9,ST,20190608
9,10/5/4/11/11/10,,STARSHIP,V379,M Chadwick,,9,P O'Sullivan,64,-2,1161,-3,1.22.43,6,-,g,917700,2,B,David Sin Wai Kin,Husson,Ourkohinoor,PP,118.0,TURF - C Course,1400M,GOOD TO FIRM,Class 3,9,ST,20190608
10,4/9/7/6/10/9,,CIRCUIT HASSLER,A041,C Schofield,,6,A S Cruz,63,-1,1194,+16,1.20.67,6,-,g,199350,1,B/H/TT,Chan Wing Kwan Chang Wing Yiu & Cheung Kwok Wa,Shocking,Zaquabeel,PP,117.0,TURF - C Course,1400M,GOOD TO FIRM,Class 3,9,ST,20190608
11,4/1/5/9/12/3,,BEAUTY ENERGY,B149,K Teetan,,1,J Moore,61,0,1035,-10,1.21.76,5,-,g,851000,1,B/TT,Kwok Siu Ming,Delegator,Michelle Shift,PP,115.0,TURF - C Course,1400M,GOOD TO FIRM,Class 3,9,ST,20190608
1,10/3/4/7,,TELECOM PUMA,C181,N Callan,,9,K H Ting,80,0,1122,-2,,4,-,g,241500,1,TT,Bobby Cheung King Chuen,Burgundy,Pride And Passion,PP,133.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
2,10/11/10/6/8/10,,KING OF HEARTS,C145,K Teetan,,6,A S Cruz,76,-2,1038,-11,1.09.80,4,-,g,0,+ 1,B/TT,Connie Siu Kim Ying,Society Rock,Yajala,PP,129.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
3,-,,BEAUTY SPARK,C318,Z Purton,,4,F C Lor,73,-,1129,-,,3,-,g,0,+ 1,CP1/TT1,Eleanor Kwok Law Kwai Chun,All American,Bubbly Duchess,PP,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
4,-,,PING HAI GALAXY,C377,J Moreira,,8,J Size,73,-,1073,-,,3,-,g,0,+ 1,,Zeng Shengli,The Factor,De Lago Flash,PP,126.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
5,-,,STAR OF YUEN LONG,C303,K C Leung,,11,K L Man,72,-,1090,-,,3,-,g,0,+ 1,,Friend of Yuen Long Merchants Assn Syndicate,Makfi,C'Mon Cuba,PP,125.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
6,7,,CLASSIC POSH,C327,C Schofield,,5,D J Hall,70,0,1050,-10,,3,-,g,0,1,,Shirley Tsang Huang Yang,Testa Rossa,Makaha,PP,123.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
7,12/8,,WINNING FEELING,C324,M Chadwick,,10,D E Ferraris,69,-2,1303,-3,,3,-,g,0,1,,Dr Anthony W K Chow & Michael Tong Hing Yuen,O'Reilly,Rabsha,PP,122.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
8,1/1,,GOLDEN SIXTY,C238,C Y Ho,,3,K W Lui,68,+6,1066,-9,1.09.03,3,-,g,1311000,1,,Stanley Chan Ka Leung,Medaglia d'Oro,Gaudeamus,PPG,121.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
9,3/1/1/2,,MR CROISSANT,C234,H N Wong,,12,W Y So,68,0,1069,-9,1.08.91,3,-,g,1672100,1,,Li Sai Hung Li Yau Hing Darren Li Sai Wa & Jimmy Li Sai Hang,Darci Brahma,Surreptitiously,PPG,118.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
10,14/12/8,,SHOUSON,C326,K H Chan,,7,J Moore,66,-2,1126,+9,1.10.22,3,-,g,0,1,B,Vincent Li Hoi Yuen Justin Li Cheng Yan & Vivian Li Yi Mei,Star Witness,Fille The Joy,PP,109.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
11,9/10/7/12/14,,SPEEDY LUCK,C144,M F Poon,,1,P F Yiu,64,-2,1195,+10,1.10.32,4,-,g,0,+ 1,H/TT,Eddie Chung Kwok Leung,Poet's Voice,Maziona,PP,114.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
12,1/10/2/3,,DIAMOND BRILLIANT,B372,M L Yeung,,2,T P Yung,62,+6,1166,-10,1.09.64,4,-,g,832600,1,CP/TT,Mr & Mrs Jimmy Tang,Not A Single Doubt,Aringarosa,ISG,113.0,TURF - C Course,1200M,GOOD TO FIRM,Class 3,10,ST,20190608
