date,raceCourse,raceNo,going,raceName,road,money,class,dist,plc,horseNo,horseName,jockey,trainer,awt,dhw,draw,lbw,runPos,finishTime,odds
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,8,1,PING HAI TREASURE(B407),J Moreira,J Size,133,1115,6,4-1/4,2 1 1 5 8,1:49.11,10
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,9,2,VINCY(B213),J McDonald,F C Lor,131,1053,8,4-1/2,4 5 6 7 9,1:49.15,9.2
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,10,10,RED ELYSEES(A005),C Y Ho,K L Man,120,1136,14,5-1/2,6 4 2 6 10,1:49.29,12
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,11,4,PIKACHU(S298),M Chadwick,D E Ferraris,128,1145,2,7,5 6 7 9 11,1:49.56,45
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,12,8,WILLIE WAY(T281),G van Niekerk,P O'Sullivan,122,1128,10,7-3/4,12 14 12 10 12,1:49.65,42
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,13,12,SUPER HERO(B270),T H So,Y S Tsui,114,1155,12,11-1/2,14 12 13 14 13,1:50.27,299
2019/05/26,ST,10,GOOD TO YIELDING,BLAZING SPEED HANDICAP,TURF - "A" Course,1380000,Class 3,1800M,14,14,GREEN DISPATCH(V184),C Wong,C S Shum,110,1185,5,11-3/4,1 3 4 11 14,1:50.30,96
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,1,4,HEZTHEWONFORUS(B287),J Moreira,J Size,121,1127,14,-,1 1 1 1,1:21.73,3.1
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,2,6,FAST MOST FURIOUS(A165),Z Purton,D J Hall,120,1100,10,NOSE,8 6 7 2,1:21.73,6
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,3,2,STYLING CITY(B280),J McDonald,J Moore,132,1159,12,1-1/2,2 2 2 3,1:21.97,15
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,4,10,MY DARLING(V142),M Chadwick,T P Yung,117,1164,11,1-1/2,3 5 3 4,1:21.98,45
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,5,5,EASY GO EASY WIN(B112),C Schofield,J Moore,120,1125,7,2,10 10 10 5,1:22.05,13
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,6,3,GOLD CHEST(C146),K Teetan,R Gibson,121,1089,2,2-3/4,7 9 8 6,1:22.16,24
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,7,12,REGENCY BO BO(A050),M F Poon,C S Shum,114,1141,5,2-3/4,6 8 9 7,1:22.17,9.6
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,8,11,NEW ASIA SUNRISE(T268),K C Leung,Y S Tsui,117,995,1,3,5 7 6 8,1:22.19,29
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,9,14,KASI FARASI(B385),C Wong,K H Ting,110,1052,8,3-1/4,11 3 5 9,1:22.27,6.2
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,10,9,COT CAMPBELL(C298),G van Niekerk,A T Millard,117,1092,6,3-1/2,9 11 11 10,1:22.29,39
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,11,1,CALIFORNIA WHIP(A114),U Rispoli,A S Cruz,133,1173,4,4-1/2,4 4 4 11,1:22.45,13
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,12,8,NOBLE STEED(A326),R Bayliss,K W Lui,118,1127,3,5-3/4,12 12 12 12,1:22.64,10
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,13,7,PERFECT GLORY(B411),C Y Ho,C Fownes,119,1079,13,6,14 13 13 13,1:22.70,36
2019/05/26,ST,11,GOOD TO YIELDING,VIVA PATACA HANDICAP,TURF - "A" Course,1950000,Class 2,1400M,14,13,SEERITE DRAGON(C294),H T Mo,D E Ferraris,114,1206,9,8-1/4,13 14 14 14,1:23.04,283
