7,8,SUPER EURO STAR(V313),K C Leung,C W Chang,120,1073,4,5-1/4,3 5 7,1:10.67,18
8,2,JOYFUL HEART(C227),K Teetan,F C Lor,133,1175,8,6-3/4,9 10 8,1:10.92,11
9,10,CAPTAIN BOSS(B096),M Chadwick,A T Millard,118,1155,10,6-3/4,4 4 9,1:10.92,32
10,4,LONDON MASTER(T345),N Callan,D E Ferraris,131,1083,9,7-1/2,7 8 10,1:11.05,17
11,1,DALRADIAN(A213),U Rispoli,C H Yip,133,1140,11,8-1/4,10 11 11,1:11.15,67
12,6,REGENCY GEM(C035),M F Poon,W Y So,118,1205,12,11,12 12 12,1:11.62,208
1,2,RULETHEROOST(B299),U Rispoli,F C Lor,132,1119,2,-,5 5 6 6 1,1:49.57,3.7
2,10,MANAGEMENT STAR(B006),C Y Ho,K W Lui,116,1085,3,N,6 6 5 5 2,1:49.61,7
3,4,SALTO OLIMPICO(A350),K C Leung,D J Hall,131,1143,5,N,1 1 1 1 3,1:49.64,6.5
4,8,ENJOY LIFE(A125),M L Yeung,Y S Tsui,118,1112,1,3/4,4 3 3 3 4,1:49.72,8.9
5,7,GOOD DAYS(A333),R Bayliss,C S Shum,122,1099,8,1,7 7 7 7 5,1:49.75,13
6,5,SANGRIA(A065),N Callan,D E Ferraris,131,1037,12,1-1/4,11 11 11 11 6,1:49.77,10
7,11,ABOVE(B345),C Schofield,J Moore,117,1009,4,2-1/4,2 4 4 4 7,1:49.95,79
8,3,KING'S MAN(V156),Z Purton,P F Yiu,131,1131,9,2-3/4,9 10 10 10 8,1:50.01,7.2
9,6,GARLIC YEAH(V039),H T Mo,C H Yip,121,998,7,3,8 8 8 8 9,1:50.04,29
10,12,LUCKY SHINY DAY(A273),K Teetan,L Ho,114,1011,10,4-3/4,10 9 9 9 10,1:50.32,9
11,1,SMART BABY(A160),C Wong,C Fownes,128,1254,11,6-1/4,12 12 12 12 11,1:50.56,21
12,9,LITTLE ISLAND(T390),M F Poon,K L Man,117,1048,6,8-1/4,3 2 2 2 12,1:50.90,57
WV,,HOLY UNICORN(V179),M Chadwick,K H Ting,120,---,---,---,---,---,---
1,7,SPEED VISION(B211),C Wong,F C Lor,124,1159,3,-,1 1 1,1:09.81,2.5
2,6,SPEEDY KING(A391),K C Leung,P F Yiu,130,1139,4,3/4,2 3 2,1:09.93,17
3,3,FANTASTIC FEELING(T273),N Callan,D E Ferraris,131,1238,5,2-1/4,5 5 3,1:10.18,8.7
4,4,INFINITY ENDEAVOUR(A030),J Moreira,J Size,131,1077,10,2-3/4,10 9 4,1:10.24,11
5,5,SEVEN HEAVENS(B089),Z Purton,C Fownes,130,1073,9,2-3/4,8 8 5,1:10.26,5.2
6,10,CASA DE FORCA(C289),K Teetan,A S Cruz,118,1182,7,3,3 2 6,1:10.29,78
7,8,MEGA RED(V078),H N Wong,C W Chang,125,1151,6,4-1/4,12 12 7,1:10.50,61
8,2,STARLIGHT(V273),U Rispoli,C H Yip,132,1066,1,4-3/4,7 7 8,1:10.56,12
9,1,PEOPLE'S KNIGHT(T305),R Bayliss,J Moore,133,1172,8,5-1/2,6 6 9,1:10.70,21
10,11,CEREFINO(A398),C Schofield,W Y So,117,1082,11,5-3/4,11 11 10,1:10.73,111
11,12,POWERMAX(A009),M F Poon,R Gibson,113,1159,12,6-1/2,9 10 11,1:10.87,59
12,9,KA YING LEGEND(B234),M L Yeung,T P Yung,121,1109,2,7-1/2,4 4 12,1:11.00,5.3
