# Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer
8,天賦致寶 ,S417,AUS,Eugenie Gold,CASH COURIER,30/09/2010,Cash Courier,PP,Strada,5cc1847dcce52f167ae98bda,115,Class 5,S417,2018/07/15,1230,1800M,1,1:50.07,GOOD,CASH COURIER,13,J Moreira,-,660000,7.3,1,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,5 5 4 4 1,D J Hall
4,文武傳奇 ,B137,NZ,Spiriting,CLEMENT LEGEND,20/09/2014,----,PPG,Ocean Park,5cc1847dcce52f167ae98bdb,124,Class 5,B137,2018/07/15,1108,1800M,6,1:50.39,GOOD,CLEMENT LEGEND,9,A Sanna,2,660000,22,5,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,8 7 6 8 5,C S Shum
8,大運舞台 ,T256,NZ,The Quarewan,THE SHOW,17/09/2010,The Show,PP,High Chaparral,5cc1847dcce52f167ae98bdc,130,Class 5,T256,2018/07/15,1088,1800M,14,1:50.46,GOOD,THE SHOW,4,U Rispoli,2-1/2,660000,32,6,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,1 1 1 1 6,C H Yip
6,日東昇 ,V302,AUS,Dellwood Diva,SUNNY ORIENT,28/11/2012,Net Wealth,PP,Written Tycoon,5cc1847dcce52f167ae98bdd,133,Class 5,V302,2018/07/15,1149,1800M,9,1:50.62,GOOD,SUNNY ORIENT,1,N Callan,3-1/2,660000,28,7,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,9 9 8 7 7,A T Millard
7,小奇妙 ,T298,AUS,Derrycarna,LITTLE FANTASY,13/09/2011,Midnight Allure,PP,Excites,5cc1847dcce52f167ae98bde,119,Class 5,T298,2018/07/15,1222,1800M,4,1:50.91,GOOD,LITTLE FANTASY,10,M F Poon,5-1/4,660000,8.9,9,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,4 4 5 6 9,K L Man
8,有衝勁 ,T220,GB,Chinese White,BEST EFFORT,25/03/2011,Chinese Jade,PP,Cape Cross,5cc1847dcce52f167ae98bdf,132,Class 5,T220,2018/07/15,984,1800M,12,1:50.63,GOOD,BEST EFFORT,2,Z Purton,3-1/2,660000,3.3,8,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,3 2 2 2 8,A Lee
6,葵涌老友 ,A012,AUS,Shezgonewest,KWAICHUNG BROTHERS,29/09/2012,Apache Arrow,PPG,Racer's Edge,5cc1847dcce52f167ae98be0,129,Class 5,A012,2018/07/15,1169,1800M,13,1:51.37,GOOD,KWAICHUNG BROTHERS,3,H N Wong,8,660000,43,11,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,14 13 13 13 11,R Gibson
5,五陵霸 ,A311,AUS,Judicial Queen,SPORTS MASTER,19/08/2013,----,ISG,Magic Albert,5cc1847dcce52f167ae98be4,129,Class 5,A311,2018/07/15,1145,1800M,5,1:50.34,GOOD,SPORTS MASTER,5,K Teetan,1-3/4,660000,12,4,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,11 12 12 10 4,P F Yiu
6,哥哥仔 ,V074,AUS,Libor Lady,OTOUTO,25/09/2012,Libidosun,PP,Haradasun,5cc1847dcce52f167ae98be6,122,Class 5,V074,2018/07/15,1072,1200M,1,1:12.10,YIELDING,OTOUTO,10,K Teetan,-,660000,5.8,1,ST,MR AWARD HANDICAP,2,TURF - A Course,3 2 1,A T Millard
6,乘勝追擊 ,V369,IRE,Heavens Peak,LE PANACHE,15/05/2013,Battle Pride,PP,Acclamation,5cc1847dcce52f167ae98be8,125,Class 5,V369,2018/07/15,1076,1800M,2,1:50.10,GOOD,LE PANACHE,14,D Whyte,HD,660000,3.4,2,ST,MEDIC KINGDOM HANDICAP,1,TURF - A Course,6 6 7 5 2,T P Yung
5,洪荒駿駒 ,A031,AUS,Sunday Service,EXPONENTS,12/11/2013,Exponents,PPG,Foxwedge,5cc1847dcce52f167ae98be9,117,Class 5,A031,2018/07/15,1131,1200M,2,1:12.20,YIELDING,EXPONENTS,11,H N Wong,1/2,660000,3.2,2,ST,MR AWARD HANDICAP,2,TURF - A Course,1 1 2,Y S Tsui
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5cc1847dcce52f167ae98beb,132,Class 5,T129,2018/07/15,1161,1200M,12,1:13.34,YIELDING,MULTIMAX,4,Z Purton,7-3/4,660000,3.2,4,ST,MR AWARD HANDICAP,2,TURF - A Course,2 3 4,A S Cruz
5,寶驫有盈 ,A348,NZ,Molly Dear,HAPPY HAPPY,30/09/2013,----,PPG,Rip Van Winkle,5cc1847dcce52f167ae98bec,130,Class 5,A348,2018/07/15,1139,1200M,4,1:13.55,YIELDING,HAPPY HAPPY,6,N Callan,9,660000,13,6,ST,MR AWARD HANDICAP,2,TURF - A Course,4 4 6,L Ho
9,大笑大少 ,P297,AUS,Zazie,LAUGH OUT LOUD,24/10/2009,Queneau,PP,Casino Prince,5cc1847dcce52f167ae98bed,133,Class 5,P297,2018/07/15,1165,1200M,7,1:13.54,YIELDING,LAUGH OUT LOUD,2,C Schofield,9,660000,33,5,ST,MR AWARD HANDICAP,2,TURF - A Course,7 6 5,K L Man
6,喜悅明駒 ,A044,NZ,Miraflores,DOCTORS DELIGHT,22/09/2012,----,PPG,Casino Prince,5cc1847dcce52f167ae98bf0,130,Class 5,A044,2018/07/15,1004,1200M,14,1:14.07,YIELDING,DOCTORS DELIGHT,3,C Y Ho,12-1/4,660000,22,9,ST,MR AWARD HANDICAP,2,TURF - A Course,12 10 9,C Fownes
9,確威龍 ,P190,GB,Gee Kel,COUR VALANT,09/02/2010,Cour Valant,PP,Bahamian Bounty,5cc1847dcce52f167ae98bf2,127,Class 5,P190,2018/07/15,1041,1200M,3,1:14.39,YIELDING,COUR VALANT,7,S Clipperton,14-1/4,660000,26,11,ST,MR AWARD HANDICAP,2,TURF - A Course,5 5 11,D Cruz
6,好叻仔 ,V102,AUS,Free Spirited,SUPERIOR BOY,11/11/2012,----,PPG,Magic Albert,5cc1847dcce52f167ae98bf5,131,Class 5,V102,2018/07/15,---,1200M,---,---,YIELDING,SUPERIOR BOY,5,J Moreira,---,660000,---,WV-A,ST,MR AWARD HANDICAP,2,TURF - A Course,---,W Y So
5,上浦福滿 ,A193,FR,Arthurs Princess,GENERAL DINO,30/03/2014,L'Ami Cagnois,PP,Doctor Dino,5cc1847dcce52f167ae98bf7,131,Class 4,A193,2018/07/15,1032,1800M,2,1:51.84,YIELDING,GENERAL DINO,3,D Whyte,HD,880000,13,2,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,2 6 7 6 2,D E Ferraris
5,新界之星 ,A081,AUS,Nandi,INDIGENOUS STAR,09/09/2013,----,PPG,Exceed And Excel,5cc1847dcce52f167ae98bf8,114,Class 4,A081,2018/07/15,1016,1800M,11,1:52.09,YIELDING,INDIGENOUS STAR,13,K C Leung,1-3/4,880000,5.8,3,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,12 13 12 10 3,P F Yiu
5,鑽飾神聖 ,A419,NZ,Mill Duckie,RIGHTEOUS MATE,13/10/2013,Righteous Mate,PP,Savabeel,5cc1847dcce52f167ae98bfa,124,Class 4,A419,2018/07/15,1186,1800M,7,1:52.36,YIELDING,RIGHTEOUS MATE,6,A Sanna,3-1/2,880000,22,5,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,10 1 2 1 5,K W Lui
9,勁勇威龍 ,S078,NZ,Annie Daly,SPINNING DANCER,04/09/2009,Spinning Dancer,PP,Commands,5cc1847dcce52f167ae98bfb,111,Class 4,S078,2018/07/15,1063,1800M,8,1:52.37,YIELDING,SPINNING DANCER,14,K C Ng,3-1/2,880000,139,6,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,1 3 4 3 6,K L Man
5,如沐春風 ,B150,IRE,Drops,ENJOYABLE SUCCESS,14/02/2014,Majoris,PP,Frankel,5cc1847dcce52f167ae98bfc,125,Class 4,B150,2018/07/15,1050,1800M,1,1:52.37,YIELDING,ENJOYABLE SUCCESS,5,N Callan,3-1/2,880000,9.5,7,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,7 7 10 7 7,C W Chang
6,喜盈運 ,V337,AUS,Missun,HAY RUN,12/10/2012,Automatic Choice,PP,Delightful Choice,5cc1847dcce52f167ae98bfd,132,Class 4,V337,2018/07/15,1108,1800M,10,1:52.47,YIELDING,HAY RUN,1,C Schofield,4-1/4,880000,18,8,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,4 2 3 4 8,L Ho
6,牛精輝煌 ,A118,IRE,Biz Bar,BULLISH GLORY,24/04/2013,Biz Heart,PP,Roderic O'Connor,5cc1847dcce52f167ae98bfe,131,Class 4,A118,2018/07/15,1091,1800M,6,1:52.54,YIELDING,BULLISH GLORY,2,B Prebble,4-1/2,880000,6.3,9,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,6 5 1 2 9,A S Cruz
6,蒜頭爺爺 ,V039,NZ,Eden,GARLIC YEAH,11/11/2012,----,PPG,Savabeel,5cc1847dcce52f167ae98c00,128,Class 4,V039,2018/07/15,991,1800M,13,1:52.71,YIELDING,GARLIC YEAH,4,Z Purton,5-3/4,880000,11,11,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,11 9 5 5 11,C H Yip
6,駿協精英 ,V207,AUS,Krysia,ASSOCIATION FANS,06/09/2012,Gotham,PP,Onemorenomore,5cc1847dcce52f167ae98c01,117,Class 4,V207,2018/07/15,1190,1800M,9,1:52.79,YIELDING,ASSOCIATION FANS,11,M Chadwick,6-1/4,880000,26,12,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,9 12 11 12 12,L Ho
8,好腳頭 ,S131,NZ,Mrs Squillionaire,GOOD FIT,03/11/2010,----,PPG,Encosta de Lago,5cc1847dcce52f167ae98c02,122,Class 4,S131,2018/07/15,1145,1800M,12,1:55.32,YIELDING,GOOD FIT,8,J Moreira,22,880000,8.1,13,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,13 11 9 13 13,F C Lor
8,其樂無窮 ,S147,GB,Puzzling,HAPPY ROCKY,03/04/2011,----,PPG,Champs Elysees,5cc1847dcce52f167ae98c03,121,Class 4,S147,2018/07/15,---,1800M,---,---,YIELDING,HAPPY ROCKY,9,K Teetan,---,880000,---,WV,ST,SOLAR HEI HEI HANDICAP,3,TURF - A Course,---,A Lee
7,帝豪寶貝 ,T138,NZ,Alleyrun,REGENCY DARLING,30/10/2011,----,PPG,Guillotine,5cc1847dcce52f167ae98c04,117,Class 4,T138,2018/07/15,1272,1200M,4,1:10.98,YIELDING,REGENCY DARLING,13,M Chadwick,-,880000,10,1,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,2 1 1,K L Man
5,快利 ,A006,AUS,Metung Belle,ALL YOU NEED,09/10/2013,Major Rich,PPG,Danerich,5cc1847dcce52f167ae98c06,133,Class 4,A006,2018/07/15,1181,1200M,7,1:11.26,YIELDING,ALL YOU NEED,1,Z Purton,1-3/4,880000,6.5,3,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,6 4 3,R Gibson
4,好運 ,B376,AUS,Seamstress,TOUCH OF LUCK,24/08/2014,----,ISG,Hard Spun,5cc1847dcce52f167ae98c07,125,Class 4,B376,2018/07/15,1159,1200M,3,1:11.28,YIELDING,TOUCH OF LUCK,9,B Prebble,2,880000,12,4,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,10 6 4,W Y So
4,帶榮來 ,B197,AUS,Kiss And Cuddle,MY WINNER,25/09/2014,----,PPG,Denman,5cc1847dcce52f167ae98c09,129,Class 4,B197,2018/07/15,1116,1200M,14,1:11.61,YIELDING,MY WINNER,7,T Berry,4,880000,15,6,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,12 11 6,P F Yiu
4,龍串鳳 ,B116,AUS,Jemison,COMPLACENCY,14/09/2014,Complacency,PPG,Charge Forward,5cc1847dcce52f167ae98c0a,128,Class 4,B116,2018/07/15,1094,1200M,12,1:11.93,YIELDING,COMPLACENCY,4,C Y Ho,6,880000,15,7,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,8 10 7,A S Cruz
4,利之喜 ,A405,AUS,The Girlfriend,LIVERBIRD STAR,06/10/2014,----,PPG,Magnus,5cc1847dcce52f167ae98c0b,115,Class 4,A405,2018/07/15,1149,1200M,5,1:12.10,YIELDING,LIVERBIRD STAR,11,H N Wong,7,880000,51,8,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,3 7 8,P O'Sullivan
5,驫驫 ,A315,NZ,Luscious Legs,BEAUT BEAUT,07/08/2013,----,ISG,Darci Brahma,5cc1847dcce52f167ae98c0c,132,Class 4,A315,2018/07/15,1171,1200M,2,1:12.48,YIELDING,BEAUT BEAUT,2,N Callan,9-1/2,880000,10,10,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,7 5 10,L Ho
4,飛雲騅 ,B274,AUS,Deal Or No Deal,LIGHTNING STEED,11/10/2014,Golden Deal,PPG,California Dane,5cc1847dcce52f167ae98c0d,130,Class 4,B274,2018/07/15,1093,1200M,6,1:12.37,YIELDING,LIGHTNING STEED,5,J Moreira,8-3/4,880000,4.2,9,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,1 3 9,M J Freedman
5,愛飛一號 ,B058,AUS,Alberton Park,FLYING LOVER,17/10/2013,Thorin,PP,Sepoy,5cc1847dcce52f167ae98c0f,124,Class 4,B058,2018/07/15,1065,1200M,10,1:12.59,YIELDING,FLYING LOVER,6,M F Poon,10,880000,9.2,11,ST,VICTORY MARVEL HANDICAP,4,TURF - A Course,9 12 11,Y S Tsui
4,同歡樂 ,B084,NZ,Black Beauty,HAVE FUN TOGETHER,10/11/2014,----,PPG,Thewayyouare,5cc1847dcce52f167ae98c12,131,Class 4,B084,2018/07/15,1077,1400M,4,1:24.51,YIELDING,HAVE FUN TOGETHER,3,J Moreira,1-3/4,880000,2.3,4,ST,BIG PROFIT HANDICAP,5,TURF - A Course,14 13 13 4,F C Lor
4,投資旺 ,A424,AUS,Thebe,INVESTOR BOOM,24/10/2014,----,PPG,Foxwedge,5cc1847dcce52f167ae98c13,119,Class 4,A424,2018/07/15,1171,1400M,8,1:24.39,YIELDING,INVESTOR BOOM,13,M Chadwick,1,880000,87,2,ST,BIG PROFIT HANDICAP,5,TURF - A Course,8 9 7 2,P F Yiu
5,麥芽糖 ,A231,IRE,Definite Opinion,SWEETIE BARLEY,24/03/2014,Kruger Park,PP,Requinto,5cc1847dcce52f167ae98c14,133,Class 4,A231,2018/07/15,1060,1400M,11,1:25.27,YIELDING,SWEETIE BARLEY,1,Z Purton,6-1/2,880000,29,6,ST,BIG PROFIT HANDICAP,5,TURF - A Course,10 10 9 6,C Fownes
5,清新動力 ,B067,NZ,Bannisters,FRESH POWER,14/10/2013,Air Fresh,PPG,Makfi,5cc1847dcce52f167ae98c15,123,Class 4,B067,2018/07/15,1013,1400M,13,1:25.30,YIELDING,FRESH POWER,6,C Y Ho,6-3/4,880000,12,7,ST,BIG PROFIT HANDICAP,5,TURF - A Course,3 4 5 7,Y S Tsui
5,烽煙四喜 ,A036,AUS,Jarada,ELUSIVE STATE,22/08/2013,Elusive State,PP,All American,5cc1847dcce52f167ae98c16,124,Class 4,A036,2018/07/15,1052,1400M,3,1:24.22,YIELDING,ELUSIVE STATE,9,S Clipperton,-,880000,12,1,ST,BIG PROFIT HANDICAP,5,TURF - A Course,9 6 3 1,D Cruz
5,猴王駒 ,A336,AUS,Creative Plan,THE CREATETH,20/09/2013,Henry The Createth,PP,Henrythenavigator,5cc1847dcce52f167ae98c17,131,Class 4,A336,2018/07/15,1104,1400M,5,1:25.62,YIELDING,THE CREATETH,4,D Whyte,8-3/4,880000,13,9,ST,BIG PROFIT HANDICAP,5,TURF - A Course,4 7 10 9,M J Freedman
6,雷超 ,V414,AUS,Joy In Winning,RAICHU,25/10/2012,Raichu,PP,Lope de Vega,5cc1847dcce52f167ae98c18,117,Class 4,V414,2018/07/15,1020,1400M,12,1:26.65,YIELDING,RAICHU,14,C Schofield,15-1/4,880000,70,10,ST,BIG PROFIT HANDICAP,5,TURF - A Course,2 3 4 10,D E Ferraris
4,金碧科 ,B225,AUS,Gingerbread,GOLDEN FOUR,27/08/2014,Denman Hill,PPG,Denman,5cc1847dcce52f167ae98c19,122,Class 4,B225,2018/07/15,1008,1400M,14,1:24.61,YIELDING,GOLDEN FOUR,12,U Rispoli,2-1/2,880000,8.3,5,ST,BIG PROFIT HANDICAP,5,TURF - A Course,11 12 12 5,C W Chang
5,銀亮之星 ,B027,AUS,Umoya,SPLIT OF A SECOND,02/10/2013,----,PPG,Helmet,5cc1847dcce52f167ae98c1b,124,Class 4,B027,2018/07/15,1080,1400M,7,1:28.83,YIELDING,SPLIT OF A SECOND,10,N Callan,28-3/4,880000,11,13,ST,BIG PROFIT HANDICAP,5,TURF - A Course,1 2 2 13,L Ho
5,怪獸都市 ,A190,NZ,Holiday In Goa,VIVA COUNCIL,26/10/2013,----,PPG,O'Reilly,5cc1847dcce52f167ae98c1d,127,Class 4,A190,2018/07/15,1116,1400M,5,1:24.18,YIELDING,VIVA COUNCIL,6,D Whyte,-,880000,14,1,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,2 1 1 1,L Ho
5,及時行樂 ,A125,NZ,Sorbello,ENJOY LIFE,30/11/2013,----,PPG,Falkirk,5cc1847dcce52f167ae98c1f,132,Class 4,A125,2018/07/15,1102,1400M,4,1:24.25,YIELDING,ENJOY LIFE,2,K Teetan,1/2,880000,3.7,3,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,11 9 5 3,A Lee
4,福多寶 ,B026,NZ,La Memoire,LONDON HALL,04/10/2014,----,PPG,He's Remarkable,5cc1847dcce52f167ae98c21,125,Class 4,B026,2018/07/15,1094,1400M,1,1:25.53,YIELDING,LONDON HALL,8,K C Leung,8-1/4,880000,10,8,ST,BIG PROFIT HANDICAP,5,TURF - A Course,12 11 11 8,D J Hall
4,樂無極 ,B277,AUS,Blue Fairy Wren,RUN MOOCHI,07/10/2014,Charlie Spirit,PPG,Myboycharlie,5cc1847dcce52f167ae98c22,123,Class 4,B277,2018/07/15,1108,1400M,6,1:26.88,YIELDING,RUN MOOCHI,11,A Sanna,16-1/2,880000,72,11,ST,BIG PROFIT HANDICAP,5,TURF - A Course,6 5 6 11,K L Man
5,鴻圖機會 ,A284,NZ,Suzie Temple,FULL OF CHANCES,23/09/2013,----,PPG,Thewayyouare,5cc1847dcce52f167ae98c23,123,Class 4,A284,2018/07/15,1059,1400M,11,1:24.47,YIELDING,FULL OF CHANCES,11,U Rispoli,1-3/4,880000,83,5,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,14 14 12 5,T P Yung
4,智力寶 ,B311,AUS,Baby Boom,PICKEN,30/09/2014,Picken,PPG,Duporth,5cc1847dcce52f167ae98c25,127,Class 4,B311,2018/07/15,1177,1400M,12,1:24.64,YIELDING,PICKEN,5,J Moreira,3,880000,6,7,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,3 3 3 7,J Size
5,美麗日子 ,B076,IRE,Lucy Diamonds,BEAUTY DAY,04/04/2014,Beauty Day,PPG,Footstepsinthesand,5cc1847dcce52f167ae98c26,126,Class 4,B076,2018/07/15,1110,1400M,10,1:24.43,YIELDING,BEAUTY DAY,2,M F Poon,1-1/4,880000,7.8,3,ST,BIG PROFIT HANDICAP,5,TURF - A Course,7 1 1 3,A S Cruz
6,瀟灑王子 ,V069,AUS,Angora,CARE FREE PRINCE,21/08/2012,Care Free Boy,PPG,Street Sense,5cc1847dcce52f167ae98c29,120,Class 4,V069,2018/07/15,1159,1400M,14,1:26.13,YIELDING,CARE FREE PRINCE,10,H N Wong,12-1/4,880000,19,13,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,4 7 11 13,K L Man
4,電路二號 ,B387,AUS,Fain,CIRCUIT NUMBER TWO,27/09/2014,Keen,PP,Teofilo,5cc1847dcce52f167ae98c2b,124,Class 3,B387,2018/07/15,1028,1600M,4,1:35.96,YIELDING,CIRCUIT NUMBER TWO,10,T Berry,-,1310000,9.7,1,ST,CONTENTMENT HANDICAP,7,TURF - A Course,2 3 2 1,A S Cruz
5,馬索爾 ,B094,USA,Smart 'n Special,MARZOUQ,14/02/2014,Marzouq,PP,Spring At Last,5cc1847dcce52f167ae98c2d,132,Class 3,B094,2018/07/15,993,1600M,12,1:36.51,YIELDING,MARZOUQ,4,S Clipperton,3-1/2,1310000,13,3,ST,CONTENTMENT HANDICAP,7,TURF - A Course,11 12 8 3,J Size
6,睡眠大學 ,A362,SAF,Sweet Virginia,SLEEP EDUCATION,20/08/2012,Vilakazi,PP,Visionaire,5cc1847dcce52f167ae98c2e,127,Class 3,A362,2018/07/15,979,1600M,1,1:36.68,YIELDING,SLEEP EDUCATION,9,N Callan,4-1/2,1310000,12,4,ST,CONTENTMENT HANDICAP,7,TURF - A Course,6 6 5 4,D E Ferraris
4,好好瑪 ,B318,NZ,China Choice,HO HO KHAN,28/11/2014,Mulanchi,PP,Makfi,5cc1847dcce52f167ae98c30,127,Class 3,B318,2018/07/15,1017,1600M,10,1:36.88,YIELDING,HO HO KHAN,8,C Schofield,5-3/4,1310000,32,6,ST,CONTENTMENT HANDICAP,7,TURF - A Course,12 11 9 6,D J Hall
6,環保動力 ,A095,NZ,Medrano,GREEN ENERGY,27/09/2012,Vanderkemp,PP,Rip Van Winkle,5cc1847dcce52f167ae98c31,131,Class 3,A095,2018/07/15,1153,1600M,8,1:37.08,YIELDING,GREEN ENERGY,6,A Sanna,7,1310000,7.5,7,ST,CONTENTMENT HANDICAP,7,TURF - A Course,4 4 4 7,C S Shum
5,勇敢傳說 ,A260,AUS,Uno Sayuri,BRAVE LEGEND,01/10/2013,Khar Khorum,PP,Choisir,5cc1847dcce52f167ae98c32,128,Class 3,A260,2018/07/15,1157,1600M,14,1:37.10,YIELDING,BRAVE LEGEND,14,M Chadwick,7,1310000,12,8,ST,CONTENTMENT HANDICAP,7,TURF - A Course,13 13 14 8,A S Cruz
5,陽明亮亮 ,A359,NZ,Savabeel Star,SHINING ON,05/10/2013,----,PPG,O'Reilly,5cc1847dcce52f167ae98c34,119,Class 4,A359,2018/07/15,1011,1400M,3,1:25.44,YIELDING,SHINING ON,13,C Y Ho,8,880000,10,10,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,6 8 10 10,K W Lui
5,藍天兵馬 ,A389,AUS,Our Contessina,BINGO HERO,31/08/2013,State Witness,PPG,Star Witness,5cc1847dcce52f167ae98c35,125,Class 4,A389,2018/07/15,1271,1400M,10,1:25.29,YIELDING,BINGO HERO,8,K C Leung,7,880000,61,9,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,13 12 14 9,Y S Tsui
6,喝采 ,A023,AUS,Isola Di Capri,APPLAUSE,22/09/2012,Count de Vega,PP,Lope de Vega,5cc1847dcce52f167ae98c36,119,Class 4,A023,2018/07/15,1095,1400M,2,1:25.87,YIELDING,APPLAUSE,14,C Schofield,10-1/2,880000,43,11,ST,ALL YOU WISH HANDICAP,6,TURF - A Course,5 5 7 11,D Cruz
5,安騏 ,B109,AUS,Miss Marielle,ENCOURAGING,24/08/2013,France,PP,Redoute's Choice,5cc1847dcce52f167ae98c37,128,Class 3,B109,2018/07/15,1079,1600M,2,1:38.35,YIELDING,ENCOURAGING,7,K C Leung,15,1310000,14,13,ST,CONTENTMENT HANDICAP,7,TURF - A Course,10 9 10 13,M J Freedman
5,成才 ,B085,IRE,Pediment,FEARLESS FIRE,24/04/2014,Mucho Applause,PP,Acclamation,5cc1847dcce52f167ae98c38,120,Class 3,B085,2018/07/15,1096,1600M,5,1:38.36,YIELDING,FEARLESS FIRE,11,U Rispoli,15,1310000,43,14,ST,CONTENTMENT HANDICAP,7,TURF - A Course,3 5 6 14,C H Yip
6,駿王 ,V423,USA,Marquet Formula,MARQULA,02/05/2013,Marqula,PP,Coast Guard,5cc1847dcce52f167ae98c39,114,Class 3,V423,2018/07/15,---,1600M,---,---,YIELDING,MARQULA,,W M Lai,---,1310000,---,WV,ST,CONTENTMENT HANDICAP,7,TURF - A Course,---,C W Chang
5,跳出香港 ,A238,FR,Lana Girl,RISE HIGH,09/02/2014,Landfall,PP,Myboycharlie,5cc1847dcce52f167ae98c3a,120,Class 1,A238,2018/07/15,1075,1600M,2,1:34.45,YIELDING,RISE HIGH,8,Z Purton,-,2500000,2,1,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - A Course,4 4 3 1,C Fownes
5,喜裝寶 ,B088,IRE,Starship,RIVET,03/04/2014,Rivet,PP,Fastnet Rock,5cc1847dcce52f167ae98c3b,113,Class 1,B088,2018/07/15,1076,1600M,4,1:34.71,YIELDING,RIVET,10,K Teetan,1-3/4,2500000,20,2,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - A Course,1 1 1 2,J Moore
7,旌暉 ,V077,AUS,Valkyrie Diva,JOLLY BANNER,29/09/2011,Wonder Kid,PP,Lonhro,5cc1847dcce52f167ae98c3c,124,Class 1,V077,2018/07/15,1025,1600M,3,1:35.18,YIELDING,JOLLY BANNER,3,M F Poon,4-3/4,2500000,8.9,3,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - A Course,3 3 4 3,P F Yiu
5,興爾 ,B203,USA,Compelling,LAST KINGDOM,20/01/2014,Last Kingdom,PP,Frankel,5cc1847dcce52f167ae98c3d,132,Class 3,B203,2018/07/15,1033,1600M,6,1:37.30,YIELDING,LAST KINGDOM,3,J Moreira,8-1/2,1310000,3.5,10,ST,CONTENTMENT HANDICAP,7,TURF - A Course,9 10 12 10,A T Millard
5,與龍共舞 ,B129,NZ,Around The Clock,DANCES WITH DRAGON,24/08/2013,Hall Of Fame,PP,Savabeel,5cc1847dcce52f167ae98c3e,133,Class 3,B129,2018/07/15,1090,1600M,11,1:37.33,YIELDING,DANCES WITH DRAGON,1,Z Purton,8-1/2,1310000,26,11,ST,CONTENTMENT HANDICAP,7,TURF - A Course,8 7 7 11,W Y So
5,福威勝 ,B223,AUS,Flying Success,RACING LUCK,19/09/2013,Street Pursuit,PP,Street Cry,5cc1847dcce52f167ae98c3f,115,Class 3,B223,2018/07/15,1113,1600M,9,1:38.00,YIELDING,RACING LUCK,13,C Y Ho,12-3/4,1310000,10,12,ST,CONTENTMENT HANDICAP,7,TURF - A Course,5 2 3 12,K W Lui
7,壯思飛 ,V110,IRE,Bargouzine,JOYFUL TRINITY,04/03/2012,Baghadur,PP,Zanzibari,5cc1847dcce52f167ae98c40,124,Class 1,V110,2018/07/15,1126,1600M,7,1:35.72,YIELDING,JOYFUL TRINITY,6,C Schofield,8,2500000,40,5,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - A Course,7 5 6 5,C Fownes
8,軍歌 ,T103,GB,Pearl Dance,BORN IN CHINA,28/05/2011,Born In Bombay,PP,Shamardal,5cc1847dcce52f167ae98c41,133,Class 1,T103,2018/07/15,1078,1600M,1,1:35.89,YIELDING,BORN IN CHINA,1,D Whyte,9,2500000,12,8,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - A Course,5 6 5 8,K W Lui
