# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
8,歡樂小子 ,S235,AUS,Grilse,ULTIMATE GLORY,16/11/2010,Ultimate Glory,PP,Exceed And Excel,5ccbfdbacce52f167aeb8d67,121,Class 3,S235,2015-12-06 00:00:00,1221,1200M,12,1:10.20,GOOD,ULTIMATE GLORY,7.0,G Mosse,3,1165000,7.6,5,ST,THE PENINSULA GOLDEN JUBILEE CHALLENGE CUP (HANDICAP),7,ALL WEATHER TRACK,2 2 5,K L Man,Mosse G.,巫斯義,6.0,G Mosse,Man K.L.,文家良,8.0,K L Man
7,老友威威 ,T349,AUS,Tintoretto,LUCKY GUY,01/10/2011,Next Day,PP,Domesday,5ccbfdbacce52f167aeb8d69,124,Class 3,T349,2015-12-06 00:00:00,1199,1200M,10,1:10.36,GOOD,LUCKY GUY,4.0,V Cheminaud,4,1165000,35,7,ST,THE PENINSULA GOLDEN JUBILEE CHALLENGE CUP (HANDICAP),7,ALL WEATHER TRACK,7 8 7,C H Yip,Cheminaud V.,湛明諾,6.0,V Cheminaud,Yip C.H.,葉楚航,7.0,C H Yip
7,皇龍大將 ,T400,AUS,Grey Deceiver,DRAGON GENERAL,23/09/2011,Casper's Ghost,PP,Reaan,5ccbfdbacce52f167aeb8d6f,125,Class 3,T400,2015-12-06 00:00:00,1116,1000M,6,0:57.01,GOOD,DRAGON GENERAL,3.0,B Prebble,-,1165000,4,1,ST,MIDDLE HANDICAP,8,TURF - C+3 Course,7 7 1,Y S Tsui,Prebble B.,柏寶,10.0,B Prebble,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,彩福 ,T371,AUS,Mezentseva,MIDNIGHT RATTLER,10/11/2011,Midnight Rattler,PP,Clang,5ccbfdbacce52f167aeb8d8a,130,Class 3,T371,2015-12-06 00:00:00,1132,1400M,1,1:22.25,GOOD,MIDNIGHT RATTLER,1.0,G Mosse,SH,1165000,3,2,ST,NATHAN HANDICAP,10,TURF - C+3 Course,3 5 5 2,J Moore,Mosse G.,巫斯義,6.0,G Mosse,Moore J.,約翰摩亞,10.0,J Moore
8,勇駒 ,S260,NZ,Enzed,HEROIC GURU,01/11/2010,Heroic Guru,PP,Gallant Guru,5ccbfdbacce52f167aeb8d8c,117,Class 3,S260,2015-12-06 00:00:00,1063,1400M,7,1:22.40,GOOD,HEROIC GURU,12.0,T H So,1,1165000,37,4,ST,NATHAN HANDICAP,10,TURF - C+3 Course,14 12 9 4,D J Hall,So T.H.,蘇狄雄,4.0,T H So,Hall D.J.,賀賢,8.0,D J Hall
9,中華壹號 ,T207,IRE,Lucky Norwegian,LOVE CHUNGHWA,26/04/2010,Charter,PP,Elusive City,5ccbfdbacce52f167aeb8d96,123,Class 3,T207,2015-12-06 00:00:00,1127,1400M,8,1:24.06,GOOD,LOVE CHUNGHWA,5.0,V Cheminaud,11-1/4,1165000,280,14,ST,NATHAN HANDICAP,10,TURF - C+3 Course,11 9 11 14,A Lee,Cheminaud V.,湛明諾,6.0,V Cheminaud,Lee A.,李易達,6.0,A Lee
8,天賦致寶 ,S417,AUS,Eugenie Gold,CASH COURIER,30/09/2010,Cash Courier,PP,Strada,5ccbfdbacce52f167aeb8dc4,132,Class 4,S417,2015-12-02 00:00:00,1219,1800M,8,1:54.04,GOOD,CASH COURIER,2.0,G Mosse,13-1/2,800000,11,10,HV,HIBISCUS HANDICAP,4,TURF - C+3 Course,6 5 6 7 10,K L Man,Mosse G.,巫斯義,6.0,G Mosse,Man K.L.,文家良,8.0,K L Man
8,其樂無窮 ,S147,GB,Puzzling,HAPPY ROCKY,03/04/2011,----,PPG,Champs Elysees,5ccbfdbacce52f167aeb8dd4,120,Class 3,S147,2015-12-02 00:00:00,1088,2200M,1,2:17.28,GOOD,HAPPY ROCKY,6.0,B Prebble,1,1165000,4.3,2,HV,ROSELLE HANDICAP,6,TURF - C+3 Course,5 4 4 4 4 2,A Lee,Prebble B.,柏寶,10.0,B Prebble,Lee A.,李易達,6.0,A Lee
7,越感 ,T273,AUS,Twirling Heights,FANTASTIC FEELING,28/08/2011,Fantastic Feeling,PP,Show A Heart,5ccbfdbacce52f167aeb8ddf,119,Class 3,T273,2015-12-02 00:00:00,1154,1200M,1,1:10.83,GOOD,FANTASTIC FEELING,8.0,K Teetan,-,1165000,2.5,1,HV,SUNFLOWER HANDICAP,7,TURF - C+3 Course,3 4 1,D E Ferraris,Teetan K.,田泰安,8.0,K Teetan,Ferraris D.E.,霍利時,4.0,D E Ferraris
7,香江穩勝 ,T254,AUS,Miss Love,HARBOUR ALERT,21/08/2011,Harbour Alert,PP,Alert,5ccbfdbacce52f167aeb8dec,119,Class 3,T254,2015-12-02 00:00:00,1274,1200M,2,1:10.88,GOOD,HARBOUR ALERT,9.0,D Whyte,3/4,1165000,7,2,HV,SUNFLOWER HANDICAP,8,TURF - C+3 Course,2 2 2,D Cruz,Whyte D.,韋達,7.0,D Whyte,Cruz D.,告達理,5.0,D Cruz
