# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
6,永常喜 ,V107,NZ,Striking Sneek,HAPPY SOUND,01/12/2012,----,PPG,Thewayyouare,5ccbfdbacce52f167aeb7473,132,Class 5,V107,2016-07-10 00:00:00,1129,1200M,4,1:09.65,GOOD TO FIRM,HAPPY SOUND,2.0,J Moreira,3/4,600000,3.6,2,ST,MY CHOICE HANDICAP,1,TURF - B+2 Course,2 1 2,A Lee,Moreira J.,莫雷拉,25.0,J Moreira,Lee A.,李易達,6.0,A Lee
8,事必獲利 ,T002,AUS,Mota,SPEEDY WALLY,10/09/2010,Speedy Wally,PP,Shinzig,5ccbfdbacce52f167aeb747a,126,Class 5,T002,2016-07-10 00:00:00,1080,1200M,10,1:10.47,GOOD TO FIRM,SPEEDY WALLY,7.0,C K Tong,5-3/4,600000,15,9,ST,MY CHOICE HANDICAP,1,TURF - B+2 Course,11 11 9,C Fownes,Tong C.K.,湯智傑,0.0,C K Tong,Fownes C.,方嘉柏,8.0,C Fownes
10,富貴榮華 ,P324,IRE,Saoire,WEALTHY FORTUNE,17/02/2009,Requisition,PP,Invincible Spirit,5ccbfdbacce52f167aeb748f,114,Class 4,P324,2016-07-10 00:00:00,1030,1800M,4,1:47.88,GOOD TO FIRM,WEALTHY FORTUNE,7.0,K K Chiong,1-3/4,800000,14,2,ST,BEING FAMOUS HANDICAP,3,TURF - B+2 Course,4 2 1 1 2,K L Man,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Man K.L.,文家良,8.0,K L Man
7,事勝意 ,T391,NZ,Lacada,GIANT TURTLE,22/10/2011,Giant Turtle,PP,Zabeel,5ccbfdbacce52f167aeb7494,123,Class 4,T391,2016-07-10 00:00:00,1029,1800M,1,1:48.16,GOOD TO FIRM,GIANT TURTLE,5.0,N Rawiller,3-1/2,800000,10,7,ST,BEING FAMOUS HANDICAP,3,TURF - B+2 Course,8 9 11 9 7,A Schutz,Rawiller N.,羅理雅,8.0,N Rawiller,Schutz A.,孫達志,4.0,A Schutz
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5ccbfdbacce52f167aeb749c,125,Class 4,T129,2016-07-10 00:00:00,1122,1200M,8,1:09.66,GOOD TO FIRM,MULTIMAX,4.0,K K Chiong,-,800000,4.9,1,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,1 1 1,A S Cruz,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Cruz A.S.,告東尼,9.0,A S Cruz
6,翩翩 ,V344,NZ,Pins 'N' Needles,D B PIN,19/10/2012,----,PPG,Darci Brahma,5ccbfdbacce52f167aeb749d,130,Class 4,V344,2016-07-10 00:00:00,1107,1200M,5,1:09.67,GOOD TO FIRM,D B PIN,6.0,Z Purton,SH,800000,2.1,2,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,2 2 2,J Size,Purton Z.,潘頓,15.0,Z Purton,Size J.,蔡約翰,15.0,J Size
6,嬴風雲 ,V321,AUS,Kaimana,SMILING CHARM,19/10/2012,----,ISG,Fastnet Rock,5ccbfdbacce52f167aeb74a2,128,Class 4,V321,2016-07-10 00:00:00,1162,1200M,10,1:10.09,GOOD TO FIRM,SMILING CHARM,8.0,D Whyte,2-3/4,800000,33,7,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,10 9 7,C W Chang,Whyte D.,韋達,7.0,D Whyte,Chang C.W.,鄭俊偉,5.0,C W Chang
7,大龍騰 ,T381,AUS,Sweet Maggie,MASSIVE MILLENNIUM,30/08/2011,Vinnie Eagle,PP,I Am Invincible,5ccbfdbacce52f167aeb74a3,129,Class 4,T381,2016-07-10 00:00:00,1170,1200M,13,1:10.16,GOOD TO FIRM,MASSIVE MILLENNIUM,7.0,G Lerena,3-1/4,800000,68,8,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,4 4 8,D E Ferraris,Lerena G.,雷景勳,3.0,G Lerena,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,蒜頭爺爺 ,V039,NZ,Eden,GARLIC YEAH,11/11/2012,----,PPG,Savabeel,5ccbfdbacce52f167aeb74a6,116,Class 4,V039,2016-07-10 00:00:00,978,1200M,1,1:10.61,GOOD TO FIRM,GARLIC YEAH,13.0,K C Ng,6,800000,374,11,ST,SIGHT WINNER HANDICAP,4,TURF - B+2 Course,12 12 11,C H Yip,Ng K.C.,吳嘉晉,2.0,K C Ng,Yip C.H.,葉楚航,7.0,C H Yip
6,好叻仔 ,V102,AUS,Free Spirited,SUPERIOR BOY,11/11/2012,----,PPG,Magic Albert,5ccbfdbacce52f167aeb74bb,131,Class 4,V102,2016-07-10 00:00:00,1159,1400M,2,1:22.32,GOOD TO FIRM,SUPERIOR BOY,3.0,Z Purton,3,800000,3.6,4,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,4 5 6 4,C W Chang,Purton Z.,潘頓,15.0,Z Purton,Chang C.W.,鄭俊偉,5.0,C W Chang
6,財寶家駒 ,V101,AUS,Truly Kissed,HOME RUN,25/09/2012,----,PPG,Hinchinbrook,5ccbfdbacce52f167aeb74be,133,Class 4,V101,2016-07-10 00:00:00,1099,1400M,13,1:22.38,GOOD TO FIRM,HOME RUN,1.0,N Rawiller,3-1/2,800000,10,6,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,13 13 12 6,Y S Tsui,Rawiller N.,羅理雅,8.0,N Rawiller,Tsui Y.S.,徐雨石,8.0,Y S Tsui
6,順其自然 ,T178,AUS,It Had To Be You,FINE WITH ME,19/09/2012,----,PPG,Starcraft,5ccbfdbacce52f167aeb74c1,121,Class 4,T178,2016-07-10 00:00:00,1055,1400M,10,1:23.05,GOOD TO FIRM,FINE WITH ME,10.0,D Whyte,7-3/4,800000,12,9,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,5 4 4 9,K W Lui,Whyte D.,韋達,7.0,D Whyte,Lui K.W.,呂健威,11.0,K W Lui
6,王者再現 ,V156,NZ,Ruqqaya,KING'S MAN,20/10/2012,----,PPG,Iffraaj,5ccbfdbacce52f167aeb74c3,124,Class 4,V156,2016-07-10 00:00:00,1096,1400M,6,1:23.49,GOOD TO FIRM,KING'S MAN,6.0,K C Leung,10-1/2,800000,85,12,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,7 9 11 12,P F Yiu,Leung K.C.,梁家俊,6.0,K C Leung,Yiu P.F.,姚本輝,7.0,P F Yiu
7,勇晉神駒 ,T233,IRE,Toy Show,SOCCER BRAVE,10/03/2012,Cleveland Street,PP,Windsor Knot,5ccbfdbacce52f167aeb74c4,120,Class 4,T233,2016-07-10 00:00:00,1018,1400M,7,1:24.43,GOOD TO FIRM,SOCCER BRAVE,11.0,H W Lai,16-1/4,800000,387,13,ST,REGENCY HORSE HANDICAP,6,TURF - B+2 Course,10 11 10 13,D E Ferraris,Lai H.W.,黎海榮,4.0,H W Lai,Ferraris D.E.,霍利時,4.0,D E Ferraris
8,勁嘉輝 ,T236,AUS,Myrrh,ENORMOUS HONOUR,22/10/2010,Enormous Honour,PP,Encosta de Lago,5ccbfdbacce52f167aeb74c7,129,Class 3,T236,2016-07-10 00:00:00,1131,1600M,12,1:33.68,GOOD TO FIRM,ENORMOUS HONOUR,4.0,N Rawiller,3/4,1165000,11,2,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,1 1 1 2,Y S Tsui,Rawiller N.,羅理雅,8.0,N Rawiller,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,將才 ,V125,IRE,Cromac,GENERAL SHERMAN,16/04/2012,General Sherman,PP,Teofilo,5ccbfdbacce52f167aeb74cb,131,Class 3,V125,2016-07-10 00:00:00,1072,1600M,5,1:33.99,GOOD TO FIRM,GENERAL SHERMAN,1.0,M Chadwick,2-3/4,1165000,9.2,5,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,10 10 9 5,A S Cruz,Chadwick M.,蔡明紹,4.0,M Chadwick,Cruz A.S.,告東尼,9.0,A S Cruz
7,君臨大地 ,V192,FR,Wings Of Glory,AMAZING AGILITY,20/04/2012,Ajalo,PP,King's Best,5ccbfdbacce52f167aeb74cc,127,Class 3,V192,2016-07-10 00:00:00,1003,1600M,14,1:34.18,GOOD TO FIRM,AMAZING AGILITY,3.0,T H So,3-3/4,1165000,150,6,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,13 13 13 6,D E Ferraris,So T.H.,蘇狄雄,4.0,T H So,Ferraris D.E.,霍利時,4.0,D E Ferraris
8,大運舞台 ,T256,NZ,The Quarewan,THE SHOW,17/09/2010,The Show,PP,High Chaparral,5ccbfdbacce52f167aeb74ce,124,Class 3,T256,2016-07-10 00:00:00,1083,1600M,4,1:34.19,GOOD TO FIRM,THE SHOW,6.0,D Whyte,4,1165000,4.3,8,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,4 5 5 8,C H Yip,Whyte D.,韋達,7.0,D Whyte,Yip C.H.,葉楚航,7.0,C H Yip
8,君悅灣 ,P421,NZ,Haberdashery,GRAND HARBOUR,16/11/2010,----,PPG,Savabeel,5ccbfdbacce52f167aeb74d0,109,Class 3,P421,2016-07-10 00:00:00,1207,1600M,11,1:34.32,GOOD TO FIRM,GRAND HARBOUR,12.0,H N Wong,4-3/4,1165000,10,10,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,2 3 2 10,J Moore,Wong H.N.,黃皓楠,6.0,H N Wong,Moore J.,約翰摩亞,10.0,J Moore
6,哥哥仔 ,V074,AUS,Libor Lady,OTOUTO,25/09/2012,Libidosun,PP,Haradasun,5ccbfdbacce52f167aeb74d4,112,Class 3,V074,2016-07-10 00:00:00,---,1600M,---,---,GOOD TO FIRM,OTOUTO,11.0,K C Ng,---,1165000,---,WV-A,ST,BIG PROFIT HANDICAP,7,TURF - B+2 Course,---,D J Hall,Ng K.C.,吳嘉晉,2.0,K C Ng,Hall D.J.,賀賢,8.0,D J Hall
7,壯思飛 ,V110,IRE,Bargouzine,JOYFUL TRINITY,04/03/2012,Baghadur,PP,Zanzibari,5ccbfdbacce52f167aeb74d5,119,Class 1,V110,2016-07-10 00:00:00,1148,1600M,1,1:33.68,GOOD TO FIRM,JOYFUL TRINITY,6.0,D Whyte,2-1/4,2400000,4.1,2,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - B+2 Course,7 8 9 2,J Moore,Whyte D.,韋達,7.0,D Whyte,Moore J.,約翰摩亞,10.0,J Moore
8,醒目名駒 ,S393,AUS,Dearness,ROMANTIC TOUCH,20/10/2010,Romantic Touch,PP,Northern Meteor,5ccbfdbacce52f167aeb74db,126,Class 1,S393,2016-07-10 00:00:00,1150,1600M,7,1:34.36,GOOD TO FIRM,ROMANTIC TOUCH,3.0,M Chadwick,6-1/2,2400000,17,7,ST,THE SHA TIN MILE TROPHY (HANDICAP),8,TURF - B+2 Course,1 2 2 7,A S Cruz,Chadwick M.,蔡明紹,4.0,M Chadwick,Cruz A.S.,告東尼,9.0,A S Cruz
6,綠勇士 ,V126,AUS,Cristallo,GREEN CARD,30/08/2012,Green Card,PP,All American,5ccbfdbacce52f167aeb74e0,125,Class 3,V126,2016-07-10 00:00:00,1139,1200M,11,1:08.66,GOOD TO FIRM,GREEN CARD,4.0,Z Purton,1-3/4,1165000,8,4,ST,MR AWARD HANDICAP,9,TURF - B+2 Course,10 10 4,J Moore,Purton Z.,潘頓,15.0,Z Purton,Moore J.,約翰摩亞,10.0,J Moore
7,帝豪寶貝 ,T138,NZ,Alleyrun,REGENCY DARLING,30/10/2011,----,PPG,Guillotine,5ccbfdbacce52f167aeb74e2,116,Class 3,T138,2016-07-10 00:00:00,1211,1200M,14,1:09.30,GOOD TO FIRM,REGENCY DARLING,6.0,K K Chiong,5-3/4,1165000,9.3,6,ST,MR AWARD HANDICAP,9,TURF - B+2 Course,1 2 6,K L Man,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Man K.L.,文家良,8.0,K L Man
6,盛勢 ,V243,GB,Break Of Dawn,THE FULL BLOOM,18/02/2013,Grey Morning,PP,Zebedee,5ccbfdbacce52f167aeb74e7,111,Class 3,V243,2016-07-10 00:00:00,1039,1200M,6,1:09.77,GOOD TO FIRM,THE FULL BLOOM,14.0,T H So,8-1/2,1165000,137,10,ST,MR AWARD HANDICAP,9,TURF - B+2 Course,13 14 10,C H Yip,So T.H.,蘇狄雄,4.0,T H So,Yip C.H.,葉楚航,7.0,C H Yip
6,瀟灑王子 ,V069,AUS,Angora,CARE FREE PRINCE,21/08/2012,Care Free Boy,PPG,Street Sense,5ccbfdbacce52f167aeb74ed,110,Class 3,V069,2016-07-10 00:00:00,1099,1400M,14,1:21.36,GOOD TO FIRM,CARE FREE PRINCE,14.0,K K Chiong,1-1/4,1165000,7.7,2,ST,ENTRAPMENT HANDICAP,10,TURF - B+2 Course,1 1 1 2,K L Man,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Man K.L.,文家良,8.0,K L Man
7,旌暉 ,V077,AUS,Valkyrie Diva,JOLLY BANNER,29/09/2011,Wonder Kid,PP,Lonhro,5ccbfdbacce52f167aeb74ee,130,Class 3,V077,2016-07-10 00:00:00,1029,1400M,5,1:21.44,GOOD TO FIRM,JOLLY BANNER,2.0,K C Leung,1-3/4,1165000,5.7,3,ST,ENTRAPMENT HANDICAP,10,TURF - B+2 Course,2 3 3 3,P F Yiu,Leung K.C.,梁家俊,6.0,K C Leung,Yiu P.F.,姚本輝,7.0,P F Yiu
8,比卡超 ,S298,NZ,Mumtaz,PIKACHU,23/10/2010,Pikachu,PP,Keeper,5ccbfdbacce52f167aeb74fd,117,Class 2,S298,2016-07-10 00:00:00,1102,1400M,3,1:21.19,GOOD TO FIRM,PIKACHU,14.0,K Teetan,1-1/4,1650000,7.5,4,ST,THE HONG KONG RACEHORSE OWNERS ASSOCIATION TROPHY (HANDICAP),11,TURF - B+2 Course,12 12 11 4,D E Ferraris,Teetan K.,田泰安,8.0,K Teetan,Ferraris D.E.,霍利時,4.0,D E Ferraris
7,英明勇將 ,T348,AUS,Caralowe,WINSTON'S LAD,05/10/2011,Winston's Lad,PP,Churchill Downs,5ccbfdbacce52f167aeb74ff,119,Class 2,T348,2016-07-10 00:00:00,1066,1400M,9,1:21.51,GOOD TO FIRM,WINSTON'S LAD,13.0,B Prebble,3-1/4,1650000,7,6,ST,THE HONG KONG RACEHORSE OWNERS ASSOCIATION TROPHY (HANDICAP),11,TURF - B+2 Course,7 7 2 6,K W Lui,Prebble B.,柏寶,10.0,B Prebble,Lui K.W.,呂健威,11.0,K W Lui
7,騰龍超影 ,T372,AUS,Borobodur,HARRIER JET,05/09/2011,Harrier Jet,PP,Dane Shadow,5ccbfdbacce52f167aeb7504,118,Class 2,T372,2016-07-10 00:00:00,1136,1400M,1,1:22.59,GOOD TO FIRM,HARRIER JET,12.0,M Chadwick,10,1650000,24,11,ST,THE HONG KONG RACEHORSE OWNERS ASSOCIATION TROPHY (HANDICAP),11,TURF - B+2 Course,8 9 14 11,P O'Sullivan,Chadwick M.,蔡明紹,4.0,M Chadwick,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,老友記 ,T313,AUS,La Falette,BORNTOACHIEVE,04/10/2011,Borntoachieve,PP,Bernardini,5ccbfdbacce52f167aeb7507,118,Class 2,T313,2016-07-10 00:00:00,1090,1400M,13,1:24.31,GOOD TO FIRM,BORNTOACHIEVE,10.0,Y T Cheng,20-3/4,1650000,72,14,ST,THE HONG KONG RACEHORSE OWNERS ASSOCIATION TROPHY (HANDICAP),11,TURF - B+2 Course,1 1 3 14,Y S Tsui,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,Tsui Y.S.,徐雨石,8.0,Y S Tsui
7,祥勝駿駒 ,T331,GB,Dixie Belle,ACE KING,19/05/2012,----,ISG,Exceed And Excel,5ccbfdbacce52f167aeb750b,126,Class 5,T331,2016-07-06 00:00:00,1097,1200M,4,1:10.79,GOOD,ACE KING,5.0,K C Ng,1-1/2,600000,11,4,HV,BULLDOZER HANDICAP,1,TURF - A Course,11 11 4,L Ho,Ng K.C.,吳嘉晉,2.0,K C Ng,Ho L.,何良,8.0,L Ho
7,金錢炮 ,T022,AUS,Dance Hit,GOLDEN CANNON,18/09/2011,----,PPG,Danzero,5ccbfdbacce52f167aeb751c,130,Class 5,T022,2016-07-06 00:00:00,940,1650M,5,1:43.54,GOOD,GOLDEN CANNON,4.0,K C Leung,16-1/2,600000,16,9,HV,STREET CAT HANDICAP,2,TURF - A Course,7 7 8 9,D Cruz,Leung K.C.,梁家俊,6.0,K C Leung,Cruz D.,告達理,5.0,D Cruz
7,駕迅 ,T063,AUS,Rondalla,AMBITIOUS SPEEDY,14/09/2011,Dallas Cowboy,PPG,Bon Hoffa,5ccbfdbacce52f167aeb7527,116,Class 4,T063,2016-07-06 00:00:00,1182,1200M,8,1:10.74,GOOD,AMBITIOUS SPEEDY,12.0,H W Lai,4-1/4,800000,14,8,HV,SILVER GRECIAN HANDICAP,3,TURF - A Course,10 11 8,A Lee,Lai H.W.,黎海榮,4.0,H W Lai,Lee A.,李易達,6.0,A Lee
7,可愛寶 ,T029,AUS,Minnie Deal,HO HO FEEL,13/09/2011,----,PPG,Henrythenavigator,5ccbfdbacce52f167aeb752d,115,Class 3,T029,2016-07-06 00:00:00,1151,1800M,11,1:50.58,GOOD,HO HO FEEL,9.0,K C Leung,NOSE,1165000,8.2,2,HV,KINGS FALCON HANDICAP,4,TURF - A Course,6 7 9 8 2,C H Yip,Leung K.C.,梁家俊,6.0,K C Leung,Yip C.H.,葉楚航,7.0,C H Yip
7,綠色勁駒 ,V184,USA,Photograph,GREEN DISPATCH,19/02/2012,War Dispatch,PP,War Front,5ccbfdbacce52f167aeb7533,133,Class 3,V184,2016-07-06 00:00:00,1204,1800M,2,1:50.86,GOOD,GREEN DISPATCH,1.0,M Chadwick,1-3/4,1165000,10,8,HV,KINGS FALCON HANDICAP,4,TURF - A Course,2 5 5 5 8,A S Cruz,Chadwick M.,蔡明紹,4.0,M Chadwick,Cruz A.S.,告東尼,9.0,A S Cruz
8,奇真 ,T093,FR,King Luna,KIRAM,12/04/2011,Kiram,PP,Elusive City,5ccbfdbacce52f167aeb7535,121,Class 3,T093,2016-07-06 00:00:00,1123,1800M,5,1:50.98,GOOD,KIRAM,8.0,O Bosson,2-1/2,1165000,11,10,HV,KINGS FALCON HANDICAP,4,TURF - A Course,8 8 10 10 10,D E Ferraris,Bosson O.,寶遜,4.0,O Bosson,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,勁飛聖 ,T361,NZ,Dandify,FLYING MONKEY,07/09/2012,----,PPG,Pins,5ccbfdbacce52f167aeb7539,124,Class 4,T361,2016-07-06 00:00:00,1064,1200M,9,1:10.42,GOOD,FLYING MONKEY,7.0,J Moreira,1-1/4,800000,3,2,HV,MAVERICK STAR HANDICAP,5,TURF - A Course,1 1 2,W Y So,Moreira J.,莫雷拉,25.0,J Moreira,So W.Y.,蘇偉賢,7.0,W Y So
7,大天龍 ,T339,NZ,Lucida,MASSIVE POWER,29/08/2011,----,ISG,Pins,5ccbfdbacce52f167aeb753d,116,Class 4,T339,2016-07-06 00:00:00,1062,1200M,3,1:10.78,GOOD,MASSIVE POWER,11.0,T H So,3-1/2,800000,10,6,HV,MAVERICK STAR HANDICAP,5,TURF - A Course,4 6 6,L Ho,So T.H.,蘇狄雄,4.0,T H So,Ho L.,何良,8.0,L Ho
6,富萬家 ,V286,AUS,Exelante,VERY RICH MAN,12/09/2012,Presetter,PPG,Reset,5ccbfdbacce52f167aeb753f,125,Class 4,V286,2016-07-06 00:00:00,1036,1200M,1,1:10.93,GOOD,VERY RICH MAN,6.0,G Lerena,4-1/2,800000,44,8,HV,MAVERICK STAR HANDICAP,5,TURF - A Course,2 3 8,T K Ng,Lerena G.,雷景勳,3.0,G Lerena,Ng T.K.,吳定強,4.0,T K Ng
6,實力飛駒 ,V138,AUS,Diamond Masque,MOMENT OF POWER,07/09/2012,Moment Of Power,PPG,Exceed And Excel,5ccbfdbacce52f167aeb7544,107,Class 3,V138,2016-07-06 00:00:00,1056,1000M,4,0:56.88,GOOD,MOMENT OF POWER,12.0,K K Chiong,-,1165000,2.7,1,HV,SWEET ORANGE HANDICAP,6,TURF - A Course,1 1 1,P O'Sullivan,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
8,怡德 ,T055,AUS,Gone Wild,THE SYLPH,12/09/2010,Tikitour,PP,Dane Shadow,5ccbfdbacce52f167aeb7550,131,Class 4,T055,2016-07-06 00:00:00,1011,1650M,2,1:40.99,GOOD,THE SYLPH,3.0,J Moreira,-,800000,4.4,1,HV,THE KING HANDICAP,7,TURF - A Course,5 6 5 1,D E Ferraris,Moreira J.,莫雷拉,25.0,J Moreira,Ferraris D.E.,霍利時,4.0,D E Ferraris
7,勝利仔 ,S355,NZ,La Bella Dama,VICTORY BOYS,12/11/2011,----,PPG,Mastercraftsman,5ccbfdbacce52f167aeb7551,124,Class 4,S355,2016-07-06 00:00:00,1181,1650M,9,1:41.01,GOOD,VICTORY BOYS,7.0,B Prebble,SH,800000,4,2,HV,THE KING HANDICAP,7,TURF - A Course,10 9 6 2,D J Hall,Prebble B.,柏寶,10.0,B Prebble,Hall D.J.,賀賢,8.0,D J Hall
9,勁勇威龍 ,S078,NZ,Annie Daly,SPINNING DANCER,04/09/2009,Spinning Dancer,PP,Commands,5ccbfdbacce52f167aeb7552,125,Class 4,S078,2016-07-06 00:00:00,1028,1650M,11,1:41.63,GOOD,SPINNING DANCER,6.0,G Lerena,4,800000,18,3,HV,THE KING HANDICAP,7,TURF - A Course,7 8 8 3,S Woods,Lerena G.,雷景勳,3.0,G Lerena,Woods S.,胡森,5.0,S Woods
8,軍歌 ,T103,GB,Pearl Dance,BORN IN CHINA,28/05/2011,Born In Bombay,PP,Shamardal,5ccbfdbacce52f167aeb755e,133,Class 2,T103,2016-07-06 00:00:00,1058,1200M,3,1:09.65,GOOD,BORN IN CHINA,1.0,D Whyte,3-1/2,1650000,5,3,HV,LUGER HANDICAP,8,TURF - A Course,9 8 3,K W Lui,Whyte D.,韋達,7.0,D Whyte,Lui K.W.,呂健威,11.0,K W Lui
6,大聚會 ,V293,GB,Langs Lash,JOLLY CONVERGENCE,29/04/2013,Waipu Cove,PP,Equiano,5ccbfdbacce52f167aeb7565,108,Class 2,V293,2016-07-06 00:00:00,1074,1200M,8,1:11.01,GOOD,JOLLY CONVERGENCE,12.0,K C Ng,12,1650000,172,10,HV,LUGER HANDICAP,8,TURF - A Course,10 10 10,T P Yung,Ng K.C.,吳嘉晉,2.0,K C Ng,Yung T.P.,容天鵬,7.0,T P Yung
6,順勢寶 ,V310,IRE,Bright Snow,SUPER TURBO,23/03/2013,Snowy Scene,PP,Royal Applause,5ccbfdbacce52f167aeb7568,121,Class 3,V310,2016-07-06 00:00:00,1023,1200M,5,1:10.01,GOOD,SUPER TURBO,8.0,C Y Ho,-,1165000,10,1,HV,LET ME FIGHT HANDICAP,9,TURF - A Course,8 8 1,D J Hall,Ho C.Y.,何澤堯,4.0,C Y Ho,Hall D.J.,賀賢,8.0,D J Hall
7,潮州小子 ,T412,GB,Starbeck,CHIU CHOW KID,06/04/2012,Manofmanytalents,PP,Bertolini,5ccbfdbacce52f167aeb7570,128,Class 3,T412,2016-07-06 00:00:00,1141,1200M,4,1:11.23,GOOD,CHIU CHOW KID,5.0,Y T Cheng,7-1/2,1165000,137,9,HV,LET ME FIGHT HANDICAP,9,TURF - A Course,10 11 9,T P Yung,Cheng Y.T.,鄭雨滇,4.0,Y T Cheng,Yung T.P.,容天鵬,7.0,T P Yung
7,香江穩勝 ,T254,AUS,Miss Love,HARBOUR ALERT,21/08/2011,Harbour Alert,PP,Alert,5ccbfdbacce52f167aeb7572,126,Class 3,T254,2016-07-06 00:00:00,1273,1200M,11,1:11.56,GOOD,HARBOUR ALERT,6.0,B Prebble,9-3/4,1165000,9.2,11,HV,LET ME FIGHT HANDICAP,9,TURF - A Course,1 1 11,P O'Sullivan,Prebble B.,柏寶,10.0,B Prebble,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
6,心思熟慮 ,V086,AUS,Dakota Sue,RUMINARE,15/10/2012,Super Mysterious,PPG,Fastnet Rock,5ccbfdbacce52f167aeb7586,115,Class 4,V086,2016-06-26 00:00:00,1142,1200M,5,1:09.38,GOOD TO FIRM,RUMINARE,13.0,M L Yeung,2-1/4,800000,5.5,4,ST,BEAS RIVER COUNTRY CLUB HANDICAP,2,TURF - A Course,1 1 4,K L Man,Yeung M.L.,楊明綸,6.0,M L Yeung,Man K.L.,文家良,8.0,K L Man
7,金飯碗 ,T289,GB,Lalectra,SHOWING CHARACTER,15/04/2012,Showing Character,PP,Showcasing,5ccbfdbacce52f167aeb758c,118,Class 4,T289,2016-06-26 00:00:00,1081,1200M,9,1:10.41,GOOD TO FIRM,SHOWING CHARACTER,12.0,H W Lai,8-3/4,800000,28,10,ST,BEAS RIVER COUNTRY CLUB HANDICAP,2,TURF - A Course,13 13 10,D E Ferraris,Lai H.W.,黎海榮,4.0,H W Lai,Ferraris D.E.,霍利時,4.0,D E Ferraris
6,金地飛客 ,V161,NZ,Showusyourpins,GOLDIE FLANKER,21/09/2012,----,PPG,Rip Van Winkle,5ccbfdbacce52f167aeb758d,125,Class 4,V161,2016-06-26 00:00:00,1206,1200M,13,1:10.42,GOOD TO FIRM,GOLDIE FLANKER,5.0,N Rawiller,8-3/4,800000,216,11,ST,BEAS RIVER COUNTRY CLUB HANDICAP,2,TURF - A Course,10 11 11,P O'Sullivan,Rawiller N.,羅理雅,8.0,N Rawiller,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
6,紅星 ,V273,AUS,Bush Triumph,STARLIGHT,27/10/2012,Red Eye Flyer,PPG,Red Element,5ccbfdbacce52f167aeb758e,125,Class 4,V273,2016-06-26 00:00:00,1047,1200M,14,1:10.49,GOOD TO FIRM,STARLIGHT,8.0,C Schofield,9-1/4,800000,12,12,ST,BEAS RIVER COUNTRY CLUB HANDICAP,2,TURF - A Course,7 8 12,C H Yip,Schofield C.,史卓豐,7.0,C Schofield,Yip C.H.,葉楚航,7.0,C H Yip
7,肥仔 ,V071,AUS,Carnebelle,IRON BOY,17/08/2011,Californian Man,PP,California Dane,5ccbfdbacce52f167aeb7591,133,Class 4,V071,2016-06-26 00:00:00,1173,1200M,9,1:09.27,GOOD TO FIRM,IRON BOY,1.0,D Whyte,-,800000,6.5,1,ST,LEVADE HANDICAP,3,TURF - A Course,5 5 1,K W Lui,Whyte D.,韋達,7.0,D Whyte,Lui K.W.,呂健威,11.0,K W Lui
7,萬事欣 ,T129,AUS,Fairy Tree,MULTIMAX,24/09/2011,Magical Jester,PPG,Court Command,5ccbfdbacce52f167aeb7593,123,Class 4,T129,2016-06-26 00:00:00,1123,1200M,7,1:09.64,GOOD TO FIRM,MULTIMAX,3.0,K K Chiong,2-1/4,800000,3.1,3,ST,LEVADE HANDICAP,3,TURF - A Course,1 1 3,A S Cruz,Chiong K.K.,蔣嘉琦,12.0,K K Chiong,Cruz A.S.,告東尼,9.0,A S Cruz
