Jockey,騎師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Moreira J.,莫雷拉,168,1,105,--,101,--,61,1,52,--,664,178829947.50,25.3%
Purton Z.,潘頓,80,--,74,--,49,--,51,--,43,--,531,97453000.00,15.1%
Teetan K.,田泰安,47,--,44,--,49,2,55,2,47,1,575,54158200.00,8.2%
Prebble B.,柏寶,47,--,44,--,40,--,44,--,37,2,463,59742200.00,10.2%
Callan N.,郭能,40,--,40,--,45,--,42,--,52,--,510,57645225.00,7.8%
Chiong K.K.,蔣嘉琦,37,--,40,1,26,--,25,--,29,--,319,34408800.00,11.6%
Whyte D.,韋達,36,--,56,--,50,--,47,--,47,--,521,49919125.00,6.9%
Leung K.C.,梁家俊,33,--,24,--,36,--,41,2,49,1,505,36131482.50,6.5%
Schofield C.,史卓豐,32,--,42,1,32,--,56,2,32,--,466,40450400.00,6.9%
Rawiller N.,羅理雅,30,--,36,--,44,--,26,--,30,--,386,37330450.00,7.8%
Yeung M.L.,楊明綸,30,--,28,--,33,--,43,1,46,--,514,31057312.50,5.8%
Wong H.N.,黃皓楠,22,--,24,--,17,--,24,1,33,--,388,20567150.00,5.7%
Ho C.Y.,何澤堯,21,--,25,--,29,--,46,1,36,--,504,26744525.00,4.2%
Mosse G.,巫斯義,18,--,27,--,29,1,24,--,26,--,291,27817525.00,6.2%
de Sousa S.,蘇兆輝,16,--,12,--,6,--,7,--,6,--,113,13026875.00,14.2%
Moore R.,莫雅,16,1,14,--,12,--,14,--,14,--,116,54606005.00,13.8%
Cheng Y.T.,鄭雨滇,15,--,14,--,24,--,19,--,26,--,396,17732300.00,3.8%
So T.H.,蘇狄雄,13,--,13,--,20,--,21,--,29,--,335,12918075.00,3.9%
Lai H.W.,黎海榮,12,--,23,--,16,--,18,--,18,--,342,14753775.00,3.5%
Chadwick M.,蔡明紹,12,--,17,1,17,--,22,--,22,--,285,17407000.00,4.2%
Fourie R.,霍勵賢,6,--,11,--,21,--,25,1,17,--,217,12220062.50,2.8%
Doleuze O.,杜利萊,6,--,10,--,13,--,10,--,4,--,110,7411825.00,5.5%
