Dam,DamRank
Tango's Choice,4.0
Tennessee Love,10.0
The Girlfriend,8.0
The Quarewan,6.0
Thebe,2.0
Thunder Belle,5.0
Tintoretto,8.0
Tora Bora,9.0
Trail Of Secrets,4.0
Truly Kissed,10.0
Twirling Heights,2.0
Umoya,13.0
Uno Sayuri,6.0
Ursula Minor,11.0
Valkyrie Diva,3.0
Venetian Lady,9.0
Viva Dubai,1.0
Vogue Beauty,4.0
Volkara,1.0
Whisper Her Name,3.0
