Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
醫生雄星 ,C335,DR LUCKY STAR,Dr Lucky Star,Redoute's Choice,Fashion Note,PPG,AUS,3,09/11/2015
慣勝積極 ,A345,DR PROACTIVE,----,Denman,Batroun,PPG,NZ,5,18/09/2013
喜菜 ,T284,DR RACE,Dr King,Dr Fong,Sommerflora,PP,ITY,7,04/05/2012
慣勝尊重 ,C129,DR RESPECT,----,Commands,Twickers,PPG,AUS,4,27/09/2014
皇龍司令 ,C208,DRAGON COMMANDER,Way Back,Motivator,Alamagna,PP,FR,4,03/02/2015
團圓豐收 ,V409,DRAGON DANCE,Picca Jack,Bianconi,Fonteyn Star,PP,AUS,6,05/09/2012
皇龍大將 ,T400,DRAGON GENERAL,Casper's Ghost,Reaan,Grey Deceiver,PP,AUS,7,23/09/2011
皇仁傳奇 ,C169,DRAGON LEGEND,White Iverson,Congrats,Scone,PPG,AUS,3,27/10/2015
皇仁先鋒 ,A381,DRAGON PIONEER,Styleman,Zoffany,She's Sirius,PP,AUS,5,28/09/2013
龍之團 ,B439,DRAGON REGIMENT,Hang Ten,Golden Archer,Crest Of The Wave,PPG,AUS,4,05/09/2014
龍騰馬躍 ,V202,DRAGON WARRIOR,Teed Up Terry,Haradasun,Nevaloveduanyway,PPG,AUS,6,09/09/2012
美夢成真 ,B269,DREAM COME TRUE,Darhad,All Too Hard,Kakakakatie,PP,AUS,4,15/09/2014
揚名聲 ,C395,DREAM TEAM,----,Rubick,Honeymoon Cruise,PPG,AUS,2,23/08/2016
夢幻戰士 ,C280,DREAM WARRIORS,Wise Missille,Smart Missile,Mitzi,PPG,AUS,3,17/09/2015
韋小寶 ,C188,DUKE WAI,----,Per Incanto,Swan Lake,PPG,NZ,3,22/09/2015
動力飛鷹 ,B072,DYNAMIC EAGLE,Dynamic Eagle,Guillotine,Dosh,PP,NZ,5,03/11/2013
大雁塔 ,C090,DYNASTA,----,Redoute's Choice,Silver Blossom,PPG,AUS,3,16/08/2015
電子傳承 ,C322,E GENERATION,Geographic,I Am Invincible,North Pole Dancer,PP,AUS,3,16/09/2015
電子大師 ,A254,E MASTER,Porzingis,Dreamscape,Ditas,PPG,AUS,5,25/09/2013
電子群星 ,C132,E STAR,----,Ferlax,Duck For Cover,PPG,NZ,3,04/09/2015
電子醒神 ,C411,E STUNNING,----,Exceed And Excel,Regal Realm,ISG,GB,3,03/05/2016
旺舖大師 ,B106,EAGLE,Silence,Foxwedge,Hush Up,PP,AUS,4,16/08/2014
鷹雄 ,A093,EAGLE WAY,Eagle Way,More Than Ready,Wedgetail Eagle,PP,AUS,6,11/11/2012
水火風 ,C211,EARTH TRILOGY,Table Mountain,Animal Kingdom,Aliyana Tilde,PP,AUS,4,12/10/2014
得勝駒 ,B112,EASY GO EASY WIN,Easy Go Easy Win,Savabeel,Tootsie,PP,NZ,4,19/09/2014
八卦 ,C102,EIGHT TRIGRAMS,----,Magnus,Demandehere,PPG,AUS,3,25/10/2015
快閃的 ,A189,ELECTRIC LIGHTNING,----,Not A Single Doubt,Plain Crazy,PPG,AUS,5,26/08/2013
精英寶貝 ,B015,ELITE BOY,----,Align,English Kath,PPG,NZ,4,31/08/2014
錶之銳 ,C193,ELITE PATCH,Clever Patch,Hard Spun,Toko Yuzuki,PP,JPN,4,01/04/2015
烽煙四喜 ,A036,ELUSIVE STATE,Elusive State,All American,Jarada,PP,AUS,5,22/08/2013
綠尚飛馳 ,B258,EMERALD SPUR,----,Super Easy,Emerald Isle,PPG,NZ,4,03/10/2014
遠近馳名 ,C828,EMINENT,----,Frankel,You'll Be Mine,VIS,IRE,5,04/03/2014
帝勝之星 ,A145,EMPIRE STAR,----,Skilled,Oh What A Song,PPG,AUS,5,19/10/2013
鞍歌 ,A177,ENCORE BOY,----,Smart Missile,Miss Bellezza,PPG,AUS,5,03/10/2013
安騏 ,B109,ENCOURAGING,France,Redoute's Choice,Miss Marielle,PP,AUS,5,24/08/2013
安喜 ,V338,ENDEARING,World Order,Lonhro,Ballet Society,PP,AUS,6,31/08/2012
安賦 ,B353,ENFOLDING,Enfolding,Fastnet Rock,Althea Rose,PP,IRE,5,06/05/2014
及時行樂 ,A125,ENJOY LIFE,----,Falkirk,Sorbello,PPG,NZ,5,30/11/2013
如沐春風 ,B150,ENJOYABLE SUCCESS,Majoris,Frankel,Drops,PP,IRE,5,14/02/2014
勁嘉輝 ,T236,ENORMOUS HONOUR,Enormous Honour,Encosta de Lago,Myrrh,PP,AUS,8,22/10/2010
傑彩繽紛 ,B457,ENRICHMENT,Belfast,Teofilo,Lovingthelimelight,PP,AUS,4,02/09/2014
安迅 ,C262,ENSHRINED,Fox Coach,Foxwedge,Coachhouse Lady,PP,IRE,3,18/02/2016
安素兒子 ,C823,ENZO'S LAD,----,Testa Rossa,Sheerama,VIS,AUS,6,31/07/2012
贏得精綵 ,C114,EPIC,Merlin Magic,Camelot,Seattle Ribbon,PP,GB,4,02/03/2015
愛添滿 ,B305,EPTIMUM,Eptimum,Snitzel,Paramount,PP,AUS,4,18/09/2014
愛添勝 ,B362,EPTIWINS,----,Poet's Voice,Salix Caprea,ISG,AUS,4,27/08/2014
埃塞紡 ,C209,ETHIOPIAN YARN,Together Again,Pivotal,Regal Aura,PP,GB,5,29/01/2014
開懷大少 ,A278,EVER LAUGH,----,Savabeel,Sotela,PPG,AUS,5,13/11/2013
常山耆寶 ,A275,EVER STRONG,----,Savabeel,Fire Song,PPG,NZ,5,26/09/2013
清福 ,A364,EVERBRAVE,Everbrave,Alamosa,Miss Riviera,PP,NZ,5,14/10/2013
大眾勁駒 ,B074,EVERYONE'S ELITE,----,Dalakhani,Sobraine,PPG,AUS,4,07/09/2014
大眾歡呼 ,C225,EVERYONE'S JOY,Concor Bridge,Redoute's Choice,Axiom,PPG,AUS,3,24/10/2015
榮惑 ,C370,EXALTATION,Dumouriez,Elzaam,Kolkata,PP,IRE,3,25/04/2016
喜勁驥 ,C006,EXCEL DELIGHT,----,Exceed And Excel,Miss Krovanh,PPG,AUS,3,10/10/2015
友享友賞 ,A142,EXCEPTIONAL DESIRE,Darci's Desire,Darci Brahma,Grace And Eva,PPG,NZ,5,24/10/2013
勝利專家 ,A110,EXPERTO CREDE,Experto Crede,Exceed And Excel,Shepherdia,PP,IRE,6,09/03/2013
帖木兒 ,B001,EXPLOSIVE WITNESS,Explosive Witness,Star Witness,Rocket Baby,PP,AUS,4,08/09/2014
洪荒駿駒 ,A031,EXPONENTS,Exponents,Foxwedge,Sunday Service,PPG,AUS,5,12/11/2013
時時精綵 ,B101,EXULTANT,Irishcorrespondent,Teofilo,Contrary,PP,IRE,5,24/03/2014
翡翠綠 ,C056,EZRA,Ezra,Oratorio,Emerald Beauty,PPG,SAF,3,18/09/2015
富高八斗 ,B473,FABULOUS EIGHT,----,Dream Ahead,Coco Kerringle,PPG,AUS,3,12/09/2015
發盈喜 ,T005,FABULOUS ONE,Where's Noah,Elusive City,Beautiful Unicorn,PPG,NZ,7,03/10/2011
喜氣綿綿 ,C236,FAIRY FLOSS,----,Guillotine,Hang Seng,PPG,NZ,3,01/10/2015
夢幻仙子 ,V222,FAIRY TWINS,Coyote Springs,Oamaru Force,Desert Gardens,PPG,AUS,6,03/10/2012
鵲橋飛渡 ,A247,FAITHFUL TRINITY,Skarino Gold,Wiener Walzer,Saaleland,PP,GER,5,09/03/2014
順意寶 ,B164,FALCON TURBO,Falconic,Nicconi,Queen Of The Falls,PP,AUS,4,14/09/2014
星日名駒 ,B082,FAME AND FORTUNE,----,Street Boss,Brooklyn Roads,PPG,NZ,4,15/10/2014
自然君子 ,C089,FAMILY LEADER,Aetheria,Makfi,Egeria,PPG,NZ,4,27/08/2014
佳知武仕 ,B219,FAMOUS WARRIOR,Sneaky Glance,Husson,Danehill Smile,PP,AUS,5,21/10/2013
赤水神駒 ,V364,FANTASTIC FABIO,Fantastic Fellow,Hidden Dragon,Fantastic Flo Jo,PPG,AUS,5,31/10/2013
越感 ,T273,FANTASTIC FEELING,Fantastic Feeling,Show A Heart,Twirling Heights,PP,AUS,7,28/08/2011
爆騷 ,A207,FANTASTIC SHOW,----,Not A Single Doubt,Evoked,PPG,AUS,4,14/09/2014
廣陵王 ,C148,FARHH ABOVE,----,Farhh,Turmalin,PPG,GB,3,29/02/2016
濃有 ,C244,FARM BUMPER,----,Tycoon Ruler,Buck 'N' Jazz,PPG,AUS,3,27/08/2015
童話 ,B238,FARSHAD,Farshad,Kendargent,Forever Midnight,PP,GER,5,25/03/2014
百步穿雲 ,A165,FAST MOST FURIOUS,Seville Star,Lope de Vega,Al Basar,PP,IRE,6,01/03/2013
載譽歸來 ,C215,FAT TURTLE,Butchoy,Smart Missile,Pilya,PP,AUS,4,24/08/2014
成才 ,B085,FEARLESS FIRE,Mucho Applause,Acclamation,Pediment,PP,IRE,5,24/04/2014
縱橫四海 ,C142,FENRIR,Voyager Blue,Footstepsinthesand,Bristol Fashion,PP,GB,4,29/01/2015
駿風馳 ,B181,FIAMA,Ratoute Yutty,Makfi,Proud Hussey,PP,AUS,5,29/10/2013
五十五十 ,A287,FIFTY FIFTY,Speedy Grey,Thorn Park,Udiditagain,PP,NZ,6,14/10/2012
藍天堡馬 ,T186,FIGHT HERO,Imperiator,Footstepsinthesand,Jarhes,PP,GB,8,07/02/2011
順其自然 ,T178,FINE WITH ME,----,Starcraft,It Had To Be You,PPG,AUS,6,19/09/2012
芙蓉駿 ,C063,FIONN SPIRIT,Southern Magenta,Sizzling,Crystal Diamonds,PPG,AUS,3,26/09/2015
神火金剛 ,B004,FIRE AND GOLD,Red Rage,Charge Forward,La Viva La Rock,PPG,AUS,5,12/09/2013
首驫 ,B022,FIRST BEAUT,----,Darci Brahma,Miss Bling,PPG,NZ,5,01/08/2013
會長之星 ,C205,FIRST RESPONDER,Carbon Fibre,Helmet,Capote West,PP,IRE,3,14/03/2016
火百合 ,B050,FLAME LILY,----,Danehill Dancer,Showerproof,PPG,IRE,5,15/05/2014
一舖成名 ,B162,FLASH FAMOUS,Ilovevegas,Ilovethiscity,Ruparani,PP,AUS,4,16/10/2014
平天凡 ,C194,FLAT HEAVEN,Teckwin,French Fifteen,Ammia,PP,FR,4,26/03/2015
獎金大王 ,B433,FLYING BONUS,Bowerman,Snitzel,Sabanci,PP,AUS,4,11/08/2014
寶冠多 ,C156,FLYING EMPEROR,----,Holy Roman Emperor,Eleanor Roosevelt,PPG,IRE,3,08/04/2016
勇冠多 ,V376,FLYING GODSPELL,----,Per Incanto,Godspell,PPG,NZ,5,12/11/2013
愛飛一號 ,B058,FLYING LOVER,Thorin,Sepoy,Alberton Park,PP,AUS,5,17/10/2013
勁飛聖 ,T361,FLYING MONKEY,----,Pins,Dandify,PPG,NZ,6,07/09/2012
非常醒 ,C002,FLYING MURTY,Flying Murty,Murtajill,Wings Of Prey,PP,AUS,5,07/10/2013
勁飛寶寶 ,A267,FLYING NOBLE,----,Ekraar,Keeperinthemyst,PPG,NZ,5,06/11/2013
勤德兼備 ,A071,FLYING QUEST,Flying Quest,Alamosa,Enchant,PP,NZ,6,20/10/2012
奔雷 ,B328,FLYING THUNDER,Archie McKellar,Archipenko,Desert Berry,PP,GB,4,10/04/2015
飛虎英雄 ,C119,FLYING TIGER HERO,Major Peirson,Society Rock,Snowtime,PP,IRE,4,31/03/2015
快馬飛馳 ,C277,FLYING VICTORY,Crafty Butcher,Guillotine,Aga Panther,PPG,NZ,3,03/09/2015
全心全意 ,C254,FOCUS,----,Per Incanto,Princess Alexandra,PPG,NZ,3,01/11/2015
請跟我來 ,B440,FOLLOW ME,Claro Que Si,Lope de Vega,Star Over Kansas,PPG,AUS,3,27/08/2015
為食格格 ,C312,FOODIE PRINCESS,----,Sepoy,Raziyya Of Sydney,PPG,AUS,3,12/08/2015
又夠醒 ,C305,FOREVER BRIGHT,----,Denman,Remotely,PPG,AUS,3,13/10/2015
全勝姿態 ,V011,FORMULA GALORE,Wan Chai Warrior,Not A Single Doubt,Evening Pleasures,PPG,AUS,6,29/10/2012
繽紛駿驥 ,A292,FORTUNATE RUNNER,----,Tavistock,La Campanella,PPG,NZ,5,20/11/2013
好吉利 ,A418,FORTUNE BOOTH,Taj Mahal,More Than Ready,Gunawati,PP,AUS,5,12/09/2013
運來寶兒 ,B444,FORTUNE BUDDY,----,Medaglia d'Oro,Oh Eight Hundred,ISG,AUS,4,20/08/2014
福喜多多 ,B128,FORTUNE HAPPINESS,----,Starspangledbanner,Suite,PPG,AUS,4,09/09/2014
靈鋒 ,A245,FORTUNE PATROL,Bahamas,Rip Van Winkle,Gwyllion,PP,IRE,5,12/04/2014
運來威力 ,B120,FORTUNE WAY,----,Hinchinbrook,Bronislava,PPG,AUS,4,15/10/2014
嶺寶峯 ,B333,FORZA ANGEL,Nobly Born,Mayson,Noble One,PP,GB,5,15/04/2014
獵狐章者 ,B187,FOX CHEUNGER,Funky Pirate,Hussonet,Belle d'Orleans,PPG,AUS,4,05/11/2014
自由奔放 ,B310,FREE VIEW,----,Al Samer,Proud As Punch,PPG,AUS,3,08/09/2015
清新動力 ,B067,FRESH POWER,Air Fresh,Makfi,Bannisters,PPG,NZ,5,14/10/2013
南京之友 ,V140,FRIENDS OF NANJING,Golden Thirst,Jet Spur,She's The One,PPG,AUS,6,25/09/2012
得成正果 ,C158,FRUITFUL RESULT,----,Society Rock,Cornakill,PPG,IRE,3,28/04/2016
衝亞 ,C218,FRUSTRATED,Frustrated,All Too Hard,Brave Soul,PPG,AUS,3,27/08/2015
美麗滿載 ,C003,FULL OF BEAUTY,The Gronk,Darci Brahma,Pennacchio,PPG,AUS,4,31/08/2014
鴻圖機會 ,A284,FULL OF CHANCES,----,Thewayyouare,Suzie Temple,PPG,NZ,5,23/09/2013
福善 ,C426,FULL POWER,----,Frankel,Jakonda,ISG,IRE,3,24/02/2016
好友順 ,C337,FULL SAILING,----,Sepoy,Deema,PPG,AUS,2,26/08/2016
有錢分 ,B079,FUN TIMES,----,Savabeel,Hyades,PPG,NZ,4,10/11/2014
添滿意 ,C079,FURORE,Furore,Pierro,Stormy Choice,PP,NZ,4,24/10/2014
育成福星 ,C379,G ONE SHINING,Persistent,Delago Deluxe,Two Beauties,PPG,AUS,3,31/10/2015
萬眾之力 ,C329,G UNIT,----,Danerich,Jindga,PPG,AUS,2,14/09/2016
盈進 ,V283,GAINFULJET,----,Choisir,Absolute Dream,PPG,AUS,5,09/09/2013
精彩千里 ,C331,GALA NIGHT,----,Dissident,Prompt,PPG,AUS,2,13/08/2016
星河戰駒 ,C245,GALAXY RACER,----,Alamosa,Priorite,PPG,NZ,3,09/11/2015
威武承傳 ,B451,GALLANT LEGACY,Almadiero,Redoute's Choice,Torentosa,ISG,FR,4,07/05/2015
威武再現 ,A308,GALLANT RETURN,----,Soldier Hollow,C'est L'Amour,ISG,GER,5,10/03/2014
威武風采 ,B379,GALLANT SPIRIT,----,Street Cry,Anne Of Kiev,ISG,USA,4,24/01/2015
勝寶駒 ,A406,GALLANT SUCCESS,----,Pins,Royal Excess,PPG,NZ,4,28/10/2014
話得事 ,A162,GAMECHANGERS,Aspen Mountain,Canford Cliffs,Awjila,PP,IRE,6,26/01/2013
電玩皇者 ,B207,GAMEPLAYER EMPEROR,Luis Fernandez,Gio Ponti,Escape To Victory,PP,USA,4,27/03/2015
更跑得 ,C400,GANESH TALAI,Ganesh Talai,Philanthropist,Indian Torrent,PP,SAF,3,17/08/2015
蒜頭爺爺 ,V039,GARLIC YEAH,----,Savabeel,Eden,PPG,NZ,6,11/11/2012
上浦精神 ,C350,GENERAL CASTLEDALE,----,Castledale,Indy Star,PPG,NZ,4,06/11/2014
上浦福滿 ,A193,GENERAL DINO,L'Ami Cagnois,Doctor Dino,Arthurs Princess,PP,FR,5,30/03/2014
上浦猛將 ,P429,GENERAL IRON,Big Iron,Towkay,Plaything,PP,NZ,9,06/11/2009
將才 ,V125,GENERAL SHERMAN,General Sherman,Teofilo,Cromac,PP,IRE,7,16/04/2012
東龍陣 ,B394,GENERAL TRUMP,General Argyll,Rothesay,Cheree's General,PPG,AUS,3,30/08/2015
心慷慨 ,V394,GENEROUS HEART,Brindisi,D' Funnybone,Shakaleena,PPG,USA,6,31/03/2013
正陽清風 ,B343,GENTLE BREEZE,----,Foxwedge,Marjorie,PPG,AUS,4,13/10/2014
君子承諾 ,V042,GENTRY,----,Tavistock,Sogno,PPG,NZ,7,20/10/2011
心曠神怡 ,C264,GEORGIAN MANOR,Georgian Manor,Iffraaj,Southern House,PP,IRE,4,04/03/2015
事勝意 ,T391,GIANT TURTLE,Giant Turtle,Zabeel,Lacada,PP,NZ,7,22/10/2011
健康在望 ,C172,GIFT OF LIFELINE,Gift Of Sight,Pierro,Princess Quality,PPG,AUS,3,11/08/2015
銀時 ,C216,GINTOKI,Legadema,Star Witness,Leopard Skin,PP,AUS,4,24/08/2014
連利福將 ,B475,GLENEALY GENERALS,----,Per Incanto,Grey Swallow,PPG,NZ,3,26/10/2015
陽明豐豐 ,B016,GLITTERING ARMOUR,----,Battle Paint,Limelight,PPG,NZ,5,01/10/2013
同威 ,A223,GLORIAM,----,Mossman,Fromage,PPG,AUS,4,25/11/2014
逍遙自在 ,B210,GLORIOUS ARTIST,Glorious Artist,Zoffany,Queenie Keen,PP,IRE,5,02/02/2014
良朋共盛 ,C405,GLORIOUS BUDDY,----,Written Tycoon,Shabtis,ISG,AUS,3,29/08/2015
龍鼓飛揚 ,C120,GLORIOUS DRAGON,Stephensons Rocket,Teofilo,Tipperary Honor,PP,IRE,4,04/02/2015
歡樂之光 ,B236,GLORIOUS FOREVER,Glorious Forever,Archipenko,Here To Eternity,PP,GB,5,24/02/2014
友好日子 ,C054,GLORIOUS SPECTRUM,Met Spectrum,Helmet,Mara Spectrum,PP,GB,4,08/03/2015
歐洲之星 ,T336,GLORY STAR,----,High Chaparral,Ursula Minor,ISG,IRE,7,04/04/2012
盈豐飛駒 ,B205,GO GO FIRST,Pealer,Campanologist,Praia,PP,GER,5,13/03/2014
戈寶 ,A101,GOBI STORM,El Petardo,Artie Schiller,Pyrotechnics,PPG,AUS,5,19/10/2013
神龍駒 ,B108,GOD OF DRAGON,Pardoe,Red Dazzler,Pardees,PP,AUS,4,18/10/2014
神速寶 ,A087,GODSPEED,----,Savabeel,I Que,PPG,NZ,5,06/11/2013
霸勝 ,A270,GOKO,----,O'Reilly,Miraculous Miss,PPG,NZ,5,01/09/2013
大金庫 ,C146,GOLD CHEST,Naval Intelligence,War Front,Say,PP,USA,4,13/03/2015
金津輝煌 ,V400,GOLD VELVET,----,Savabeel,Girls On Top,PPG,NZ,5,12/09/2013
大運當頭 ,C139,GOLD WIN,Dice Roll,Showcasing,Schlague,PP,FR,4,11/03/2015
金錢炮 ,T022,GOLDEN CANNON,----,Danzero,Dance Hit,PPG,AUS,7,18/09/2011
金鼓齊鳴 ,B190,GOLDEN DASH,Golden Dash,Snitzel,Aussie Christmas,PPG,AUS,4,02/10/2014
金湶德 ,A427,GOLDEN EFFORT,Golden Effort,Reward For Effort,Coonac,PPG,AUS,4,05/09/2014
金碧科 ,B225,GOLDEN FOUR,Denman Hill,Denman,Gingerbread,PPG,AUS,4,27/08/2014
黃金元帥 ,A346,GOLDEN GENERAL,----,Foxwedge,Beautiful Reward,PPG,NZ,5,28/08/2013
金碧輝煌 ,T076,GOLDEN GLORY,Burgundian,Patapan,Victoria Bay,PP,NZ,8,08/09/2010
金童 ,V232,GOLDEN KID,One Life Live It,Holy Roman Emperor,Lacandona,PP,GB,7,13/04/2012
金剛石 ,C106,GOLDEN MISSION,----,Rock 'N' Pop,Aimee's Idol,PPG,NZ,3,23/10/2015
金鎗六十 ,C238,GOLDEN SIXTY,----,Medaglia d'Oro,Gaudeamus,PPG,AUS,3,14/10/2015
馬友寶寶 ,C085,GOLDEN TURBO,Golden Turbo,Best Choice,Crystal Baby,PPG,AUS,3,10/09/2015
金地飛客 ,V161,GOLDIE FLANKER,----,Rip Van Winkle,Showusyourpins,PPG,NZ,6,21/09/2012
健康美麗 ,B384,GOOD BEAUTY,Shallotti,Hard Spun,Lush Liaison,PP,AUS,4,26/08/2014
精選直前 ,V329,GOOD CHOICE AHEAD,----,Fastnet Rock,Amenixa,ISG,IRE,6,12/05/2013
你知我意 ,A052,GOOD COMPANION,----,Exceed And Excel,Dyna Slam,PPG,AUS,6,19/08/2012
開心日子 ,A333,GOOD DAYS,----,Artie Schiller,Vintage Rock,ISG,AUS,5,25/08/2013
好腳頭 ,S131,GOOD FIT,----,Encosta de Lago,Mrs Squillionaire,PPG,NZ,8,03/11/2010
好友益 ,T265,GOOD FOR YOU,----,Thorn Park,La Serenissime,PPG,NZ,6,23/09/2012
軍民歡 ,B208,GOOD OMEN,Good Omen,Holy Roman Emperor,Magic Nymph,PP,GB,5,10/04/2014
好簽 ,B043,GOOD PICK,One 'N' Go,Smart Missile,Sienna Gold,PPG,AUS,4,20/09/2014
跑得威 ,C127,GOOD RUNNERS WAY,----,Battle Paint,Ysa Post,PPG,NZ,4,14/10/2014
桃花旺 ,C364,GOOD SHOT,Confederacy,Swiss Ace,Nana Jean,PPG,NZ,4,01/11/2014
信心保證 ,B105,GOOD STANDING,Good Standing,Artie Schiller,Elahi,PP,AUS,5,05/10/2013
好好彩彩 ,B188,GOODLUCK GOODLUCK,----,Magic Albert,Luminous Harmony,PPG,AUS,4,23/10/2014
華麗再現 ,V326,GORGEOUS AGAIN,----,Fastnet Rock,Ocean Pearl,ISG,AUS,6,17/08/2012
豐彩皇 ,V118,GORGEOUS KING,Cape Clear Island,Fastnet Rock,Kushnarenkovo,PP,IRE,7,08/05/2012
爪皇轟天 ,A291,GOUTEN OF GARO,Percali,Per Incanto,Brookster,PPG,NZ,5,06/12/2013
慈愛恩典 ,C296,GRACEANDMERCY,Monks Hood,Querari,Amber Bouquet,PP,SAF,4,13/09/2014
盈華盛甲 ,A179,GRACIOUS RYDER,Deuces Are Wild,Tickets,Fleur de Lion,PPG,AUS,5,11/10/2013
智愛 ,A010,GRADE ONE,Manhattaning,Manhattan Rain,Zipanese,PPG,AUS,5,13/11/2013
大步走 ,V336,GRAN MASTER,----,Mastercraftsman,Opus Four,ISG,NZ,6,02/10/2012
勁揪 ,B111,GRAND CHANCELLOR,Grand Chancellor,Savabeel,Mont Fay,PP,NZ,5,09/09/2013
君悅灣 ,P421,GRAND HARBOUR,----,Savabeel,Haberdashery,PPG,NZ,8,16/11/2010
寶賢駒 ,C115,GRANDMA WIN,Ninetythreetwenty,Dragon Pulse,St Edith,PP,IRE,3,08/04/2016
嘉域騏 ,B110,GRATWICK,Gratwick,Reward For Effort,Kuda Cepat,PP,AUS,5,02/09/2013
一定中 ,C306,GREAT FIT,----,Highly Recommended,O'Right,PPG,NZ,3,13/12/2015
種福者 ,B390,GREAT HARVEST,----,Harbour Watch,Grojsman,PPG,AUS,3,24/09/2015
大將風彩 ,C290,GREAT RAINBOW DASH,----,Dark Angel,Sommerflora,PPG,GB,3,17/04/2016
志聰明 ,C319,GREAT SMART,The Founder,Fastnet Rock,Pear Tart,PP,AUS,3,09/09/2015
幸運大兄 ,A423,GREAT SON,----,Danerich,Fantastic Glen,PPG,AUS,4,02/11/2014
佳運來 ,T380,GREAT TREASURE,Haparanda,Husson,Russian Belle,PP,AUS,7,13/11/2011
大將風勝 ,B419,GREAT VICTORY,Monaco Avenue,Sebring,Fete Fille,PPG,AUS,3,14/09/2015
紅衣超勁 ,C393,GREATMOMENTS,Salento,Exceed And Excel,Our Golden Dream,PPG,AUS,2,30/09/2016
綠勇士 ,V126,GREEN CARD,Green Card,All American,Cristallo,PP,AUS,6,30/08/2012
綠色勁駒 ,V184,GREEN DISPATCH,War Dispatch,War Front,Photograph,PP,USA,7,19/02/2012
環保動力 ,A095,GREEN ENERGY,Vanderkemp,Rip Van Winkle,Medrano,PP,NZ,6,27/09/2012
果然友 ,C313,GREEN ENVY,----,Shamexpress,Comic Song,PPG,NZ,3,04/11/2015
環保時代 ,C355,GREEN GENERATION,----,Mastercraftsman,Kim Possible,PPG,NZ,4,02/11/2014
綠色有運 ,B413,GREEN LUCK,Green Luck,Street Cry,Damah Lady,PP,AUS,4,26/10/2014
綠色高山 ,C448,GREEN MOUNTAIN,Green Mountain,Street Cry,Berengaria,PP,AUS,4,12/09/2014
頌賞 ,B007,GUERDON HELMET,----,Helmet,Gathering Gold,PPG,AUS,4,29/10/2014
槍槍中 ,C092,GUN GUN WIN,Ransom Note,Star Witness,Extremis,PPG,AUS,4,21/10/2014
如真如假 ,C222,GUNNAR,I Am I Said,Hinchinbrook,Hot Diamond,PPG,AUS,3,21/08/2015
激賞 ,A377,GUNNISON,Gunnison,Not A Single Doubt,Colorado Claire,PP,AUS,4,21/08/2014
漫畫 ,C182,GUVNOR,Guvnor,Power,Royal Governess,PP,NZ,4,17/09/2014
喜佳龍 ,B377,GUY DRAGON,----,Dark Angel,Trip To The Moon,ISG,GB,4,22/04/2015
海南之星 ,B438,HAINAN STAR,----,Exceed And Excel,Patronyme,PPG,AUS,3,08/09/2015
多紅利 ,A215,HAIR TRIGGER,Hair Trigger,Smart Missile,Touch Of Greatness,PP,AUS,5,22/08/2013
艮志騰雲 ,B119,HANDSOME BO BO,----,Helmet,Sadler's Girl,PPG,AUS,4,03/09/2014
旋里多彩 ,B469,HANDSOME REBEL,Handsome Rebel,Denman,London Rebel,PP,AUS,3,24/08/2015
恆駿寶駒 ,T262,HANG'S DECISION,----,Postponed,Bislieri,PPG,NZ,7,15/09/2011
開心人生 ,C065,HAPPY ALUMNI,----,Starcraft,Attilia,PPG,AUS,3,08/10/2015
喜得威 ,C100,HAPPY BOYBOY,----,Husson,Leveller,PPG,NZ,3,29/10/2015
合作愉快 ,T392,HAPPY COOPERATION,----,Elusive City,Dolly Disaster,PPG,NZ,7,08/11/2011
合拍威龍 ,B099,HAPPY DRAGON,Yulong Xionghu,Raven's Pass,Mowazana,PP,GB,5,05/03/2014
家有喜事 ,C116,HAPPY FAMILY,Headway,Havana Gold,On Her Way,PP,GB,4,14/03/2015
再享耆成 ,B227,HAPPY FORCE,Force,Pierro,Hosiery,PPG,AUS,4,08/09/2014
快樂森林 ,C347,HAPPY FOREST,Not Usual Paradise,Tavistock,Pacific Paradise,PPG,NZ,3,22/09/2015
開心好玩 ,B316,HAPPY FUN,Darci de Luca,Darci Brahma,Mystery Creek,PP,NZ,5,19/10/2013
開心好友 ,B466,HAPPY GOOD GUYS,----,Zoustar,Sunday Chill,PPG,AUS,3,28/08/2015
好快樂 ,A365,HAPPY GUY,Undercover,Alamosa,Shy Belt,PP,NZ,5,03/11/2013
寶驫有盈 ,A348,HAPPY HAPPY,----,Rip Van Winkle,Molly Dear,PPG,NZ,5,30/09/2013
笑春風 ,A011,HAPPY HAPPY STAR,----,O'Reilly,Classy Fashion,PPG,AUS,5,01/10/2013
醉開心 ,B286,HAPPY HOUR,Notabadcraftsman,Mastercraftsman,Jolly Genie,PP,NZ,4,02/10/2014
開心計劃 ,C189,HAPPY PROJECT,----,Rock 'N' Pop,Bella Renza,PPG,NZ,3,07/08/2015
其樂無窮 ,S147,HAPPY ROCKY,----,Champs Elysees,Puzzling,PPG,GB,8,03/04/2011
悅裕 ,B189,HAPPY SEBRING,Admund Boy,Sebring,Here de Joy,PPG,AUS,4,15/11/2014
永常喜 ,V107,HAPPY SOUND,----,Thewayyouare,Striking Sneek,PPG,NZ,6,01/12/2012
快樂歡騰 ,B272,HAPPY TIME,Launch Code,Smart Missile,Dearness,PP,AUS,5,19/08/2013
快樂旅遊 ,B374,HAPPY TOUR,----,Snitzel,Good Weekend,ISG,AUS,4,08/10/2014
