Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
水箭龜 ,C450,BLASTOISE,Blastoise,Ambidexter,Lifting,PPG,AUS,3,21/09/2015
晴朗拍檔 ,B071,BLAZING PARTNERS,Sky Twenty One,Echoes Of Heaven,Flightime,PP,NZ,5,22/08/2013
世澤福星 ,C401,BLESSED STAR,----,Bernardini,Divine Spice,ISG,AUS,3,09/09/2015
銀亮福將 ,B418,BLINK OF A SECOND,Flying Saga,Real Saga,Spring Collection,PPG,AUS,4,26/08/2014
大灣駒 ,C018,BLISSFUL EIGHT,----,Snitzel,Lovemelikearock,PPG,AUS,3,12/08/2015
好得威 ,B290,BLITZING,----,Jimmy Choux,Fast Fame,PPG,NZ,4,04/10/2014
安定繁盛 ,C064,BLOOMING SPIRIT,Ask Not What,Spirit Of Boom,Pheebles,PPG,AUS,3,15/10/2015
孟買之星 ,A338,BOMBAY BLITZ,Detective,Snitzel,Covertly,PP,AUS,5,01/09/2013
八心之友 ,A007,BOND ELEGANCE,Gaby Driver,Hard Spun,La Italia,PPG,AUS,5,16/09/2013
駿驫 ,V319,BONITO,----,O'Reilly,Lafleur,ISG,NZ,6,16/10/2012
軍歌 ,T103,BORN IN CHINA,Born In Bombay,Shamardal,Pearl Dance,PP,GB,8,28/05/2011
老友記 ,T313,BORNTOACHIEVE,Borntoachieve,Bernardini,La Falette,PP,AUS,7,04/10/2011
勇敢神駒 ,C066,BRAVE BABY,Brave Story,Stratum,Rosmarino,PPG,AUS,4,30/10/2014
勇勢 ,B434,BRAVE COMMAND,----,Commands,Brave And Bold,PPG,AUS,4,31/08/2014
勇敢傳說 ,A260,BRAVE LEGEND,Khar Khorum,Choisir,Uno Sayuri,PP,AUS,5,01/10/2013
西夏之王 ,C295,BRAVERY AND POWER,Perfect Symmetry,Gimmethegreenlight,The Taj,PP,SAF,3,24/09/2015
彪形猛漢 ,A102,BRAVO WATCHMAN,Bravo Watchman,Congrats,Secover,PPG,AUS,5,07/10/2013
創紀錄 ,C168,BREAK RECORD,Let's Blaze,Casino Prince,Bella Laguna,PPG,AUS,3,17/10/2015
育馬新星 ,C162,BREEDERS' SKY,Hypnotist,Snitzel,My Amazing Dream,PP,AUS,4,21/10/2014
育馬妙星 ,V197,BREEDERS' STAR,Mistral Thief,Jet Spur,Like The Wind,PP,AUS,6,29/09/2012
春風得意 ,C309,BREEZE OF SPRING,----,Pins,Genius,PPG,NZ,3,22/09/2015
特醒 ,C060,BRIGHT KID,Pah Terie,Show A Heart,Exedra,PP,AUS,4,02/08/2014
錢途燦爛 ,C005,BRILLIANT,Trick And True,Encosta de Lago,True Roman,PPG,AUS,4,28/08/2014
必有利 ,C410,BRILLIANT PROFIT,----,Starcraft,Purring Flyer,ISG,AUS,3,10/09/2015
放馬過來 ,V407,BRING IT ON,Freeman,Arcano,Sassy Gal,PP,IRE,6,18/02/2013
二郎 ,C019,BUDDIES,----,So You Think,Gladwell,PPG,AUS,3,19/09/2015
燈胆精英 ,A183,BULB ELITE,The Soultaker,Iffraaj,Miranda Miss,PP,NZ,5,09/08/2013
牛精大哥 ,C034,BULLISH BROTHER,Victory Express,Reward For Effort,Stream Royale,PPG,AUS,3,09/09/2015
牛精輝煌 ,A118,BULLISH GLORY,Biz Heart,Roderic O'Connor,Biz Bar,PP,IRE,6,24/04/2013
活力寶駒 ,B279,BUNDLE OF ENERGY,D'Morris,Reliable Man,Betty Brown,PPG,NZ,4,17/08/2014
盡開顏 ,A317,BUOYANT BOY,----,Zoffany,Close To The Edge,ISG,GB,5,03/04/2014
,C338,C338,----,Snitzel,Ain'Tnofallenstar,PPG,AUS,2,21/10/2016
