B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_YIELDING,raceCourse_HV,raceCourse_ST,Runs_6,Runs_5,Runs_4,Runs_3,Runs_2,Runs_1,TrainerRank,SireRank,horseRank,JockeyRank,Draw,Rtg.+/-,AWT,class,DamRank,HorseMatchRank,Age,Horse Wt. (Declaration),Wt.+/- (vs Declaration)
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.461038961038961,6.457193292144749,6.527408637873754,6.473359073359074,6.581462708182476,1.0,0.359375,3.0,0.42857142857142855,0.41836734693877553,2.0,-22.0,133.0,3.0,3.0,9.0,3.0,1093.0,17.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,7.0,3.0,0.16901408450704225,0.0,0.0,0.17647058823529413,3.0,-11.0,107.0,3.0,0.0,3.5,6.0,1171.0,36.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.461038961038961,6.457193292144749,6.527408637873754,13.0,9.0,10.0,0.16901408450704225,0.0,0.0,0.25,1.0,-17.0,120.0,3.0,0.0,3.5,4.0,1273.0,-52.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,11.0,7.0,10.0,3.0,0.2840909090909091,0.0,0.0,0.19047619047619047,6.0,10.0,114.0,3.0,0.0,3.5,4.0,1133.0,3.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,9.0,1.0,6.0,0.2,12.0,0.3333333333333333,0.16417910447761194,10.0,-2.0,131.0,3.0,1.0,7.5,5.0,1147.0,6.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,10.0,5.0,1.0,0.19298245614035087,5.0,0.0,0.07547169811320754,8.0,-4.0,117.0,3.0,0.0,3.5,6.0,1205.0,27.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,9.0,6.0,1.0,3.0,0.2222222222222222,0.0,0.0,0.1791044776119403,7.0,9.0,115.0,3.0,0.0,3.5,8.0,1110.0,-5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.461038961038961,6.457193292144749,5.0,6.0,10.0,5.0,0.16901408450704225,1.0,0.0,0.22,4.0,18.0,118.0,3.0,0.0,3.5,5.0,1119.0,2.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,6.0,3.0,2.0,6.0,0.21978021978021978,2.0,0.3333333333333333,0.42857142857142855,11.0,10.0,124.0,3.0,2.0,7.5,5.0,1115.0,-13.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,7.0,9.0,12.0,0.3333333333333333,8.0,1.0,0.3707865168539326,5.0,-17.0,125.0,3.0,1.0,11.5,5.0,1165.0,15.0
