Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
8,8/10/8/9,,BLOOMING SPIRIT,C064,K H Chan,,9,F C Lor,46,-2,1148,-7,,3,-,g,105800,1,B/TT,Alfred Leung Woon Fun,Spirit Of Boom,Pheebles,PPG,110.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,nan,nan,10.0,0.0,0.0,0.0,0.0,40,$4468050,15.0,0.0,0.0,0.0,0.0,355,$122571500
9,11/11/9/10/2/10,,LUNAR ZEPHYR,V385,K C Ng,,6,W Y So,46,-2,1076,-17,1.10.28,5,-,g,782000,1,TT,Timon Tai,Commands,Gemadaily,PPG,117.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,8.0,11.0,0.0,0.0,0.0,0.0,0.0,74,$1124275,5.0,0.0,0.0,0.0,0.0,417,$29199425
10,7/8/7/1/7/9,,MANFUL STAR,V010,R Bayliss,,11,P F Yiu,45,-1,1159,-7,1.10.08,7,-,g,627900,1,,Choi Lung Wai,Northern Meteor,Hint Of Glory,PPG,119.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,7.0,7.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,6.0,0.0,0.0,0.0,0.0,346,$31737600
11,10/8/14/12,,DATING,B341,T H So,,1,C H Yip,43,-3,1038,+19,1.11.10,4,-,g,32200,1,B/H/TT,Gary Yiu Kwan Wai,Danerich,Perlight,PPG,115.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,4.0,10.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,458,$35142225
12,1/1/10/2/5/11,,CORRE RAPIDO,A053,K Teetan,,8,R Gibson,41,+9,1126,-8,1.08.90,6,-,g,1066050,2,B,Kenneth Kong Siu Chee & Elaine Kong Yick Ning,Iffraaj,Charangas,PPG,115.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,7.0,1.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,7.0,0.0,0.0,0.0,0.0,337,$41529695
1,2/3/5/5/8/11,,MAJESTIC ENDEAVOUR,A399,Z Purton,,1,C Fownes,40,0,1176,-8,1.09.90,5,-,g,826850,+ 1,XB,Virginia Siu Leung Hiu Bing,High Chaparral,Kylie's Way,PP,133.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,3.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,383,$41599150
2,8/6/4/6/8/1,,STAR SUPERIOR,V255,R Bayliss,,12,C W Chang,40,-2,1071,+3,1.09.17,6,-,g,527850,+ 1,,Li Si Rong,Reward For Effort,Sister Livia,PP,133.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,8.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,4.0,0.0,0.0,0.0,0.0,291,$14110775
3,5/6/4/5/8/9,,FAME AND FORTUNE,B082,C Y Ho,,4,D J Hall,39,-2,1039,-19,1.09.55,4,-,g,271400,* 1,B-/XB/P1,Hon Man Kit,Street Boss,Brooklyn Roads,PPG,132.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,5.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,5.0,0.0,0.0,0.0,0.0,318,$28633150
4,13/7/9/4/10/5,,STRIKING MR C,B141,M L Yeung,,11,T P Yung,36,-2,1240,+1,1.09.11,4,-,g,193200,+ 1,B/TT,Vanessa Lam Wai Shan,Super Easy,Charming Elle,PPG,127.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,13.0,13.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
5,8/2/6/11/1/11,,OTOUTO,V074,A Domeyer,,9,A T Millard,33,0,1069,-6,1.09.17,6,-,g,624450,+ 1,B,The Smartest Syndicate,Haradasun,Libor Lady,PP,126.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,6.0,11.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,12.0,0.0,0.0,0.0,0.0,282,$41467710
6,5/4/3/13/6/9,,ADONIS,A324,J Moreira,,8,L Ho,32,-2,1054,+11,1.09.32,5,-,g,144900,+ 1,H/PC,Johnson Chen,Exceed And Excel,Mythical Play,ISG,125.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,5.0,5.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,8.0,0.0,0.0,0.0,0.0,351,$28372790
7,3/3/11/2/1/5,,EXPONENTS,A031,G van Niekerk,,5,Y S Tsui,28,-1,1094,-45,1.10.62,5,-,g,552000,1,V,Lily Chan Li Lei & Marc Chan,Foxwedge,Sunday Service,PPG,121.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,6.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,8.0,0.0,0.0,0.0,0.0,449,$36322960
8,7/8/5/1/3/2,,JIMSON THE FAMOUS,T253,K H Chan,,10,C H Yip,28,-1,1022,+16,1.09.15,7,-,g,696900,+ 1,B/TT,Raymond Leung Yim San Leung Chung Wai & Leung Chung Shun,Yes It's True,Aucilla,PPG,111.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,8.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,8.0,0.0,0.0,0.0,0.0,458,$35142225
9,5/2/5/14/8/9,,HIDDEN SPIRIT,B130,K Teetan,,3,P O'Sullivan,22,0,1161,+6,1.09.26,4,-,g,200100,+ 1,B/TT,Mr & Mrs Matthew Chan Ka Shu,Alamosa,She's Assertive,PPG,115.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,7.0,5.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,6.0,0.0,0.0,0.0,0.0,288,$23773460
10,2/8/4/5/12/11,,THE HAPPY BUNCH,B121,M F Poon,1,2,C S Shum,20,0,1078,+32,1.09.34,4,-,g,258750,+ 1,B,CPKY Syndicate,Lope de Vega,Fairly Feline,PPG,110.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,6.0,2.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,10.0,0.0,0.0,0.0,0.0,396,$45020880
11,8/11/12/11/12/14,,INVESTOR BOOM,A424,C Wong,1,6,J Moore,17,-4,1192,+1,,4,-,g,41400,1,B/TT,Worldwide Chinese Investors Association,Foxwedge,Thebe,PPG,108.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,8.0,8.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,13.0,0.0,0.0,0.0,0.0,410,$104851100
12,12/4/9/9/6/8,,SURE SUPREME,B233,T H So,,7,W Y So,14,-2,1117,-5,1.10.53,4,-,g,41400,+ 1,B2,Star Chan Iu Seng Winnie Chan Wing Yan Simon Chan Cham Man & Vincent Chan Cham Wai,Your Song,Hidden Spirit,PPG,111.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 5,3,ST,6.0,nan,3.0,0.0,0.0,0.0,0.0,158,$4797125,5.0,0.0,0.0,0.0,0.0,417,$29199425
1,2/2/9/8/5/12,,VIVA COUNCIL,A190,C Wong,,8,L Ho,59,+2,1120,0,1.09.20,5,-,g,1032700,1,H/V,Dominic Chung Won Lok,O'Reilly,Holiday In Goa,PPG,128.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,6.0,2.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,8.0,0.0,0.0,0.0,0.0,351,$28372790
2,-,,COLORADO HIGH,C177,M Chadwick,,12,R Gibson,52,-,1226,-,,3,-,g,0,1,,Samuel Chow Wai Wong,Star Witness,Redance,PPG,126.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,6.0,nan,5.0,0.0,0.0,0.0,0.0,378,$28320850,7.0,0.0,0.0,0.0,0.0,337,$41529695
3,12/13/11/11/8/13,,MCMUNIGAL,B335,M F Poon,,5,D J Hall,52,-6,1027,-4,1.09.96,4,-,g,32200,1,TT,William Tsang Tony Tong Nai Kan Yu Yin Wai & Shirley Tsang Huang Yang,Epaulette,Picture Of Lily,PP,123.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,11.0,nan,7.0,0.0,0.0,0.0,0.0,389,$35001695,5.0,0.0,0.0,0.0,0.0,318,$28633150
4,3/1/11/10/5/11,,COOLCELEB,C030,M L Yeung,,2,T P Yung,51,0,1255,+17,1.09.41,3,-,g,897000,1,B,Great Fund Syndicate,Foxwedge,Celebrity Appeal,PPG,123.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,8.0,1.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
5,5/3/5/11/6/2,,HEARTS KEEPER,N360,A Domeyer,,10,D E Ferraris,51,-2,1266,-4,1.08.42,9,-,g,427800,+ 1,B/TT,Daisenpu Syndicate,Keeper,Mrs Zoff,PPG,125.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,7.0,3.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,5.0,0.0,0.0,0.0,0.0,394,$22761940
6,14/12/12/12,,CHARITYDREAM,B334,T H So,,9,W Y So,47,-4,1092,+26,1.11.54,4,-,g,0,* 2,CP/TT,Yuk Yat Syndicate,Oasis Dream,Morzine,PPG,119.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,8.0,14.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,5.0,0.0,0.0,0.0,0.0,417,$29199425
7,3/9/4/1/1/6,,EVER STRONG,A275,C Y Ho,,1,K L Man,47,0,1057,+2,1.08.90,5,-,g,1184500,1,P,Chiu Yu Hei & Edmond Chiu Sung Pak,Savabeel,Fire Song,PPG,121.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,6.0,3.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,6.0,0.0,0.0,0.0,0.0,353,$23743655
8,11/12/12,,BLADE RACER,C097,G van Niekerk,,3,C S Shum,46,-3,988,-13,,3,-,g,0,1,XB-/TT-,Winalot Racing Syndicate,Guillotine,Karenza,PPG,120.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,7.0,nan,7.0,0.0,0.0,0.0,0.0,322,$32053775,10.0,0.0,0.0,0.0,0.0,396,$45020880
9,11/7/6/11/7/7,,LET'S COME BACK,B367,R Bayliss,,6,C Fownes,45,-3,1123,0,1.10.63,4,-,g,0,1,B-/TT,Hong Kong Pegasus Racing Syndicate,Acclamation,Se La Vie,ISG,119.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,8.0,9.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,7.0,0.0,0.0,0.0,0.0,383,$41599150
10,10/2/5/7/9/2,,GRAND HARBOUR,P421,J Moreira,,7,C W Chang,43,0,1239,+3,1.08.36,8,-,g,1251200,+ 1,B/TT,Chiu Man Hin,Savabeel,Haberdashery,PPG,117.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,6.0,2.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,4.0,0.0,0.0,0.0,0.0,291,$14110775
11,5/6/3/2/7/3,,MULTIMAX,T129,K Teetan,,11,A S Cruz,43,-1,1156,0,1.08.66,7,-,g,1288000,1,B/TT,Perfect Ten Syndicate,Court Command,Fairy Tree,PPG,117.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,5.0,5.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
12,6/9/2/4/8/4,,VERY SWEET ORANGE,A300,K C Ng,,4,Y S Tsui,41,-2,1126,-9,1.09.70,4,-,g,312800,* 2,B,King Syndicate,Exceed And Excel,Dubai Me Diamonds,PPG,112.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,4,ST,5.0,8.0,0.0,0.0,0.0,0.0,0.0,74,$1124275,8.0,0.0,0.0,0.0,0.0,449,$36322960
1,2/8/2/4/5/4,,KING'S MAN,V156,G van Niekerk,,2,P F Yiu,60,+2,1103,-11,1.48.75,6,-,g,1166100,+ 1,V,Nelson Lee Yuk Ming Norman Ng Si Pang & Eric Poon Hung Cheung,Iffraaj,Ruqqaya,PPG,133.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,7.0,8.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,6.0,0.0,0.0,0.0,0.0,346,$31737600
2,1/1/10/9/13/3,,GENERAL DINO,A193,K Teetan,,3,D E Ferraris,58,+6,1040,+16,,5,-,g,1784800,1,B,Kam Chi Tat,Doctor Dino,Arthurs Princess,PP,131.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,1.0,1.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,5.0,0.0,0.0,0.0,0.0,394,$22761940
3,6/4/8/10/7/13,,GREAT TREASURE,T380,J Moreira,,10,Y S Tsui,58,-2,1029,-9,1.48.77,7,-,g,1400700,1,B,Ken Leung Woon Kin,Husson,Russian Belle,PP,131.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,4.0,4.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,8.0,0.0,0.0,0.0,0.0,449,$36322960
4,9/10/6/6/9/4,,FAITHFUL TRINITY,A247,M Chadwick,,12,R Gibson,57,-1,1072,-9,,5,-,g,885960,+ 1,H/P/TT,Lai Wai Chi,Wiener Walzer,Saaleland,PP,130.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,nan,nan,5.0,0.0,0.0,0.0,0.0,378,$28320850,7.0,0.0,0.0,0.0,0.0,337,$41529695
5,4/9/5/6/3/6,,BRING IT ON,V407,K C Ng,,4,C H Yip,53,-2,1128,+23,1.49.26,6,-,g,1145400,2,TT,Healthy Rich Syndicate,Arcano,Sassy Gal,PP,123.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,nan,nan,0.0,0.0,0.0,0.0,0.0,74,$1124275,8.0,0.0,0.0,0.0,0.0,458,$35142225
6,6/11/5/9/3/14,,ENFOLDING,B353,Z Purton,,9,C Fownes,53,-2,1044,-22,1.56.36,5,-,g,340400,+ 1,B-,Mr & Mrs Ben Wong Chung Mat,Fastnet Rock,Althea Rose,PP,126.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,5.0,6.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,383,$41599150
7,4/7/8/8/6/13,,CROWN AVENUE,V378,U Rispoli,,7,C H Yip,50,-2,1124,-14,1.47.31,6,-,g,55200,+ 1,V2,Mr & Mrs Chan Chung Yin and Mr & Mrs Clevin Got Chong Key,Hard Spun,Royal Tour,PP,123.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,7.0,nan,6.0,0.0,0.0,0.0,0.0,409,$31165425,8.0,0.0,0.0,0.0,0.0,458,$35142225
8,9/1/1/3/1/1,,HOLY UNICORN,V179,C Wong,,6,K H Ting,47,0,1038,-2,1.48.43,6,-,g,1838850,+ 1,TT,Leung Kai Fai,Holy Roman Emperor,Open Book,PPG,115.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,7.0,nan,12.0,0.0,0.0,0.0,0.0,326,$38085325,13.0,0.0,0.0,0.0,0.0,248,$24169720
9,3/6/3/7/8/11,,BUNDLE OF ENERGY,B279,K C Leung,,1,D J Hall,46,+1,1132,-5,,4,-,g,322000,+ 1,B,Mr & Mrs Colin Lo Chor Cheong,Reliable Man,Betty Brown,PPG,119.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,7.0,4.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,5.0,0.0,0.0,0.0,0.0,318,$28633150
10,5/13/11/13,,WHISKY KNIGHT,B313,C Y Ho,,8,J Moore,44,-2,1222,-16,,3,-,g,32200,1,PC/TT,Mr & Mrs James Tien Pei Chun,Medaglia d'Oro,Magic Nera,PPG,117.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,10.0,13.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,13.0,0.0,0.0,0.0,0.0,410,$104851100
11,1/10/4/2/3/2,,ENJOYABLE SUCCESS,B150,M L Yeung,2,13,C W Chang,40,+6,1065,+19,1.47.64,5,-,g,955650,1,B,Gratifier Syndicate,Frankel,Drops,PP,111.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,6.0,5.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,4.0,0.0,0.0,0.0,0.0,291,$14110775
12,10/8/8/7/7/2,,GOLDEN KID,V232,M F Poon,1,5,K W Lui,40,-2,1074,+20,1.50.02,7,-,g,340400,1,V,Lau Ying Kin,Holy Roman Emperor,Lacandona,PP,110.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,7.0,10.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,7.0,0.0,0.0,0.0,0.0,332,$31537875
13,10/7/2/2/8/3,,LUCKY SHINY DAY,A273,T H So,,11,L Ho,40,-1,1028,+17,1.49.38,4,-,g,723350,+ 1,,Chan Hung,Per Incanto,Zalass,PPG,111.0,ALL WEATHER TRACK,1800M,WET SLOW,Class 4,5,ST,8.0,10.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,351,$28372790
2,1/5/5/4/4/2,,TURIN REDSTAR,B092,K H Chan,,7,F C Lor,95,+5,1137,+14,1.37.76,5,-,g,2933250,2,CP/TT,Tsoi Huk Yam Ken Huang Jian Hua Sheldon Tse Hiu Tung & Wendy Wu Chuwan,Kyllachy,Meddle,PP,119.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 2,6,ST,7.0,1.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,15.0,0.0,0.0,0.0,0.0,355,$122571500
3,2/5/2/2/2/1,,RAGING BLITZKRIEG,B147,J Moreira,,9,J Size,93,+3,1111,+5,1.37.47,5,-,g,3247050,+ 1,H,Hayden Pong Hei Ting,Shamardal,Adja,PP,127.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 2,6,ST,8.0,nan,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
4,12/1/4/4/5/4,,GOOD OMEN,B208,U Rispoli,,1,C H Yip,88,0,1051,-5,,5,-,g,1958250,1,V,Guo Qin Jun,Holy Roman Emperor,Magic Nymph,PP,122.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 2,6,ST,7.0,12.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,8.0,0.0,0.0,0.0,0.0,458,$35142225
