Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
1,7/11/11/11/3/6,,RAZOR QUEST,S146,A Domeyer,,5,C W Chang,60,-2,1074,+13,,8,-,g,158700,* 1,TT,Mok Hing Kwong,Virtual,Takarna,PP,133.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,7.0,7.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,4.0,0.0,0.0,0.0,0.0,291,$14110775
2,7/12/5/10/6/3,,STARLIT KNIGHT,A137,J Moreira,,7,Y S Tsui,60,0,1106,-2,1.39.64,6,-,g,1343200,* 1,,Wong Yim Kwong,Fath,Jeunes Knight,PP,133.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,7.0,7.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,8.0,0.0,0.0,0.0,0.0,449,$36322960
3,8/6/3/3/6/7,,PLAY WISE,A411,C Wong,,6,C H Yip,57,-2,1066,+3,1.40.81,5,-,g,259900,* 1,V-,Friends of Sea Biscuit Syndicate,Alamosa,Grey Swan,PP,125.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,7.0,7.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,8.0,0.0,0.0,0.0,0.0,458,$35142225
4,6/8/7/11/8/10,,SLEEP EDUCATION,A362,U Rispoli,,9,D E Ferraris,57,-2,993,+7,,6,-,g,289800,1,B,David Hui Cheung Wing,Visionaire,Sweet Virginia,PP,130.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,nan,nan,6.0,0.0,0.0,0.0,0.0,409,$31165425,5.0,0.0,0.0,0.0,0.0,394,$22761940
5,6/4/8/2/9/8,,FLASH FAMOUS,B162,K H Chan,,3,F C Lor,54,-2,1125,-2,1.39.67,4,-,g,446200,+ 1,B-/PC1/TT,Prime Shop Syndicate,Ilovethiscity,Ruparani,PP,117.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,nan,nan,10.0,0.0,0.0,0.0,0.0,40,$4468050,15.0,0.0,0.0,0.0,0.0,355,$122571500
6,5/5/9,,BUDDIES,C019,Z Purton,,12,J Moore,52,0,1158,-20,,3,-,g,588800,+ 1,H/TT,Wong Chin Leung,So You Think,Gladwell,PPG,125.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,6.0,nan,22.0,0.0,0.0,0.0,0.0,525,$184804365,13.0,0.0,0.0,0.0,0.0,410,$104851100
7,8/9/9/10/7/11,,MULTIGOGO,A204,K Teetan,,10,A S Cruz,48,-3,1120,-9,1.40.57,5,-,g,0,1,H/TT,Lyraa Ng Yin Mui,Drumbeats,Lights Off,PPG,121.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,nan,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
8,9/10/11,,REEVE'S MUNTJAC,C174,T H So,,4,C H Yip,46,-3,1193,-15,1.39.73,3,-,c,0,2,TT,Mr & Mrs Tsoi Kwok Wai,Redoute's Choice,Ailalea,PPG,117.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,6.0,nan,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,458,$35142225
9,5/3/9/9/2/4,,SPEEDY WALLY,T002,C Schofield,,8,C Fownes,45,-1,1115,-13,1.39.27,8,-,g,340400,* 1,TT,Anthony Ko Siu Kee,Shinzig,Mota,PP,118.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,nan,nan,8.0,0.0,0.0,0.0,0.0,341,$42621250,7.0,0.0,0.0,0.0,0.0,383,$41599150
10,9/4/8/2/8/1,,HURRICANE HUNTER,A123,G van Niekerk,,11,C H Yip,43,-2,1118,-2,,5,-,g,692300,3,,Alex Chan Cheuk Lun,Darci Brahma,Leigh Valley,PPG,116.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,5.0,9.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,8.0,0.0,0.0,0.0,0.0,458,$35142225
11,11/11/4/7/11/11,,ART OF RAW,V368,C Y Ho,1,2,K W Lui,42,-2,1068,+8,1.39.31,6,-,g,87400,+ 1,H/TT,Mr & Mrs Chan Chi Kong,Myboycharlie,Tehamana,PP,115.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,6.0,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
12,5/8/8/8/6/5,,ASSOCIATION FANS,V207,M Chadwick,,1,L Ho,40,-2,1146,+10,1.39.18,6,-,g,897000,* 1,H/SR,The HK Racehorse Owners Association Syndicate,Onemorenomore,Krysia,PP,113.0,ALL WEATHER TRACK,1650M,WET SLOW,Class 4,1,ST,5.0,6.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,8.0,0.0,0.0,0.0,0.0,351,$28372790
1,8/14/12/12/11/9,,ELITE BOY,B015,M F Poon,,12,K H Ting,58,-2,1014,-10,1.08.25,4,-,g,55200,+ 1,B/TT,Wong Ho Yam,Align,English Kath,PPG,129.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,8.0,nan,7.0,0.0,0.0,0.0,0.0,389,$35001695,13.0,0.0,0.0,0.0,0.0,248,$24169720
2,12/7/12/10/12/12,,VERY LUCKY,A380,C Y Ho,,5,K W Lui,55,-3,1186,-18,1.10.79,5,-,g,0,* 1,B,Mr & Mrs Robert Lam Chi Hing,Stryker,Leica Gossip,PP,129.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,8.0,7.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
3,-,,BIG POWER,C178,A Domeyer,,3,C W Chang,52,-,1039,-,,3,-,g,0,* 2,H1/P1/TT1,Cheung Tin Chai & Cheung Shu Yan,Uncle Mo,I'm No Chicken,PPG,126.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,nan,nan,15.0,0.0,0.0,0.0,0.0,13,$1766400,4.0,0.0,0.0,0.0,0.0,291,$14110775
4,-,,MEHBOOB,C239,M Chadwick,,2,P O'Sullivan,52,-,1163,-,,3,-,g,0,1,,Harilela Racing Syndicate,Snippetson,Comedy Express,PPG,126.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,4.0,nan,5.0,0.0,0.0,0.0,0.0,378,$28320850,6.0,0.0,0.0,0.0,0.0,288,$23773460
5,4/1/8/10/4/1,,SKY TREASURE,V401,K C Leung,,4,Y S Tsui,49,0,1095,0,1.08.97,5,-,g,1159200,1,H,Skymark Syndicate,Stravinsky,Inzabeel,PPG,123.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,4.0,4.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,8.0,0.0,0.0,0.0,0.0,449,$36322960
6,4/9/3/7/10/4,,BOND ELEGANCE,A007,J Moreira,,10,J Size,48,-2,1055,-6,1.09.00,5,-,g,524400,1,P,WTC Syndicate,Hard Spun,La Italia,PPG,122.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,7.0,nan,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
7,7/6/7/9/8/6,,SWEETIE BARLEY,A231,Z Purton,,7,C Fownes,47,-2,1081,-16,1.09.13,5,-,g,0,* 2,PC-/B1,Mr & Mrs Ling Wai Sun and Michael Ling Siu Ming,Requinto,Definite Opinion,PP,121.0,ALL WEATHER TRACK,1200M,WET SLOW,Class 4,2,ST,8.0,nan,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,383,$41599150
