date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,9.0,7.0,120.0,11.0,7.0,14/9,nan,CALLING THE SHOTS,B239,C Murray,nan,6.0,C S Shum,71,+20,1020.0,+9,1.09.94,3.0,-,105800.0,2,B1/TT-,Ho Ho King Syndicate,Exchange Rate,Pick And Choose,PP,125.0,TURF - B Course,1200M,3,14,9,6.48439073514602,6.417066666666706,6.323215289488556,6.2689573459716685,nan,nan,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,3.0,0.0,0.2512437810945255,0.31666666666666665,2.5
20180902.0,9.0,4.0,64.0,10.0,4.0,11/11/7,nan,SPIRIT,B235,A Sanna,nan,2.0,M J Freedman,74,+10,1022.0,-11,1.10.14,4.0,-,0.0,1,B-/TT,Tony Yue Kwok Leung,Soldier Of Fortune,Dica,PP,128.0,TURF - B Course,1200M,3,11,11,7,6.417066666666706,6.323215289488556,6.2689573459716685,nan,TT,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2512437810945271,5.216832504145937,1.4523217247097844,0.14666666666666667,0.21311475409836064,6.550580431177446
20180902.0,9.0,6.0,8.4,9.0,6.0,7/3/5/7/7/1,nan,SUPER WISE,A100,U Rispoli,nan,11.0,C H Yip,72,-1,1116.0,+17,1.09.26,5.0,-,2132100.0,1,H/TT,Leung Lun Ping,Zoffany,Folichonne,PP,126.0,TURF - B Course,1200M,3,7,3,5,7,7,1,H,TT,None,None,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5,8.0,3.0,0.226890756302521,0.28368794326241137,8.5
20180902.0,9.0,9.0,13.0,8.0,9.0,4/7,nan,GOOD BEAUTY,B384,K C Leung,nan,10.0,J Moore,69,-2,1035.0,+8,1.10.41,4.0,-,1414500.0,+ 1,nan,Junbon Chan Chun Bong,Hard Spun,Lush Liaison,PP,123.0,TURF - B Course,1200M,3,4,7,6.48439073514602,6.417066666666706,6.323215289488556,6.2689573459716685,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,5.0,0.0,0.2196969696969697,0.21978021978021978,2.5
20180902.0,9.0,10.0,3.6,7.0,10.0,1/4/6/3,nan,SPEED VISION,B211,Z Purton,nan,9.0,F C Lor,67,-21,1160.0,+20,1.09.57,3.0,-,2359800.0,+ 1,B/TT,Yeung Pak Yau,Helmet,Sunburnt,PPG,121.0,TURF - B Course,1200M,3,1,4,6,3,6.323215289488556,6.2689573459716685,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2512437810945271,6.0,1.4523217247097844,0.527027027027027,0.3218390804597701,6.550580431177446
20180902.0,9.0,8.0,43.0,6.0,8.0,5/9/6/1/5/7,nan,ALL BEST FRIENDS,A217,H N Wong,nan,7.0,K L Man,69,+13,1064.0,+13,1.10.07,5.0,-,138000.0,+ 1,B,Chan Kwok Keung,Street Cry,Ambitious Lady,PP,120.0,TURF - B Course,1200M,3,5,9,6,1,5,7,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2,3.0,1.0,0.15463917525773196,0.2,5.0
20180902.0,9.0,2.0,9.9,5.0,2.0,6/9/9/9/7/3,nan,KEY WITNESS,S212,D Whyte,nan,8.0,A S Cruz,76,-1,1198.0,-8,1.08.33,8.0,-,1055700.0,1,B/TT,Arthur Antonio da Silva Betty da Silva & Teresa Marie da Silva,Show A Heart,Jessepic,PPG,130.0,TURF - B Course,1200M,3,6,9,9,9,7,3,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.2727272727272727,7.0,3.0,0.28695652173913044,0.21739130434782608,7.0
20180902.0,9.0,1.0,11.0,4.0,1.0,14/9/3,nan,ATTENTION,B306,C Schofield,nan,4.0,A T Millard,79,+2,1114.0,-8,1.09.39,5.0,-,82800.0,1,B1/TT1,Tony Lau Hon Kwan Dominic Lai David Poon Cheung Fung & Alfred Ronald Li Kwok Lung,Stratum,Flamboyance,PP,133.0,TURF - B Course,1200M,3,14,9,3,6.417066666666706,6.323215289488556,6.2689573459716685,nan,nan,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5,7.0,1.0,0.21428571428571427,0.23809523809523808,8.5
20180902.0,9.0,5.0,9.1,3.0,5.0,2/1/3/1/2/4,nan,SUN TOUCH,V266,H T Mo,nan,1.0,C S Shum,74,+3,1259.0,+59,1.09.09,6.0,-,558900.0,1,B/H/TT,Michael To Kwong Yip Tso Lai Ming & To Wing Shuen,Rip Van Winkle,Teardrop Island,PP,123.0,TURF - B Course,1200M,3,2,1,3,1,2,4,B,H,TT,None,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.25555555555555554,0.31666666666666665,2.5
20180902.0,9.0,11.0,3.2,2.0,11.0,11/6/4/2/5/5,nan,DARING FIT,V398,K Teetan,nan,3.0,P O'Sullivan,64,+5,1242.0,+11,1.09.40,5.0,-,664700.0,+ 1,B/TT-,David Ho Chi Hoo,Iffraaj,Skimmio,PPG,118.0,TURF - B Course,1200M,3,11,6,4,2,5,5,B,nan,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,6.0,0.0,0.25333333333333335,0.2184873949579832,2.5
