Draw,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Age,Season Stakes,AWT,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,SireRank,DamRank,horseRank,HorseMatchRank,JockeyRank,TrainerRank
2.0,64.0,31.0,1149.0,21.0,3.0,336775.0,116.0,3.0,11.0,9.0,11.0,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.5,0.14225941422594143,0.13725490196078433
7.0,69.0,8.0,1132.0,-9.0,7.0,0.0,121.0,3.0,12.0,12.0,10.0,10.0,10.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,4.5,0.15025906735751296,0.19658119658119658
3.0,77.0,-1.0,1113.0,12.0,5.0,1060150.0,121.0,3.0,10.0,6.689253447456015,6.675956422599443,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.5,0.10119047619047619,0.2422680412371134
8.0,69.0,24.0,1186.0,34.0,5.0,1432950.0,123.0,3.0,1.0,11.0,12.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,0.26666666666666666,11.0,0.2109704641350211,0.2236842105263158
5.0,63.0,-4.0,1151.0,28.0,5.0,484000.0,117.0,3.0,11.0,6.0,12.0,9.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,4.5,0.13815789473684212,0.2608695652173913
12.0,74.0,42.0,1116.0,24.0,5.0,337850.0,128.0,3.0,1.0,2.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.25,10.0,0.25,0.19658119658119658
1.0,64.0,-2.0,1190.0,28.0,5.0,867925.0,116.0,3.0,2.0,6.0,3.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.5,0.0,0.24378109452736318
14.0,63.0,5.0,1176.0,40.0,5.0,48000.0,117.0,3.0,5.0,9.0,6.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.5,0.23923444976076555,0.3014705882352941
6.0,64.0,5.0,1064.0,6.0,7.0,1107800.0,118.0,3.0,3.0,4.0,2.0,9.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,4.5,0.2773722627737226,0.23834196891191708
11.0,66.0,14.0,1139.0,11.0,6.0,129550.0,115.0,3.0,7.0,11.0,6.0,13.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,0.023076923076923078,0.24914675767918087
13.0,65.0,-10.0,1095.0,17.0,4.0,2102325.0,119.0,3.0,7.0,3.0,9.0,7.0,8.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,9.0,0.23893805309734514,0.2727272727272727
9.0,64.0,-8.0,1069.0,0.0,4.0,1700900.0,118.0,3.0,1.0,2.0,2.0,2.0,5.0,6.618059792556437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,0.4,14.0,0.14705882352941177,0.19444444444444445
4.0,72.0,29.0,1121.0,7.0,5.0,2108650.0,126.0,3.0,3.0,3.0,8.0,7.0,6.657052206518604,6.618059792556437,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,0.36363636363636365,13.0,0.37267080745341613,0.20522388059701493
10.0,79.0,14.0,1115.0,13.0,5.0,1142550.0,133.0,3.0,4.0,10.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.3333333333333333,12.0,0.5116279069767442,0.19337016574585636
4.0,83.0,26.0,1180.0,0.0,4.0,990250.0,120.0,2.0,6.753711201079622,6.689253447456015,6.675956422599443,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.5,0.14705882352941177,0.23834196891191708
3.0,83.0,-8.0,1250.0,13.0,5.0,1018325.0,120.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,3.5,0.23923444976076555,0.2236842105263158
9.0,83.0,-6.0,1100.0,18.0,6.0,838800.0,118.0,2.0,8.0,5.0,2.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.0,0.13725490196078433
7.0,84.0,-10.0,1076.0,30.0,3.0,2231625.0,121.0,2.0,5.0,10.0,6.675956422599443,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.2727272727272727,8.0,0.13815789473684212,0.2727272727272727
11.0,81.0,12.0,1078.0,0.0,6.0,1361250.0,116.0,2.0,11.0,6.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.5,0.15025906735751296,0.2236842105263158
6.0,94.0,1.0,1067.0,11.0,6.0,1683000.0,131.0,2.0,2.0,9.0,1.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.5,0.2773722627737226,0.42934782608695654
8.0,84.0,0.0,1152.0,1.0,5.0,247500.0,121.0,2.0,11.0,6.0,6.675956422599443,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.5,0.23893805309734514,0.20918367346938777
2.0,86.0,-30.0,1167.0,17.0,5.0,4809750.0,123.0,2.0,8.0,1.0,1.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,0.5,10.0,0.2109704641350211,0.24914675767918087
5.0,91.0,14.0,1260.0,23.0,6.0,660550.0,128.0,2.0,3.0,6.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,7.0,0.25,0.19444444444444445
1.0,86.0,21.0,1133.0,12.0,5.0,825000.0,121.0,2.0,3.0,8.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,0.3333333333333333,9.0,0.14225941422594143,0.21161825726141079
10.0,89.0,-30.0,1146.0,-3.0,5.0,4646000.0,126.0,2.0,1.0,1.0,1.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,1.0,11.0,0.5116279069767442,0.24378109452736318
13.0,48.0,41.0,1155.0,18.0,3.0,0.0,123.0,4.0,10.0,9.0,6.675956422599443,6.675155784340287,6.657052206518604,6.618059792556437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,0.15025906735751296,0.2236842105263158
4.0,42.0,-2.0,1129.0,23.0,5.0,1042000.0,109.0,4.0,1.0,10.0,11.0,9.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.10119047619047619,0.20522388059701493
1.0,44.0,11.0,1143.0,21.0,4.0,314000.0,121.0,4.0,1.0,3.0,1.0,6.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,0.2777777777777778,9.0,0.13815789473684212,0.2727272727272727
12.0,50.0,-2.0,1145.0,-18.0,6.0,724000.0,127.0,4.0,3.0,8.0,12.0,7.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,0.375,10.0,0.2773722627737226,0.23834196891191708
7.0,54.0,-2.0,1064.0,22.0,4.0,756000.0,131.0,4.0,13.0,11.0,14.0,11.0,9.0,6.618059792556437,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.23923444976076555,0.2422680412371134
9.0,52.0,19.0,1125.0,1.0,6.0,342000.0,129.0,4.0,7.0,6.0,6.0,12.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.1111111111111111,6.0,0.23893805309734514,0.14960629921259844
10.0,42.0,5.0,1186.0,3.0,5.0,474000.0,117.0,4.0,2.0,6.0,11.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.2,8.0,0.0,0.20522388059701493
2.0,53.0,-3.0,1164.0,8.0,6.0,0.0,130.0,4.0,8.0,7.0,12.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,0.5116279069767442,0.21161825726141079
5.0,44.0,12.0,1111.0,-7.0,8.0,860000.0,121.0,4.0,9.0,8.0,5.0,7.0,5.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.125,7.0,0.20634920634920634,0.16279069767441862
3.0,55.0,2.0,1089.0,2.0,7.0,272000.0,132.0,4.0,2.0,7.0,9.0,1.0,9.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,3.0,0.37267080745341613,0.16470588235294117
8.0,52.0,12.0,1127.0,-10.0,8.0,1024000.0,127.0,4.0,14.0,2.0,4.0,10.0,8.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,0.14225941422594143,0.24914675767918087
11.0,41.0,-3.0,1048.0,33.0,7.0,1228000.0,108.0,4.0,10.0,3.0,5.0,5.0,9.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.5,11.0,0.3394495412844037,0.13725490196078433
6.0,46.0,-4.0,1095.0,-5.0,4.0,1378200.0,123.0,4.0,9.0,7.0,3.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.6666666666666666,12.0,0.2109704641350211,0.19444444444444445
5.0,40.0,2.0,1049.0,20.0,6.0,0.0,133.0,5.0,14.0,14.0,11.0,14.0,11.0,6.618059792556437,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.5,0.14705882352941177,0.20320855614973263
14.0,31.0,8.0,1081.0,16.0,5.0,0.0,124.0,5.0,13.0,1.0,5.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.5,0.05660377358490566,0.10344827586206896
7.0,36.0,21.0,1054.0,-9.0,4.0,237000.0,129.0,5.0,9.0,13.0,4.0,10.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5,0.25,0.24378109452736318
13.0,25.0,3.0,1132.0,28.0,6.0,93000.0,116.0,5.0,12.0,10.0,9.0,8.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,0.0,0.21161825726141079
9.0,24.0,-12.0,1097.0,22.0,5.0,867000.0,117.0,5.0,11.0,7.0,6.0,10.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,0.5116279069767442,0.23834196891191708
4.0,37.0,6.0,1031.0,7.0,4.0,759000.0,125.0,5.0,12.0,10.0,8.0,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.42857142857142855,12.0,0.023076923076923078,0.1807909604519774
8.0,27.0,-11.0,1104.0,22.0,5.0,1209000.0,118.0,5.0,4.0,5.0,2.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.5,0.14225941422594143,0.13725490196078433
10.0,34.0,-2.0,1073.0,-6.0,5.0,300000.0,127.0,5.0,9.0,11.0,9.0,4.0,11.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,5.5,0.23893805309734514,0.24914675767918087
6.0,25.0,7.0,1175.0,42.0,8.0,132000.0,118.0,5.0,3.0,11.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5.5,0.13815789473684212,0.2608695652173913
