B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_YIELDING,raceCourse_HV,raceCourse_ST,Runs_6,Runs_5,Runs_4,Runs_3,Runs_2,Runs_1,TrainerRank,SireRank,horseRank,JockeyRank,Draw,Rtg.+/-,AWT,class,DamRank,HorseMatchRank,Age,Horse Wt. (Declaration),Wt.+/- (vs Declaration)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.104424778761062,6.117549668874172,6.442700156985871,6.602102102102102,6.636871508379889,7.037926675094817,0.25,0.0,0.0,0.2564102564102564,4.0,15.0,129.0,4.0,0.0,2.5,4.0,1066.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.104424778761062,6.117549668874172,8.0,10.0,12.0,7.0,0.2619047619047619,1.0,0.0,0.1388888888888889,3.0,-1.0,120.0,4.0,0.0,2.5,4.0,1037.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.104424778761062,10.0,5.0,13.0,3.0,10.0,0.21311475409836064,4.0,0.5,0.21875,7.0,2.0,123.0,4.0,1.0,6.5,4.0,1107.0,-2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.104424778761062,6.117549668874172,6.442700156985871,6.602102102102102,6.636871508379889,7.037926675094817,0.24390243902439024,3.0,0.42857142857142855,0.3333333333333333,2.0,14.0,129.0,4.0,3.0,5.0,3.0,1135.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,5.0,7.0,3.0,2.0,0.2608695652173913,4.0,0.5,0.18421052631578946,1.0,-4.0,115.0,4.0,4.0,6.5,8.0,1241.0,-4.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,9.0,5.0,11.0,0.17647058823529413,0.0,0.0,0.1388888888888889,6.0,-1.0,124.0,4.0,0.0,2.5,4.0,1123.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,12.0,12.0,13.0,6.0,0.23636363636363636,4.0,1.0,0.16279069767441862,8.0,4.0,116.0,4.0,1.0,10.0,6.0,1168.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,7.0,10.0,5.0,3.0,0.3584905660377358,13.0,0.6666666666666666,0.25,9.0,-13.0,115.0,4.0,8.0,8.5,7.0,1075.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.104424778761062,6.117549668874172,6.442700156985871,6.602102102102102,6.636871508379889,7.037926675094817,0.30158730158730157,5.0,0.6666666666666666,0.4909090909090909,10.0,-21.0,129.0,4.0,2.0,8.5,4.0,1253.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,11.0,2.0,5.0,10.0,0.10714285714285714,0.0,0.0,0.11627906976744186,4.0,4.0,127.0,4.0,0.0,4.0,7.0,1215.0,17.0
