date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180107.0,8.0,12.0,1.8,2.0,12.0,2/1/3,nan,AMAZING STAR,B019,J Moreira,nan,7.0,W Y So,62,+1,1140.0,-2,1.08.90,3.0,-,1179200.0,+ 1,nan,Grinders' Racing Club Syndicate,Darci Brahma,Bright Abyss,PPG,115.0,TURF - C Course,1200M,3,2,1,3,6.5360559234730395,6.447611710323523,6.440471353108529,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.0,17.0,3.0,0.4896265560165975,0.32038834951456313,10.0
20180107.0,8.0,11.0,15.0,1.0,11.0,4/8/10/2/1/1,nan,RADIANT STEED,V127,A Badel,nan,2.0,R Gibson,63,-19,1200.0,+7,1.09.53,6.0,-,1722650.0,+ 1,XB/B2/TT,Michael Lau Chor Chiu & Steve Lau Tsz Chung,Court Command,Thumb,PP,116.0,TURF - C Course,1200M,3,4,8,10,2,1,1,XB,nan,TT,None,nan,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.14285714285714285,5.0,1.0,0.22950819672131148,0.2719298245614035,5.0
20180110.0,8.0,1.0,25.0,12.0,1.0,11/14/4/6/6/3,nan,SEA JADE,V307,T Berry,nan,10.0,J Moore,93,+9,1227.0,+16,1.09.40,4.0,-,325500.0,+ 1,B,HK Golf Club Racing Syndicate,Star Witness,Aristocracy,PPG,131.0,TURF - B Course,1200M,2,11,14,4,6,6,3,B,None,None,None,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5384615384615384,17.0,7.0,0.24444444444444444,0.25196850393700787,6.0
20180110.0,8.0,7.0,22.0,11.0,7.0,1/5/4/3/8/5,nan,KEY WITNESS,S212,H T Mo,nan,11.0,A S Cruz,85,+8,1223.0,+12,1.09.25,7.0,-,1825500.0,1,B/TT,Arthur Antonio da Silva Betty da Silva & Teresa Marie da Silva,Show A Heart,Jessepic,PPG,116.0,TURF - B Course,1200M,2,1,5,4,3,8,5,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.25,8.0,3.0,0.2689075630252101,0.2222222222222222,3.0
20180110.0,8.0,10.0,31.0,10.0,10.0,10/7/13/4/2/4,nan,SUPER LIFELINE,P158,A Badel,nan,8.0,A T Millard,83,+3,1057.0,-20,1.09.90,8.0,-,111600.0,1,B,Dr Eddy Fong Ching,Churchill Downs,Regal Contessa,PPG,121.0,TURF - B Course,1200M,2,10,7,13,4,2,4,B,None,None,None,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,3.0,0.0,0.22950819672131148,0.17757009345794392,1.0
20180110.0,8.0,3.0,60.0,9.0,3.0,7/9/8/1/12/9,nan,DRAGON GENERAL,T400,N Rawiller,nan,6.0,Y S Tsui,89,-4,1094.0,-12,1.09.75,6.0,-,1845950.0,+ 1,B/TT,Au Kai Kwong & Michelle Jessica Au,Reaan,Grey Deceiver,PP,127.0,TURF - B Course,1200M,2,7,9,8,1,12,9,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.2,2.0,2.0,0.30434782608695654,0.21568627450980393,2.0
20180110.0,8.0,9.0,118.0,8.0,9.0,12/12/8/10/2/1,nan,HAPPY SPIRIT,V008,W M Lai,nan,3.0,K L Man,83,+21,1116.0,+6,nan,6.0,-,78600.0,* 1,B/TT,Edward Chan Kwok Man & Karen Chan Ka Yin,Holy Roman Emperor,Nanosecond,PPG,121.0,TURF - B Course,1200M,2,12,12,8,10,2,1,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.24822064056939647,15.0,1.8383748517200476,0.10606060606060606,0.18556701030927836,6.597271648873073
20180110.0,8.0,8.0,5.8,7.0,8.0,7/1/2/2/1/2,nan,FANTASTIC EIGHT,A079,U Rispoli,nan,9.0,P F Yiu,84,+5,1189.0,+8,1.09.47,4.0,-,1713700.0,+ 1,TT,UNO Eight Syndicate,Duporth,Delorosa,PPG,122.0,TURF - B Course,1200M,2,7,1,2,2,1,2,TT,None,None,None,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.8888888888888888,13.0,8.0,0.2966101694915254,0.32857142857142857,9.0
20180110.0,8.0,6.0,21.0,6.0,6.0,1/6/8/1/3/1,nan,FORTUNE BO BO,V017,P-C Boudot,nan,2.0,T P Yung,85,0,1104.0,-2,1.09.89,5.0,-,1493400.0,1,B/TT,Alan Tsang Ping Sing Fiona Tsang Wai Sze & Claudia Tsang Hei Man,Coats Choice,Blue Blond,PP,123.0,TURF - B Course,1200M,2,1,6,8,1,3,1,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1.0,3.0,1.0,0.24822064056939228,0.22395833333333334,10.5
20180110.0,8.0,11.0,9.0,5.0,11.0,6/11/1,nan,FORTUNE BOOTH,A418,K C Leung,nan,12.0,M J Freedman,81,-13,1093.0,-3,1.09.89,4.0,-,2590800.0,+ 1,H-,Simon Liu Wei Jie,More Than Ready,Gunawati,PP,117.0,TURF - B Course,1200M,2,6,11,1,6.5360559234730395,6.447611710323523,6.440471353108529,nan,None,None,None,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,2.0,1.0,0.23497267759562843,0.2,4.0
