Draw,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Age,Season Stakes,AWT,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,SireRank,DamRank,horseRank,HorseMatchRank,JockeyRank,TrainerRank
6.0,70.0,20.0,1130.0,15.0,4.0,1365550.0,124.0,3.0,7.0,1.0,1.0,10.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.3333333333333333,9.0,0.1864406779661017,0.2692307692307692
10.0,64.0,28.0,1053.0,24.0,5.0,713900.0,118.0,3.0,1.0,5.0,3.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.15789473684210525,6.0,0.10256410256410256,0.2032258064516129
5.0,70.0,24.0,1080.0,-5.0,5.0,448000.0,114.0,3.0,7.0,12.0,7.0,4.0,2.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.18181818181818182,7.0,0.28735632183908044,0.19830028328611898
1.0,64.0,13.0,1045.0,9.0,6.0,315800.0,118.0,3.0,10.0,12.0,11.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.15789473684210525,0.22875816993464052
13.0,79.0,46.0,1057.0,18.0,4.0,716475.0,133.0,3.0,8.0,9.0,10.0,7.0,10.0,14.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.4,10.0,0.3013698630136986,0.2768361581920904
7.0,69.0,-16.0,1034.0,0.0,4.0,1237950.0,121.0,3.0,6.736832579185521,6.676943699731903,6.6166464155528555,6.562325681184295,6.496828273674671,6.501203659123736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.17343173431734318,0.29931972789115646
12.0,63.0,3.0,960.0,4.0,5.0,0.0,107.0,3.0,11.0,1.0,5.0,13.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.14798206278026907,0.2446236559139785
3.0,62.0,-27.0,1178.0,34.0,5.0,2395925.0,116.0,3.0,1.0,5.0,6.6166464155528555,6.562325681184295,6.496828273674671,6.501203659123736,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,4.0,0.5,12.5,0.23661971830985915,0.29931972789115646
9.0,66.0,4.0,1111.0,3.0,5.0,704825.0,120.0,3.0,5.0,14.0,6.6166464155528555,6.562325681184295,6.496828273674671,6.501203659123736,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.24749163879598662,0.29931972789115646
11.0,64.0,-12.0,1010.0,26.0,4.0,1100925.0,116.0,3.0,7.0,12.0,11.0,10.0,9.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,3.0,0.1388888888888889,0.2824207492795389
8.0,65.0,11.0,1129.0,27.0,5.0,2335800.0,119.0,3.0,8.0,3.0,8.0,8.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0,0.2727272727272727,8.0,0.5146341463414634,0.2446351931330472
2.0,71.0,-7.0,1078.0,7.0,5.0,2133100.0,125.0,3.0,2.0,2.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.45454545454545453,11.0,0.21912350597609562,0.22317596566523606
