Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
1,8/7/10/6/10/14,,ABOVE,B345,C Schofield,,8,J Moore,40,-2,1002,-5,,3,-,g,0,1,B,Paul Kan Man Lok,Tavistock,Once More,PPG,133.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,8.0,8.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,13.0,0.0,0.0,0.0,0.0,410,$104851100
2,1/2/13/3/8/3,,BEST EFFORT,T220,K H Chan,,11,C Fownes,38,+7,959,-5,1.48.05,8,-,g,855600,1,,Poon Tit Man,Cape Cross,Chinese White,PP,121.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,1.0,1.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,7.0,0.0,0.0,0.0,0.0,383,$41599150
3,8/11/7/10/6/8,,VICTORIOUS LEADER,B288,C Wong,,2,C H Yip,38,-2,991,-10,,4,-,g,0,1,B/H,Mr & Mrs Chan Chor Lam,Alamosa,Awesome,PPG,126.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,7.0,11.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,8.0,0.0,0.0,0.0,0.0,458,$35142225
4,5/13/8/8/7/9,,VIRTUS STAR,B395,J Moreira,,9,D J Hall,38,-2,1049,0,1.49.93,3,-,g,24150,+ 1,H,HKUAA Syndicate,Sebring,Princess Natural,PPG,131.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,6.0,5.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,5.0,0.0,0.0,0.0,0.0,318,$28633150
5,2/10/1/6/11/11,,LUCKY WIN WIN,B035,M L Yeung,,4,T P Yung,37,+1,1210,+9,1.51.51,4,-,g,151800,+ 1,B,Mr & Mrs Charles Chan Kam Kwong,Ocean Park,On The Board,PPG,128.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,7.0,2.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
6,2/5/3/6/3/6,,FORTUNE PATROL,A245,K Teetan,,3,P O'Sullivan,35,0,1060,+5,1.49.72,5,-,g,727950,1,B/TT,Alan Chan Yau Yuet & Chris Chan Cheong Hoi,Rip Van Winkle,Gwyllion,PP,128.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,4.0,2.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,6.0,0.0,0.0,0.0,0.0,288,$23773460
7,9/2/1/8/11/13,,KEEP WINNING,B331,Z Purton,,7,C W Chang,35,0,1115,-11,,5,-,g,508875,+ 1,TT,Mr & Mrs George Chang,Henrythenavigator,Silver Star,PP,128.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,3.0,2.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,4.0,0.0,0.0,0.0,0.0,291,$14110775
8,11/7/3/4/5/13,,YOUNG GLORY,B292,U Rispoli,,13,D E Ferraris,34,0,1211,+14,1.49.23,4,-,g,426650,1,B,HKJC Racing Club Limited,Niagara,Divine Miss Em,PPG,127.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,10.0,9.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,5.0,0.0,0.0,0.0,0.0,394,$22761940
9,4/7/6/9/8/10,,GORGEOUS AGAIN,V326,G van Niekerk,,1,C S Shum,33,-1,1101,+7,1.47.90,6,-,g,193200,+ 1,B/H/TT,Mr & Mrs Yip Kong Wah,Fastnet Rock,Ocean Pearl,ISG,126.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,5.0,4.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,10.0,0.0,0.0,0.0,0.0,396,$45020880
10,6/3/6/8/2/7,,PEARL FURU,T431,T H So,,6,P O'Sullivan,33,-2,1168,+6,1.49.27,7,-,g,231150,2,B/TT,Mr & Mrs Kam Shing Kan,Fully Fledged,I'llthinkaboutit,PP,124.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,8.0,6.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,6.0,0.0,0.0,0.0,0.0,288,$23773460
11,9/4/1/4/8/5,,PROUD SKY,V406,A Domeyer,,12,L Ho,30,0,1058,-3,1.48.16,6,-,g,583050,+ 1,V,Francis Wong Shing Yick & Raymond Wong Kai Yuen,Acclamation,Claiomh Solais,PP,123.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,8.0,9.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,8.0,0.0,0.0,0.0,0.0,351,$28372790
12,4/9/12/11/7/8,,ROMANTIC JOURNEY,B107,R Bayliss,,14,C W Chang,25,-1,1073,-3,1.48.82,5,-,g,41400,2,B-/H2/TT,Alice Ming Bo Ting,More Than Ready,Perfect Truth,PP,118.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,7.0,6.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,4.0,0.0,0.0,0.0,0.0,291,$14110775
13,7/9/4/11/9/5,,CELEBRATION,A085,M Chadwick,,10,K H Ting,15,-2,1021,0,,5,-,g,89700,+ 1,B1,Lau Yiu Chu Cynthia Lau Sandra Lau & Robert Lau,O'Reilly,One Love,PPG,113.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,6.0,nan,5.0,0.0,0.0,0.0,0.0,378,$28320850,13.0,0.0,0.0,0.0,0.0,248,$24169720
14,13/11/11/10/14/12,,ROCKET GO,A322,M F Poon,1,5,K L Man,7,-8,1168,0,1.50.53,5,-,g,0,* 1,B/TT,Ma Kai Cheung,Fastnet Rock,Allez France,ISG,110.0,TURF - C Course,1800M,GOOD,Class 5,1,ST,5.0,nan,7.0,0.0,0.0,0.0,0.0,389,$35001695,6.0,0.0,0.0,0.0,0.0,353,$23743655
1,8/2/3/5/5/8,,MAJESTIC ENDEAVOUR,A399,K H Chan,,1,C Fownes,40,0,1162,-14,1.22.68,5,-,g,826850,+ 1,XB,Virginia Siu Leung Hiu Bing,High Chaparral,Kylie's Way,PP,122.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,8.0,3.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,7.0,0.0,0.0,0.0,0.0,383,$41599150
2,5/3/7/9/2/9,,GODSPEED,A087,C Y Ho,,2,D J Hall,39,-2,1145,+33,1.22.41,5,-,g,159160,+ 1,CP-,Raymond Ng Wai Man,Savabeel,I Que,PPG,131.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,6.0,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,5.0,0.0,0.0,0.0,0.0,318,$28633150
3,3/12/9/7/4/6,,MASSIVE MILLENNIUM,T381,C Schofield,,10,T P Yung,37,-1,1196,+9,1.23.19,7,-,g,527850,+ 1,H,Chan Kam Hung & Alan Chan Kin On,I Am Invincible,Sweet Maggie,PP,129.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,9.0,nan,8.0,0.0,0.0,0.0,0.0,341,$42621250,6.0,0.0,0.0,0.0,0.0,318,$27123515
4,5/12/7/3/7/1,,ROOKIE STAR,A384,R Bayliss,,9,P F Yiu,37,0,970,0,1.23.22,5,-,g,579600,+ 1,H,David Wu Wei Min,Hard Spun,Tango's Choice,PPG,129.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,7.0,8.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,6.0,0.0,0.0,0.0,0.0,346,$31737600
5,12/12/12/4/6/10,,GAINFULJET,V283,M L Yeung,,12,T P Yung,36,-3,1208,-1,1.22.62,5,-,g,0,2,B/H/TT,Joyful Syndicate,Choisir,Absolute Dream,PPG,126.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,12.0,12.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
6,8/11/13/10/11/9,,GUERDON HELMET,B007,M Chadwick,,7,D E Ferraris,35,-4,1038,+3,1.24.91,4,-,g,0,1,CP,Daisenpu Syndicate,Helmet,Gathering Gold,PPG,127.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,5.0,8.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,5.0,0.0,0.0,0.0,0.0,394,$22761940
