Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
7,7/6/4/9/6/6,,LOTUS BREEZE,T112,M F Poon,,5,W Y So,34,-2,1074,0,1.21.98,8,-,g,257600,+ 1,B/XB/TT,Tai Woon Shing & Timon Tai,Oasis Dream,Ebadiyla,PP,123.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,8.0,6.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,5.0,0.0,0.0,0.0,0.0,417,$29199425
8,4/8/2/2/8/3,,NEVER BETTER,T140,J Moreira,,6,P O'Sullivan,33,-1,1185,+3,1.23.12,7,-,g,817650,+ 1,B/TT,Billy Albert Kan Che Kin & Benjamin Kan Yiu Chung,Red Giant,Sweet Vibes,PPG,125.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,4.0,nan,18.0,0.0,0.0,0.0,0.0,338,$100795525,6.0,0.0,0.0,0.0,0.0,288,$23773460
9,10/9/10/11/13/1,,SOCCER BRAVE,T233,O Chavez,,13,D E Ferraris,32,-2,1025,-16,1.23.28,7,-,g,0,2,CP/TT,Wallace Cheung Kwong Yung,Windsor Knot,Toy Show,PP,124.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,nan,nan,0.0,0.0,0.0,0.0,0.0,0,$0,5.0,0.0,0.0,0.0,0.0,394,$22761940
10,8/10/13/13/14/7,,SUREWIN,B157,W L Ho,,3,C W Chang,30,-3,1222,-7,1.23.86,4,-,g,151800,* 1,B,Mr & Mrs Yiu King Chuen and Chris Yiu Chun Hang,Epaulette,Amoureux,PPG,122.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,11.0,nan,0.0,0.0,0.0,0.0,0.0,0,$0,4.0,0.0,0.0,0.0,0.0,291,$14110775
11,6/6/9/7/12/4,,KEEP GOING,B231,U Rispoli,,4,Y S Tsui,29,-2,1057,-9,1.22.84,4,-,g,82800,+ 1,B,Gui Shengyue,Testa Rossa,Mosoru,PPG,121.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,6.0,6.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,8.0,0.0,0.0,0.0,0.0,449,$36322960
12,11/6/5/12/12/9,,LIGHTNING MISSILE,A281,K Teetan,,11,K L Man,28,-3,1164,+14,1.22.35,5,-,g,24150,1,B/TT,Dr Richard Lo Kwong Yin & Dr Christine Lo Shing Yen,Smart Missile,Venetian Lady,PPG,120.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,6.0,11.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,6.0,0.0,0.0,0.0,0.0,353,$23743655
13,11/10/11/13/12/12,,LEISURED FEET,A277,T H So,,14,W Y So,29,-4,1214,0,1.22.28,5,-,g,24150,2,TT,Good Sharing Syndicate,Savabeel,Quatro,PPG,119.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,6.0,10.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,5.0,0.0,0.0,0.0,0.0,417,$29199425
14,3/3/4/6/4/6,,LUCKY STORM,B124,Z Purton,2,8,C S Shum,26,0,1118,-14,1.22.59,5,-,g,434700,+ 1,B/TT,Adrian Pang Hau Shu Patrick Chow Lap Kwok Dr Lam Kai Cheong & Matthew Kwan Ming Kin,Red Arrow,Eurostorm,PPG,118.0,TURF - C Course,1400M,GOOD,Class 5,2,ST,3.0,3.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,10.0,0.0,0.0,0.0,0.0,396,$45020880
1,9/10/5/12/7/11,,VOYAGE KING,B168,W L Ho,,2,F C Lor,60,-2,1132,-9,1.21.98,4,-,g,96600,1,V/TT,Sunshine And Moonlight Syndicate,Sidereus,Tatt's Lucky,PP,133.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,$0,15.0,0.0,0.0,0.0,0.0,355,$122571500
2,2/8/4/9/14/3,,SONIC FIGHTER,A187,Z Purton,,9,P O'Sullivan,59,0,1079,+12,1.21.90,5,-,g,443900,1,,Michael Chen Yuen Loong,Castledale,Indy Star,PPG,132.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,4.0,2.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,6.0,0.0,0.0,0.0,0.0,288,$23773460
3,8/11/6/5/1/4,,THOU SHALL SING,B047,R Bayliss,,3,W Y So,58,-1,1062,+1,1.22.99,4,-,g,855600,1,H/TT,Eclat Syndicate,Your Song,Shalt Not,PPG,131.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,6.0,8.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,5.0,0.0,0.0,0.0,0.0,417,$29199425
4,7/10/5/10/11/12,,LASTING FRIENDSHIP,B251,T H So,,14,L Ho,55,-2,1099,-3,1.21.47,5,-,g,48300,2,H/P,Forever Friendship Syndicate,Commands,Loch Maryanne,PP,126.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,8.0,8.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,351,$28372790
5,1/14/5/3/1/3,,CARE FREE PRINCE,V069,K H Chan,,6,K L Man,54,+7,1156,-8,1.21.36,6,-,g,1656000,2,B,Care Free Syndicate,Street Sense,Angora,PPG,117.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,1.0,1.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,6.0,0.0,0.0,0.0,0.0,353,$23743655
6,9/4/12/6/8/5,,SOCCER MASTER,B452,C Y Ho,1,4,D E Ferraris,42,-2,1115,-13,1.22.58,4,-,g,87400,2,,Wallace Cheung Kwong Yung,Iffraaj,Neuquen,ISG,115.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,7.0,4.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,5.0,0.0,0.0,0.0,0.0,394,$22761940
7,12,,DRAGON LEGEND,C169,K C Ng,,12,Y S Tsui,52,0,1148,-5,,3,-,g,0,* 1,B,Flying Queen's Racing Syndicate,Congrats,Scone,PPG,122.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,nan,nan,0.0,0.0,0.0,0.0,0.0,74,$1124275,8.0,0.0,0.0,0.0,0.0,449,$36322960
8,10,,FAIRY FLOSS,C236,K Teetan,,11,K H Ting,52,0,1034,-11,,3,-,g,0,* 2,H,John Tong Chor Nam & Herman Tsoi Hak Chiu,Guillotine,Hang Seng,PPG,125.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,7.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,13.0,0.0,0.0,0.0,0.0,248,$24169720
9,12,,TIGERLAD,C243,G van Niekerk,,8,R Gibson,52,0,1120,+7,,3,-,g,0,1,B/H,Francis & Louise Chan,Tiger Prawn,Je Suis,PPG,125.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,12.0,12.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,7.0,0.0,0.0,0.0,0.0,337,$41529695
10,10/6/9/7,,GALLANT LEGACY,B451,A Domeyer,,7,C W Chang,51,-2,1057,-3,1.23.67,4,-,g,55200,1,XB,Mr & Mrs Simon Suen Siu Man,Redoute's Choice,Torentosa,ISG,124.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,6.0,10.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,4.0,0.0,0.0,0.0,0.0,291,$14110775
11,4/2/9/7/5/4,,EMERALD SPUR,B258,M F Poon,,5,P F Yiu,49,0,1160,-9,1.22.55,4,-,g,257600,1,CP/TT,Flying Spur Syndicate,Super Easy,Emerald Isle,PPG,119.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,13.0,nan,7.0,0.0,0.0,0.0,0.0,389,$35001695,6.0,0.0,0.0,0.0,0.0,346,$31737600
12,7/11/4,,HAPPY BOYBOY,C100,M L Yeung,,10,T P Yung,48,-2,1048,-12,,3,-,g,55200,* 2,B1,Lai Chung Ming,Husson,Leveller,PPG,119.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,4.0,nan,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
13,10/11/6,,WONDER EXPRESS,C224,C Schofield,,1,C S Shum,48,-2,1152,+8,,3,-,g,105800,1,B/TT,Wonder Express Syndicate,Pierro,Choice Words,PPG,121.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,6.0,10.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,10.0,0.0,0.0,0.0,0.0,396,$45020880
14,14/11/4/11/6/3,,INTREPIC,A139,J Moreira,,13,D J Hall,44,-3,999,0,1.21.56,6,-,g,740600,1,B,William Tsang,Medaglia d'Oro,Across The Moon,PP,117.0,TURF - C Course,1400M,GOOD,Class 4,3,ST,10.0,14.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,5.0,0.0,0.0,0.0,0.0,318,$28633150
1,12/1,,GLENEALY GENERALS,B475,Z Purton,,7,C H Yip,57,0,1107,-2,1.10.36,3,-,g,1048800,+ 1,,Alan Lee Hung Chi Anthony Chan Wai Lun Daniel Chan Kin Wah & Margaret Chan Man Wah,Per Incanto,Grey Swallow,PPG,133.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,12.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,8.0,0.0,0.0,0.0,0.0,458,$35142225
2,2/2/5,,LITTLE WISE MAN,C217,W L Ho,,11,F C Lor,56,+1,1033,+5,,3,-,g,639400,+ 1,,Ho Tak Sum Au Yeung Tsui Wah Samson Ho Wei Ho & Ivy Ho Yuen Wei,Alamosa,Young American,PPG,132.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0,$0,15.0,0.0,0.0,0.0,0.0,355,$122571500
3,11/10,,HUMBLE STEED,A327,M L Yeung,,6,T P Yung,52,-5,1118,-10,,5,-,g,0,* 2,,Choi Wong Ling Ling Choi Kam Shan & Elina Choi Chun Ni,Kodiac,Singitta,ISG,126.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,12.0,nan,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
4,5,,ISLAND WINNER,C088,A Domeyer,,9,P F Yiu,52,0,1187,-6,,3,-,g,32200,* 1,B/TT,Ng To,Foxwedge,Iltizaam,PPG,128.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,5.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,6.0,0.0,0.0,0.0,0.0,346,$31737600
5,-,,SPEEDY MISSILE,C281,K Teetan,,4,K H Ting,52,-,1146,-,,3,-,g,0,1,,Yung Chak Man,Smart Missile,Skyerush,PPG,128.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,6.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,13.0,0.0,0.0,0.0,0.0,248,$24169720
6,12/9,,BEST FOR YOU,C223,G van Niekerk,,3,Y S Tsui,50,-2,1016,-10,1.12.58,3,-,g,105800,* 2,H/B1,Michael Ng Chun Ho & Jenny Ng Wing Sum,Not A Single Doubt,Frenchs Forest,PPG,126.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,nan,7.0,0.0,0.0,0.0,0.0,322,$32053775,8.0,0.0,0.0,0.0,0.0,449,$36322960
7,8/9,,FARM BUMPER,C244,K H Chan,,5,K L Man,50,-2,1113,-11,,3,-,g,0,1,,Chan Kin Yip,Tycoon Ruler,Buck 'N' Jazz,PPG,116.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,8.0,10.0,0.0,0.0,0.0,0.0,40,$4468050,6.0,0.0,0.0,0.0,0.0,353,$23743655
8,11/9,,NEW DYNAMIC,C033,M Chadwick,,12,P O'Sullivan,50,-2,1206,+8,1.11.27,3,-,g,0,1,B,Leung Moon Chuen Edmond Leung Wai Choi & George Leung Wai Ki,Poet's Voice,Distinctive Dane,PPG,126.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,10.0,11.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,6.0,0.0,0.0,0.0,0.0,288,$23773460
9,7/2/3/10/9/1,,SUPER EURO STAR,V313,C Wong,,1,C W Chang,46,0,1084,+11,1.09.41,6,-,g,886650,* 1,TT,Mr & Mrs Li Yiu Keung and Clement Li,Compton Place,Heliograph,ISG,117.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,7.0,7.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,4.0,0.0,0.0,0.0,0.0,291,$14110775
10,6/4/5/10,,FORTUNE HAPPINESS,B128,C Y Ho,,10,K W Lui,44,-2,1103,+18,,4,-,g,142600,+ 2,TT-,Samuel Leung Chun Wah,Starspangledbanner,Suite,PPG,120.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,7.0,6.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
11,3/9/9/9/2/6,,NICE FANDANGO,A209,M F Poon,,2,C Fownes,44,-1,1088,-6,,5,-,g,446200,1,H/XB,Leung Chung Shan,Reward For Effort,Charmed Lady,PPG,117.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,9.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,7.0,0.0,0.0,0.0,0.0,383,$41599150
12,4/4/6/9/7/7,,SUPER MODEL,B375,K C Ng,,8,C S Shum,41,-2,1114,+7,1.10.34,4,-,g,142600,1,TT,Tony Lau Yiu Tong Thomas Lau Sum Fai & Lau Yi Fai,Harbour Watch,Maid For Winning,ISG,114.0,TURF - C Course,1200M,GOOD,Class 4,4,ST,8.0,4.0,0.0,0.0,0.0,0.0,0.0,74,$1124275,10.0,0.0,0.0,0.0,0.0,396,$45020880
1,5/4/9/11/7/7,,AMAZING,A202,K Teetan,,11,D E Ferraris,60,-1,1114,+11,1.21.48,5,-,g,163300,1,TT,Peter Yip Hak Yung,Medaglia d'Oro,Pouter,PP,133.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,10.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,5.0,0.0,0.0,0.0,0.0,394,$22761940
2,9/8/10/10/12/3,,BEAUTY LOYAL,B383,O Chavez,,8,A S Cruz,59,-2,1102,+3,,4,-,g,616400,1,B/TT,Kwok Siu Ming,Darci Brahma,Singapore Sling,PP,132.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0,$0,10.0,0.0,0.0,0.0,0.0,464,$93973550
3,4/3/7/3/6/10,,ULTIMATE GLORY,S235,Z Purton,,7,K L Man,59,0,1278,-10,1.21.54,8,-,g,1104000,+ 1,V,Lok Man Chi,Exceed And Excel,Grilse,PP,132.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,5.0,nan,22.0,0.0,0.0,0.0,0.0,525,$184804365,6.0,0.0,0.0,0.0,0.0,353,$23743655
4,4/7/12/5/10/6,,STARLIT KNIGHT,A137,M L Yeung,,4,Y S Tsui,60,0,1091,-15,1.22.80,6,-,g,1343200,2,,Wong Yim Kwong,Fath,Jeunes Knight,PP,131.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,7.0,7.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,8.0,0.0,0.0,0.0,0.0,449,$36322960
5,-,,SPIRIT PATCH,C184,T H So,,10,P O'Sullivan,52,-,1127,-,,3,-,g,0,2,B1,Lam Wai Ying,Dundeel,Lunaspur,PPG,123.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,nan,nan,3.0,0.0,0.0,0.0,0.0,158,$4797125,6.0,0.0,0.0,0.0,0.0,288,$23773460
6,12,,STRATHBARRA,C055,A Domeyer,,3,A T Millard,52,0,1198,-13,,3,-,g,0,* 1,B1,Mr & Mrs Iain Bruce,Elusive Fort,Double Bluff,PPG,125.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,nan,nan,15.0,0.0,0.0,0.0,0.0,13,$1766400,12.0,0.0,0.0,0.0,0.0,282,$41467710
7,12/11,,BLISSFUL EIGHT,C018,M Chadwick,,12,J Moore,50,-2,1200,-14,,3,-,g,0,1,B,Blissful Syndicate,Snitzel,Lovemelikearock,PPG,123.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,6.0,11.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,13.0,0.0,0.0,0.0,0.0,410,$104851100
8,13/9/7/9/1/2,,APPLAUSE,A023,C Schofield,,6,K H Ting,49,-2,1070,-6,1.23.00,6,-,g,1035000,1,B,Chocolate Syndicate,Lope de Vega,Isola Di Capri,PP,122.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,6.0,nan,8.0,0.0,0.0,0.0,0.0,341,$42621250,13.0,0.0,0.0,0.0,0.0,248,$24169720
9,9/3/9/6,,GENERAL TRUMP,B394,U Rispoli,,2,T P Yung,49,-1,1087,-4,1.23.21,3,-,c,161000,1,TT,Well Blessing Syndicate,Rothesay,Cheree's General,PPG,122.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,1.0,nan,6.0,0.0,0.0,0.0,0.0,409,$31165425,6.0,0.0,0.0,0.0,0.0,318,$27123515
10,12/9/6,,IRON BRAVO,C012,G van Niekerk,,13,W Y So,48,-2,1097,-29,1.24.28,4,-,g,0,* 2,TT,Ronald Lau Sun Ting,Magnus,Autumn Belle,PPG,121.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,5.0,nan,7.0,0.0,0.0,0.0,0.0,322,$32053775,5.0,0.0,0.0,0.0,0.0,417,$29199425
11,1/5/7/4/5/3,,NICE KICK,B002,J Moreira,,9,J Size,46,+6,1096,+4,1.22.90,5,-,g,1216700,1,PC,Nameson Syndicate,Anacheeva,Aurora's Hot,PPG,119.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,5.0,5.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
12,6/5/10/6/3/4,,FAMILY LEADER,C089,R Bayliss,,5,C Fownes,45,-2,1150,+6,1.22.71,4,-,g,248400,1,H,Tony Stradmoor Billy Li Sze Kuen Norman Stradmoor & Russell Stradmoor,Makfi,Egeria,PPG,118.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,8.0,6.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,7.0,0.0,0.0,0.0,0.0,383,$41599150
13,9/4/6/6/6/7,,VITAL SPRING,A057,C Y Ho,,14,K W Lui,45,-2,1129,+9,1.22.38,6,-,g,55200,* 2,TT,The Executors of the Estate of the late George Wong Kin Wah,Per Incanto,Vital Choice,PPG,118.0,TURF - C Course,1400M,GOOD,Class 4,5,ST,8.0,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
