date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180905.0,7.0,8.0,2.0,1.0,8.0,9/2/5/4/6/8,nan,SKY MELODY,B218,Z Purton,2,8.0,C Fownes,65,-9,1241.0,+6,1.40.04,5.0,-,786600.0,1,nan,Bryan Kwan Hon Ming,High Chaparral,Dontwaltzme,PP,118.0,TURF - B Course,1650M,3,9,2,5,4,6,8,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5,5.0,1.0,0.3924050632911392,0.2564102564102564,7.0
20180905.0,5.0,3.0,20.0,10.0,3.0,12/7/8/9/3/4,nan,WAH MAY BABY,S247,H T Mo,nan,2.0,A S Cruz,52,+2,1128.0,-14,1.39.65,7.0,-,0.0,1,B/TT,Mr & Mrs Lau Ying Wah,Amadeus Wolf,Pearls Of Wisdom,PP,121.0,TURF - B Course,1650M,4,12,7,8,9,3,4,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.4,4.0,4.0,0.24324324324324326,0.36486486486486486,6.0
20180905.0,5.0,5.0,6.4,9.0,5.0,2/2/4/9/1/2,nan,STARLIT KNIGHT,A137,K C Leung,nan,8.0,Y S Tsui,50,-10,1092.0,+14,1.39.67,6.0,-,1343200.0,+ 1,B/TT,Wong Yim Kwong,Fath,Jeunes Knight,PP,124.0,TURF - B Course,1650M,4,2,2,4,9,1,2,B,TT,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.75,3.0,3.0,0.265625,0.4,10.0
20180905.0,5.0,2.0,10.0,8.0,2.0,1/5/7/3/1/7,nan,CHARITY WINGS,B003,G van Niekerk,nan,3.0,C S Shum,55,-4,1104.0,+8,1.39.64,5.0,-,961400.0,1,B,Mason Wu Shang Tun Chan Man Hon & Matthew Chan Man Fung,Bel Esprit,Viva Dubai,PPG,129.0,TURF - B Course,1650M,4,1,5,7,3,1,7,B,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5454545454545454,6.0,6.0,0.25880281690140733,0.3230769230769231,8.0
20180905.0,5.0,1.0,8.8,7.0,1.0,3/6/8/6/6/1,nan,KING'S MAN,V156,A Sanna,nan,1.0,P F Yiu,59,-1,1107.0,+10,1.40.36,6.0,-,1166100.0,1,V,Nelson Lee Yuk Ming Norman Ng Si Pang & Eric Poon Hung Cheung,Iffraaj,Ruqqaya,PPG,133.0,TURF - B Course,1650M,4,3,6,8,6,6,1,V,None,None,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,1.0
20180905.0,5.0,6.0,42.0,6.0,6.0,10/5/8/9/4/9,nan,LITTLE ISLAND,T390,H N Wong,nan,9.0,K L Man,46,+3,1024.0,-15,1.40.24,7.0,-,771880.0,+ 1,nan,Ko Kam Piu,Tavistock,Keep Alight,PP,117.0,TURF - B Course,1650M,4,10,5,8,9,4,9,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.1,7.0,1.0,0.2553191489361702,0.05357142857142857,2.0
20180905.0,5.0,4.0,3.2,5.0,4.0,1/4/7/7/6/7,nan,ALL YOU KNOW,A320,D Whyte,nan,7.0,R Gibson,50,-13,1056.0,+16,1.39.80,4.0,-,1279260.0,1,B-/H,Eric Ng Wing Kwong,Dark Angel,Marseille Express,ISG,124.0,TURF - B Course,1650M,4,1,4,7,7,6,7,nan,H,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.3333333333333333,5.0,1.0,0.18604651162790697,0.25,4.5
20180905.0,5.0,8.0,14.0,4.0,8.0,9/8/13/10/4/14,nan,THE SYLPH,T055,K Teetan,nan,4.0,D E Ferraris,46,+9,1012.0,-1,1.39.84,8.0,-,690000.0,1,SR/TT,Ewo Syndicate,Dane Shadow,Gone Wild,PP,120.0,TURF - B Course,1650M,4,9,8,13,10,4,14,SR,TT,None,None,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.25,1.0,1.0,0.30158730158730157,0.3013698630136986,3.0
20180905.0,5.0,10.0,5.7,3.0,10.0,6/7/2/4/9/3,nan,POLYMER LUCK,T326,M L Yeung,nan,10.0,K W Lui,42,-3,1067.0,-8,1.40.46,6.0,-,694600.0,+ 1,BO/XB,Alan Cheng Kin Sang,Pins,Savamour,ISG,114.0,TURF - B Course,1650M,4,6,7,2,4,9,3,BO,XB,None,None,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.6,10.0,3.0,0.09090909090909091,0.34545454545454546,9.0
20180905.0,5.0,7.0,5.5,2.0,7.0,4/2/5/14/11/13,nan,SPEEDY WALLY,T002,Z Purton,nan,6.0,C Fownes,46,+3,1120.0,+8,1.40.08,8.0,-,340400.0,+ 1,TT,Anthony Ko Siu Kee,Shinzig,Mota,PP,120.0,TURF - B Course,1650M,4,4,2,5,14,11,13,TT,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.42857142857142855,3.0,3.0,0.3924050632911392,0.2564102564102564,7.0
20180905.0,5.0,9.0,22.0,1.0,9.0,12/4/9/1/7/7,nan,ASSOCIATION FANS,V207,M Chadwick,nan,5.0,L Ho,43,+3,1146.0,-44,1.40.36,6.0,-,897000.0,1,H/SR,The HK Racehorse Owners Association Syndicate,Onemorenomore,Krysia,PP,117.0,TURF - B Course,1650M,4,12,4,9,1,7,7,H,SR,None,None,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.3333333333333333,5.0,2.0,0.29411764705882354,0.27586206896551724,4.5
20180905.0,1.0,3.0,7.6,8.0,3.0,8/5/9/7/2/5,nan,MY BLESSING,V164,C Wong,nan,3.0,C H Yip,33,+10,1066.0,+1,1.39.92,6.0,-,65550.0,+ 1,CP/XB/TT,Andy Wu Bark To,Tavistock,Diversa,PPG,120.0,TURF - B Course,1650M,5,8,5,9,7,2,5,CP,XB,TT,None,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,7.0,0.0,0.5384615384615384,0.15151515151515152,2.0
20180905.0,1.0,4.0,9.8,7.0,4.0,7/3/8/4/5/6,nan,MI BLANCO,A186,K Teetan,nan,5.0,A T Millard,32,+3,1096.0,+8,1.41.54,5.0,-,665850.0,1,B-/CP1/TT,Mr & Mrs Mark Fong Chung Matthew Fong and Victoria Fong,Cape Blanco,Mi Centie,PPG,129.0,TURF - B Course,1650M,5,7,3,8,4,5,6,nan,nan,TT,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.30158730158730157,0.3902439024390244,2.0
20180905.0,1.0,6.0,6.4,6.0,6.0,2/11/5/10/2/3,nan,CELEBRATION,A085,G van Niekerk,nan,2.0,D E Ferraris,26,+11,1021.0,-12,1.40.79,5.0,-,89700.0,+ 1,nan,Lau Yiu Chu Cynthia Lau Sandra Lau & Robert Lau,O'Reilly,One Love,PPG,123.0,TURF - B Course,1650M,5,2,11,5,10,2,3,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.6666666666666666,12.0,2.0,0.25880281690140733,0.3013698630136986,8.0
20180905.0,1.0,5.0,18.0,5.0,5.0,9/7/13/13/10/9,nan,TORNEY,A063,M L Yeung,nan,7.0,L Ho,28,0,1131.0,-42,1.40.66,6.0,-,24150.0,+ 1,B-/PC1,Torney Syndicate,Thorn Park,Driving Rein,PPG,123.0,TURF - B Course,1650M,5,9,7,13,13,10,9,nan,nan,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.25,1.0,1.0,0.09090909090909091,0.27586206896551724,4.0
20180905.0,1.0,8.0,10.0,4.0,8.0,14/10/12/6/11/12,nan,EASTERN PROWESS,V295,H T Mo,nan,6.0,C S Shum,23,+1,1085.0,+19,1.40.58,6.0,-,41400.0,1,H-/V-/B1/TT2,Competitive Advantage Syndicate,Teofilo,Speedos,PPG,115.0,TURF - B Course,1650M,5,14,10,12,6,11,12,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.0,1.0,0.0,0.24324324324324326,0.3230769230769231,2.0
