B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_r,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_YIELDING,raceCourse_HV,raceCourse_ST,Runs_6,Runs_5,Runs_4,Runs_3,Runs_2,Runs_1,TrainerRank,SireRank,horseRank,JockeyRank,Draw,Rtg.+/-,AWT,class,DamRank,HorseMatchRank,Age,Horse Wt. (Declaration),Wt.+/- (vs Declaration)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,2.0,1.0,2.0,6.0,0.25,2.0,0.0,0.265625,3.0,0.0,126.0,5.0,0.0,4.5,6.0,1080.0,-3.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,11.0,6.0,8.0,10.0,0.36486486486486486,1.0,0.0,0.18604651162790697,10.0,8.0,118.0,5.0,0.0,4.5,5.0,1077.0,42.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,10.0,14.0,7.0,9.0,12.0,0.2222222222222222,5.0,0.0,0.30158730158730157,4.0,4.0,113.0,5.0,0.0,4.5,6.0,1064.0,-18.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,2.0,7.0,6.0,10.0,0.05555555555555555,0.0,0.0,0.10344827586206896,9.0,9.0,120.0,5.0,0.0,4.5,8.0,1045.0,23.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,9.0,6.0,5.0,8.0,0.27586206896551724,2.0,1.0,0.29411764705882354,7.0,0.0,117.0,5.0,1.0,11.0,8.0,1135.0,-8.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,7.0,7.0,4.0,8.0,0.3230769230769231,6.0,0.4444444444444444,0.3170731707317073,1.0,8.0,133.0,5.0,4.0,10.0,5.0,1022.0,13.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,3.0,5.0,5.0,2.0,0.2564102564102564,3.0,0.42857142857142855,0.3924050632911392,6.0,-3.0,133.0,5.0,3.0,9.0,7.0,1097.0,6.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,3.0,11.0,9.0,9.0,0.05555555555555555,0.0,0.0,0.10344827586206896,5.0,-5.0,128.0,4.0,0.0,1.5,6.0,1115.0,6.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,4.0,0.15151515151515152,7.0,0.0,0.3170731707317073,7.0,27.0,124.0,4.0,0.0,1.5,5.0,1057.0,-14.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,6.0,1.0,8.0,7.0,3.0,0.34545454545454546,2.0,0.2,0.3064516129032258,6.0,0.0,121.0,4.0,1.0,4.0,5.0,1091.0,-4.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,6.0,1.0,1.0,4.0,0.2564102564102564,1.0,0.25,0.23076923076923078,2.0,0.0,129.0,4.0,1.0,6.0,7.0,1074.0,24.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,9.0,10.0,7.0,14.0,8.0,0.2564102564102564,2.0,0.3333333333333333,0.3924050632911392,1.0,0.0,133.0,4.0,2.0,8.0,4.0,1103.0,25.0
