Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
6,2/8/7/5,,MR DARTHVEGAR,C032,Z Purton,,10,R Gibson,51,+2,1150,+19,1.40.00,4,-,g,234600,1,H/TT1,Kathleen Shi Pui Ka,Lope de Vega,She's Due,PPG,124.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,6.0,2.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,7.0,0.0,0.0,0.0,0.0,337,$41529695
7,12/7/13/9,,MEDIC DRAGON,B443,M Chadwick,,5,P O'Sullivan,49,-3,1017,+12,1.40.85,4,-,g,0,1,H,Medicore Syndicate,Kodiac,Lilium,ISG,122.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,12.0,12.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,6.0,0.0,0.0,0.0,0.0,288,$23773460
8,9/3/9/4/8/12,,HAPPY HOUR,B286,G van Niekerk,,8,C H Yip,48,-2,1085,+12,,4,-,g,161000,+ 1,B/TT,Life of Pleasure Syndicate,Mastercraftsman,Jolly Genie,PP,121.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,6.0,nan,7.0,0.0,0.0,0.0,0.0,322,$32053775,8.0,0.0,0.0,0.0,0.0,458,$35142225
9,4/8/3/5/6/5,,FLAME LILY,B050,U Rispoli,,12,F C Lor,47,0,1203,-25,,5,-,g,331200,1,TT,Lily Syndicate,Danehill Dancer,Showerproof,PPG,120.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,4.0,4.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,15.0,0.0,0.0,0.0,0.0,355,$122571500
10,4/8/4/2/4/4,,LE PANACHE,V369,K C Ng,,6,W Y So,45,0,1087,-8,1.45.14,6,-,g,1228200,2,B,Kok Jian Pei,Acclamation,Heavens Peak,PP,115.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,8.0,nan,0.0,0.0,0.0,0.0,0.0,74,$1124275,5.0,0.0,0.0,0.0,0.0,417,$29199425
11,5/2/7/4/8/3,,GOLD VELVET,V400,A Domeyer,2,9,A T Millard,44,0,1146,+1,1.40.31,5,-,g,289800,1,B,Gibson Lau Wai Chi Eric Lau Pui Kit & Ricky Lau Pui Wai,Savabeel,Girls On Top,PPG,117.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,6.0,5.0,15.0,0.0,0.0,0.0,0.0,13,$1766400,12.0,0.0,0.0,0.0,0.0,282,$41467710
12,2/3/2/1/1/3,,THE JOY OF GIVING,A249,T H So,,4,C W Chang,41,+1,1005,+38,1.41.17,5,-,g,1781350,1,B,The Joy of Giving Syndicate,Thewayyouare,Vera Mont,PP,112.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,7.0,nan,3.0,0.0,0.0,0.0,0.0,158,$4797125,4.0,0.0,0.0,0.0,0.0,291,$14110775
1,2/3/2/2/1/5,,RACING FIGHTER,B285,Z Purton,,7,C H Yip,80,+3,1166,+15,1.11.08,4,-,g,1904400,+ 1,B,CAAF Syndicate,Mastercraftsman,Comme Tu Veux,PP,133.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,6.0,2.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,8.0,0.0,0.0,0.0,0.0,458,$35142225
2,7/2/6/5/2/8,,JING JING WIN,V328,J Moreira,,6,D J Hall,78,0,1076,-15,1.09.89,6,-,g,655500,+ 1,CP,Liu Yu Wen,Starcraft,Top Cuban,ISG,131.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,8.0,nan,18.0,0.0,0.0,0.0,0.0,338,$100795525,5.0,0.0,0.0,0.0,0.0,318,$28633150
3,9/11/9,,SUPREME PATROL,C300,M Harley,,9,D E Ferraris,76,-2,1165,+4,1.11.24,4,-,g,0,+ 1,,Alan Chow Kwun Lun & Gordon Fung Ping Chung,Var,Covenant,PP,129.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,10.0,9.0,5.0,0.0,0.0,0.0,0.0,82,$4067550,5.0,0.0,0.0,0.0,0.0,394,$22761940
4,2/6/5/3/9/5,,HARRIER JET,T372,N Callan,,1,P O'Sullivan,73,+2,1129,-7,1.09.27,7,-,g,607200,+ 1,V/TT,Wei Yu & Liu He,Dane Shadow,Borobodur,PP,126.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,4.0,2.0,4.0,0.0,0.0,0.0,0.0,331,$26237400,6.0,0.0,0.0,0.0,0.0,288,$23773460
5,5/2/9/6/8/2,,BUOYANT BOY,A317,C Y Ho,,8,K L Man,68,0,1028,-10,1.09.83,5,-,g,655500,+ 1,TT,Mr & Mrs Chiu Tao,Zoffany,Close To The Edge,ISG,121.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,6.0,5.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,6.0,0.0,0.0,0.0,0.0,353,$23743655
6,4/3/5/10/1/2,,E MASTER,A254,C Schofield,,5,C Fownes,66,0,1121,+5,1.09.77,5,-,g,1798600,+ 1,XB,Mr & Mrs Jacky Yim,Dreamscape,Ditas,PPG,119.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,3.0,3.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,7.0,0.0,0.0,0.0,0.0,383,$41599150
7,9/7/5,,GINTOKI,C216,M L Yeung,,4,T P Yung,66,-2,1122,-8,,4,-,g,48300,+ 1,,Gin Syndicate,Star Witness,Leopard Skin,PP,117.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,6.0,9.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,6.0,0.0,0.0,0.0,0.0,318,$27123515
8,7/4/8/7/6/6,,MEGA HEART,A148,R Bayliss,,11,C W Chang,66,-2,1178,+12,1.10.37,6,-,g,82800,+ 1,XB/TT,Mok Kam Hung & Michael Mok Kwan Yuen,Foreplay,The Baroness,PP,119.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,6.0,6.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,4.0,0.0,0.0,0.0,0.0,291,$14110775
9,10/7/12/14,,SPEEDY LUCK,C144,K C Leung,,12,P F Yiu,66,-2,1185,-4,,4,-,g,0,+ 1,H/TT,Eddie Chung Kwok Leung,Poet's Voice,Maziona,PP,119.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,10.0,8.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,6.0,0.0,0.0,0.0,0.0,346,$31737600
10,-,,PRIVATE ROCKET,C367,U Rispoli,,2,J Moore,70,-,1092,-,,3,5,g,0,+ 1,,Marces Lee Tze Bun,Dark Angel,Love In The Desert,PP,118.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,5.0,nan,6.0,0.0,0.0,0.0,0.0,409,$31165425,13.0,0.0,0.0,0.0,0.0,410,$104851100
11,13/3/4/2/2/10,,BETTER CHOICE,A383,K Teetan,,10,W Y So,62,-1,1019,-11,1.10.47,5,-,g,747500,* 1,CP-,Winning Way Syndicate,Hard Spun,Sweet Scene,PPG,115.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,7.0,13.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,5.0,0.0,0.0,0.0,0.0,417,$29199425
12,4/2/3/3/1/1,,SPLIT OF A SECOND,B027,M F Poon,,3,L Ho,62,0,1088,-1,1.09.68,5,-,g,1699700,+ 1,H,Merry Gang Syndicate,Helmet,Umoya,PPG,112.0,TURF - A Course,1200M,GOOD,Class 3,7,HV,5.0,4.0,7.0,0.0,0.0,0.0,0.0,389,$35001695,8.0,0.0,0.0,0.0,0.0,351,$28372790
1,7/9/12/6/2/7,,GIANT TURTLE,T391,C Wong,,2,A T Millard,80,-1,1065,+5,1.49.98,7,-,g,1263900,1,SR/TT,Joseph Fong Kit Man,Zabeel,Lacada,PP,128.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,7.0,7.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,12.0,0.0,0.0,0.0,0.0,282,$41467710
2,1/2/9/9/4/4,,BRAVE LEGEND,A260,K Teetan,,12,A S Cruz,79,+7,1177,+9,1.49.17,5,-,g,1414500,1,B/TT,Lianne Lam & Matthew Lam Kin Hong,Choisir,Uno Sayuri,PP,132.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,12.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
3,8/9/2/8/7/3,,MARZOUQ,B094,J Moreira,,7,J Size,78,-2,979,+1,,5,-,g,303600,1,,Martin Siu Kim Sun,Spring At Last,Smart 'n Special,PP,131.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,9.0,9.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
4,4/3/8/6/11/9,,BEAR SLAM,C143,N Callan,,6,D E Ferraris,76,-1,1010,-1,,4,-,g,241500,1,,Mr & Mrs Peter P C Fan,Mizzen Mast,Solo Piano,PP,129.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,3.0,3.0,4.0,0.0,0.0,0.0,0.0,331,$26237400,5.0,0.0,0.0,0.0,0.0,394,$22761940
5,9/10/9/7/3/5,,RULE THEE,A172,G van Niekerk,,5,P O'Sullivan,72,-2,1067,+5,1.49.74,6,-,g,1076400,1,B,Noble Wife Syndicate,Tavistock,Dantessa,PP,125.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,8.0,10.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,6.0,0.0,0.0,0.0,0.0,288,$23773460
6,1/11/2/10/11/13,,TRAVEL FIRST,T098,T H So,,10,C H Yip,68,+6,1206,+21,1.48.37,8,-,g,1702000,1,B/TT,Jackie Wong See Sum,Duke Of Marmalade,Starship,PP,119.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,5.0,4.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,458,$35142225
7,9/5/8/2/5/3,,RIGHT HONOURABLE,A164,R Bayliss,,8,R Gibson,67,-2,1019,-5,,5,-,g,1083300,1,H/P/TT,Yan Ming,Famous Name,Agnetha,PP,120.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,9.0,9.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,7.0,0.0,0.0,0.0,0.0,337,$41529695
8,2/8/2/5/2/10,,VIGOR FAME,B260,C Y Ho,,3,K W Lui,66,+2,1012,-8,1.49.32,5,-,g,959100,1,H/XB/TT,Brave Heart Syndicate,Lord Of England,Shokogirl,PP,119.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,nan,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
9,1/2/1/6/10/10,,RULETHEROOST,B299,U Rispoli,1,1,F C Lor,64,+5,1129,+10,1.49.57,4,-,g,1251200,1,CP,Ascendancy Syndicate,Redoute's Choice,Navajo Queen,PPG,117.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,6.0,1.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,15.0,0.0,0.0,0.0,0.0,355,$122571500
10,2/1/5/3,,CINQUANTE CINQ,B404,M Chadwick,,4,T P Yung,62,+2,1056,+12,,4,-,g,966000,+ 1,,Paul P Chow,Tavistock,Jugadora,PPG,115.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,8.0,2.0,5.0,0.0,0.0,0.0,0.0,378,$28320850,6.0,0.0,0.0,0.0,0.0,318,$27123515
11,9/4/2/9/6/4,,DEFINING MOMENT,C159,C Schofield,1,11,C Fownes,62,-1,1121,-9,,4,-,g,469200,+ 1,B,Didier Li Kwok Wai,Good Journey,Bella Bellucci,PP,115.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,4.0,4.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,7.0,0.0,0.0,0.0,0.0,383,$41599150
12,8/1/2/3/6,,I DO,C038,K C Leung,1,9,W Y So,61,0,1120,-7,,4,-,g,832600,+ 1,CP/TT,Ting Wing Keung,So You Think,Redoutebelle,PPG,114.0,TURF - A Course,1800M,GOOD,Class 3,8,HV,6.0,nan,5.0,0.0,0.0,0.0,0.0,380,$35009625,5.0,0.0,0.0,0.0,0.0,417,$29199425
