Draw,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Age,Season Stakes,AWT,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,SireRank,DamRank,horseRank,HorseMatchRank,JockeyRank,TrainerRank
5.0,44.0,19.0,1119.0,-7.0,6.0,0.0,117.0,4.0,8.0,11.0,1.0,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.25,4.5,0.19148936170212766,0.32038834951456313
8.0,48.0,12.0,1088.0,13.0,4.0,295050.0,121.0,4.0,3.0,5.0,2.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.25925925925925924,0.21568627450980393
7.0,56.0,23.0,1101.0,-13.0,4.0,22050.0,127.0,4.0,7.0,7.0,11.0,11.0,9.0,6.440471353108492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.12650602409638553,0.18556701030927836
3.0,40.0,3.0,1132.0,25.0,5.0,808500.0,111.0,4.0,5.0,3.0,4.0,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.5,10.5,0.0759493670886076,0.1746031746031746
4.0,51.0,14.0,1086.0,27.0,5.0,122850.0,122.0,4.0,7.0,8.0,5.0,9.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.25,4.5,0.17037037037037037,0.3150684931506849
10.0,50.0,5.0,1119.0,1.0,6.0,1033200.0,123.0,4.0,10.0,9.0,5.0,7.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,4.0,0.3333333333333333,7.5,0.43781094527363185,0.20476190476190476
11.0,59.0,8.0,1171.0,-11.0,6.0,428400.0,132.0,4.0,9.0,8.0,7.0,3.0,10.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,0.2857142857142857,6.0,0.23076923076923078,0.19708029197080293
2.0,58.0,-15.0,1204.0,23.0,3.0,2764950.0,131.0,4.0,4.0,3.0,2.0,3.0,3.0,6.440471353108492,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,6.0,0.35294117647058826,9.0,0.3219178082191781,0.3772455089820359
9.0,43.0,1.0,1031.0,-1.0,5.0,147000.0,116.0,4.0,3.0,10.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0707070707070707,0.2564102564102564
6.0,46.0,2.0,1194.0,11.0,7.0,1003800.0,119.0,4.0,8.0,7.0,2.0,4.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,5.0,0.5,10.5,0.2978723404255319,0.2857142857142857
1.0,60.0,17.0,1167.0,-7.0,6.0,1422225.0,131.0,4.0,12.0,10.0,5.0,2.0,4.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.3333333333333333,7.5,0.23497267759562843,0.16455696202531644
12.0,56.0,0.0,1120.0,7.0,5.0,2786050.0,129.0,4.0,3.0,9.0,11.0,5.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,7.0,0.6363636363636364,12.0,0.30434782608695654,0.32857142857142857
10.0,53.0,-7.0,1058.0,5.0,6.0,160650.0,124.0,4.0,9.0,4.0,5.0,4.0,12.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.42857142857142855,9.0,0.17037037037037037,0.07964601769911504
4.0,44.0,5.0,1163.0,-16.0,5.0,50400.0,117.0,4.0,9.0,14.0,3.0,14.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0707070707070707,0.32857142857142857
2.0,48.0,-21.0,1118.0,14.0,4.0,1129800.0,121.0,4.0,8.0,11.0,6.5646234676007005,6.536055923473142,6.447611710323574,6.440471353108492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.5,10.0,0.3219178082191781,0.32038834951456313
12.0,42.0,12.0,1261.0,-15.0,6.0,388500.0,113.0,4.0,9.0,12.0,8.0,8.0,3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.125,5.0,0.23497267759562843,0.22395833333333334
9.0,48.0,4.0,999.0,12.0,5.0,214200.0,121.0,4.0,6.0,10.0,10.0,12.0,11.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.16666666666666666,6.5,0.25925925925925924,0.3772455089820359
8.0,59.0,11.0,1032.0,-11.0,3.0,989100.0,130.0,4.0,6.0,10.0,10.0,11.0,3.0,6.440471353108492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0759493670886076,0.20476190476190476
11.0,56.0,39.0,1040.0,-11.0,6.0,730800.0,129.0,4.0,12.0,2.0,4.0,4.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,0.4,8.0,0.23076923076923078,0.19708029197080293
1.0,42.0,1.0,1067.0,3.0,8.0,947100.0,115.0,4.0,8.0,5.0,6.0,6.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.16666666666666666,6.5,0.20388349514563106,0.1746031746031746
6.0,58.0,5.0,1103.0,9.0,5.0,197400.0,124.0,4.0,3.0,5.0,6.0,1.0,4.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.14754098360655737,0.28160919540229884
3.0,60.0,1.0,1073.0,4.0,8.0,625800.0,133.0,4.0,4.0,3.0,4.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.6666666666666666,12.0,0.24761904761904763,0.17757009345794392
5.0,59.0,-14.0,1186.0,7.0,4.0,4581900.0,132.0,4.0,1.0,4.0,7.0,2.0,6.0,6.440471353108492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,7.0,0.5833333333333334,11.0,0.43781094527363185,0.2857142857142857
7.0,50.0,13.0,1173.0,3.0,5.0,810600.0,123.0,4.0,8.0,7.0,11.0,5.0,3.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,1.0,0.1111111111111111,4.0,0.30434782608695654,0.2564102564102564
3.0,73.0,33.0,1096.0,3.0,5.0,0.0,126.0,3.0,4.0,5.0,1.0,5.0,10.0,6.440471353108492,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.23076923076923078,0.3105590062111801
6.0,71.0,32.0,1184.0,-5.0,8.0,760200.0,122.0,3.0,11.0,11.0,7.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,0.17037037037037037,0.07964601769911504
1.0,72.0,16.0,963.0,14.0,4.0,529200.0,123.0,3.0,13.0,9.0,11.0,10.0,6.447611710323574,6.440471353108492,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.16666666666666666,8.0,0.0759493670886076,0.3150684931506849
9.0,74.0,-6.0,1114.0,18.0,4.0,1549925.0,127.0,3.0,11.0,11.0,6.5646234676007005,10.0,6.447611710323574,6.440471353108492,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,4.0,0.0707070707070707,0.18556701030927836
