date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET FAST,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,10.0,2.0,6.9,3.0,2.0,3/6/3/7/3/6,nan,CITRON SPIRIT,T286,C Schofield,nan,7.0,P F Yiu,96,-12,1036.0,+2,1.21.37,6.0,-,4346125.0,+ 1,H/XB,Lau Ng Mui Chu,Invincible Spirit,Citron Presse,PP,130.0,TURF - B Course,1400M,2,3,6,3,7,3,6,H,XB,None,None,None,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,7.0,2.0,0.23923444976076555,0.24378109452736318,5.5
20180902.0,10.0,1.0,2.9,2.0,1.0,1/8/9/2/2/1,nan,RATTAN,A061,N Callan,nan,13.0,R Gibson,99,-24,1150.0,+9,1.21.10,5.0,-,9546500.0,+ 1,CP,Wong Ting Bor,Savabeel,Grand Princess,PPG,133.0,TURF - B Course,1400M,2,1,8,9,2,2,1,CP,None,None,None,None,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,31.0,4.0,0.23893805309734514,0.19444444444444445,10.0
20180902.0,10.0,10.0,17.0,1.0,10.0,9/2/4/4/3/7,nan,WORLD RECORD,V040,G van Niekerk,nan,10.0,A T Millard,83,-10,1077.0,-29,1.21.55,6.0,-,2720250.0,1,XB,William Ching Hon Kuen & Raymond Ching Wei Man,Savabeel,Run Brony Run,PPG,117.0,TURF - B Course,1400M,2,9,2,4,4,3,7,XB,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.6,31.0,12.0,0.22666087711680669,0.23834196891191708,7.0
20180902.0,8.0,4.0,3.5,8.0,4.0,3/3/6,nan,VILLA FIONN,B339,Z Purton,nan,4.0,C S Shum,74,+13,999.0,+20,1.21.91,4.0,-,0.0,+ 1,B,Yeung Kwong Fat,Sebring,Aeronwy,PP,127.0,TURF - B Course,1400M,3,3,3,6,6.675155784340404,6.657052206518754,6.618059792556327,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0,12.0,2.0,0.39768339768339767,0.2236842105263158,7.0
20180902.0,8.0,2.0,10.0,7.0,2.0,9/2/7/4/10/8,nan,GOD OF DRAGON,B108,C Murray,nan,1.0,D E Ferraris,76,+12,1039.0,+14,1.21.77,4.0,-,448500.0,1,nan,Mark's Friend Syndicate,Red Dazzler,Pardees,PP,129.0,TURF - B Course,1400M,3,9,2,7,4,10,8,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.25,1.0,1.0,0.09523809523809523,0.14136125654450263,2.5
20180902.0,8.0,9.0,2.0,6.0,9.0,2/2/4/1/3,nan,NOBLE STEED,A326,C Schofield,1,8.0,K W Lui,63,-21,1149.0,+1,1.21.99,5.0,-,2649600.0,+ 1,nan,Choi Wong Ling Ling Choi Kam Shan & Choi Yun Chor,Street Cry,Extension Of Time,ISG,116.0,TURF - B Course,1400M,3,2,2,4,1,3,6.618059792556327,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,3.0,2.0,0.23923444976076555,0.19337016574585636,6.0
20180902.0,8.0,3.0,12.0,5.0,3.0,7/3/8/3/1/6,nan,ROUNDABOUT,T352,C Wong,nan,2.0,A T Millard,75,+6,1125.0,+1,1.21.75,7.0,-,365700.0,1,SR,Sustainable Operation Syndicate,I Am Invincible,Fidele,PP,118.0,TURF - B Course,1400M,3,7,3,8,3,1,6,SR,None,None,None,None,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.4375,10.0,7.0,0.28,0.23834196891191708,5.0
20180902.0,8.0,8.0,9.5,4.0,8.0,1/12/14/7/7/10,nan,FLASH FAMOUS,B162,K Teetan,nan,5.0,F C Lor,64,+10,1098.0,-3,1.23.19,4.0,-,446200.0,1,B/TT,Prime Shop Syndicate,Ilovethiscity,Ruparani,PP,117.0,TURF - B Course,1400M,3,1,12,14,7,7,10,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.22666087711680427,8.516066000868433,2.1493703864524534,0.2773722627737226,0.475,7.192574902301346
20180902.0,8.0,7.0,12.0,3.0,7.0,3/4/12/9/7/5,nan,GREEN CARD,V126,D Whyte,1,3.0,J Moore,65,-10,1156.0,-10,1.21.49,6.0,-,1773300.0,+ 1,B/TT,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,All American,Cristallo,PP,118.0,TURF - B Course,1400M,3,3,4,12,9,7,5,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.35714285714285715,7.0,5.0,0.2109704641350211,0.3014705882352941,4.0
20180902.0,8.0,1.0,50.0,2.0,1.0,3/4/4/1/11/9,nan,GENERAL SHERMAN,V125,C Y Ho,nan,6.0,A S Cruz,80,+3,1091.0,+18,1.23.10,6.0,-,610650.0,1,TT,Mike Cheung Shun Ching,Teofilo,Cromac,PP,131.0,TURF - B Course,1400M,3,3,4,4,1,11,9,TT,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.14225941422594143,0.2727272727272727,1.0
