raceNo,Horse No.,Horse,draw,pred_finish_time,pred_plc
1,2,BEST EFFORT,11,108842.0,1.0
1,7,KEEP WINNING,7,109230.0,2.0
1,6,FORTUNE PATROL,3,109294.0,3.0
1,5,LUCKY WIN WIN,4,109378.0,4.0
1,9,GORGEOUS AGAIN,1,109590.0,5.0
1,4,VIRTUS STAR,9,109906.0,6.0
1,10,PEARL FURU,6,109910.0,8.0
1,12,ROMANTIC JOURNEY,14,109910.0,8.0
1,14,ROCKET GO,5,109946.0,9.0
1,13,CELEBRATION,10,109966.0,10.0
1,11,PROUD SKY,12,110422.0,11.0
1,1,ABOVE,8,110454.0,12.0
1,8,YOUNG GLORY,13,110542.0,13.0
1,3,VICTORIOUS LEADER,2,110906.0,14.0
2,14,LUCKY STORM,8,82726.0,1.0
2,1,MAJESTIC ENDEAVOUR,1,82944.0,2.0
2,8,NEVER BETTER,6,83298.0,3.0
2,7,LOTUS BREEZE,5,83308.0,4.0
2,9,SOCCER BRAVE,13,83356.0,5.0
2,11,KEEP GOING,4,83408.0,6.0
2,3,MASSIVE MILLENNIUM,10,83432.0,7.0
2,2,GODSPEED,2,83512.0,8.0
2,10,SUREWIN,3,83638.0,9.0
2,6,GUERDON HELMET,7,83724.0,10.0
2,4,ROOKIE STAR,9,83750.0,11.0
2,13,LEISURED FEET,14,83900.0,12.0
2,12,LIGHTNING MISSILE,11,84106.0,13.0
2,5,GAINFULJET,12,84456.0,14.0
3,5,CARE FREE PRINCE,6,81690.0,1.0
3,2,SONIC FIGHTER,9,82058.0,2.0
3,6,SOCCER MASTER,4,82470.0,3.0
3,12,HAPPY BOYBOY,10,82826.0,4.0
3,7,DRAGON LEGEND,12,82868.0,5.0
3,8,FAIRY FLOSS,11,82922.0,6.0
3,11,EMERALD SPUR,5,83070.0,7.0
3,4,LASTING FRIENDSHIP,14,83074.0,8.0
3,3,THOU SHALL SING,3,83182.0,9.0
3,10,GALLANT LEGACY,7,83456.0,10.0
3,13,WONDER EXPRESS,1,83482.0,11.0
3,1,VOYAGE KING,2,83592.0,12.0
3,9,TIGERLAD,8,83974.0,13.0
3,14,INTREPIC,13,84082.0,14.0
4,2,LITTLE WISE MAN,11,69414.0,1.0
4,12,SUPER MODEL,8,69666.0,2.0
4,4,ISLAND WINNER,9,69926.0,3.0
4,10,FORTUNE HAPPINESS,10,69990.0,4.0
4,9,SUPER EURO STAR,1,70138.0,5.0
4,5,SPEEDY MISSILE,4,70150.0,6.0
4,3,HUMBLE STEED,6,70250.0,7.0
4,6,BEST FOR YOU,3,70258.0,8.0
4,7,FARM BUMPER,5,70410.0,9.0
4,11,NICE FANDANGO,2,70518.0,10.0
4,8,NEW DYNAMIC,12,70926.0,11.0
4,1,GLENEALY GENERALS,7,71122.0,12.0
5,11,NICE KICK,9,82482.0,1.0
5,3,ULTIMATE GLORY,7,82674.0,2.0
5,13,VITAL SPRING,14,82764.0,3.0
5,8,APPLAUSE,6,82776.0,4.0
5,10,IRON BRAVO,13,82792.0,5.0
5,9,GENERAL TRUMP,2,82800.0,6.0
5,12,FAMILY LEADER,5,82814.0,7.0
5,5,SPIRIT PATCH,10,82902.0,8.0
5,6,STRATHBARRA,3,82930.0,9.0
5,4,STARLIT KNIGHT,4,82938.0,10.0
5,1,AMAZING,11,82970.0,11.0
5,2,BEAUTY LOYAL,8,83088.0,12.0
5,7,BLISSFUL EIGHT,12,83546.0,13.0
5,14,KING MORTAR,1,83758.0,14.0
6,6,SPEEDY DRAGON,9,69666.0,1.0
6,10,SUNSHINE WARRIOR,6,69998.0,2.0
6,2,DIAMOND DRAGON,8,70042.0,3.0
6,7,BEAUTY APPLAUSE,3,70098.0,4.0
6,11,JIMSON THE DRAGON,5,70134.0,5.0
6,4,SUPER EIGHTEEN,11,70178.0,6.0
6,5,FRESH POWER,4,70178.0,6.0
6,3,EPTIMUM,10,70638.0,8.0
6,9,SNORLAX,12,70834.0,9.0
6,12,LITTLE ISLAND,7,70900.0,10.0
6,1,VOYAGE STAR,2,70934.0,11.0
6,8,DIVINE POWER,1,71412.0,12.0
7,8,GOOD STANDING,5,2.0694175313966755e+17,1.0
7,12,SUPERICH,12,2.0694175313966778e+17,2.0
7,10,WORLD RECORD,8,2.0694175313966813e+17,3.0
7,2,THE ALFONSO,13,2.0694175313966816e+17,4.0
7,1,JOLLY BANNER,14,2.069417531396682e+17,5.0
7,9,PEARL GREEN,9,2.069417531396683e+17,6.0
7,14,DUKE DA VEGA,6,2.069417531396683e+17,6.0
7,4,BORN IN CHINA,3,2.0694175313966832e+17,9.0
