date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190522,8,12,HINCHINLOVE,1060919.0,2.0
20190522,8,11,FAT TURTLE,2214209.0,10.0
20190522,8,10,HANDSOME BO BO,720345.0,1.0
20190522,8,9,FANTASTIC FEELING,1516620.0,6.0
20190522,8,8,MONTREAL,1284768.0,5.0
20190522,8,7,CALIFORNIA ARCHER,1900287.0,8.0
20190522,8,6,YEE CHEONG BABY,1992032.0,9.0
20190522,8,5,TORNADO TWIST,1898718.0,7.0
20190522,8,4,LITTLE BIRD,2386164.0,11.0
20190522,8,3,HIGH FIVE,2827224.0,12.0
20190522,8,2,SUPER TURBO,1086471.0,3.0
20190522,8,1,FORTUNE BOOTH,1252961.0,4.0
20190522,7,12,WINNING SUPREME,1677890.0,8.0
20190522,7,11,ZERO HEDGE,1891440.0,9.0
20190522,7,10,HAPPY TIME,1919896.0,10.0
20190522,7,9,FEARLESS FIRE,1497803.0,5.0
20190522,7,8,SMART LEADER,1499321.0,6.0
20190522,7,7,WINNING FEELING,1350258.0,4.0
20190522,7,6,MOST BEAUTIFUL,1550195.0,7.0
20190522,7,5,SPARKLING DRAGON,2840369.0,12.0
20190522,7,4,MR GENUINE,1054138.0,1.0
20190522,7,3,ENDEARING,1116421.0,2.0
20190522,7,2,HAPPY FAMILY,1117727.0,3.0
20190522,7,1,TELECOM PUMA,1986882.0,11.0
20190522,6,12,CEREFINO,1841482.0,11.0
20190522,6,11,MIGHTY MAVERICK,1157972.0,4.0
20190522,6,10,MANNA FROM HEAVEN,1610728.0,9.0
20190522,6,9,HARBOUR ALERT,657444.0,3.0
20190522,6,8,ELITE PATCH,1269906.0,6.0
20190522,6,7,GOLDEN DASH,1781629.0,10.0
20190522,6,6,LOVING A BOOM,415549.0,1.0
20190522,6,5,SHANGHAI MASTER,1890842.0,12.0
20190522,6,4,PLANET STAR,1423640.0,7.0
20190522,6,3,BALLISTIC KING,641005.0,2.0
20190522,6,2,CALIFORNIA ARGENT,1499499.0,8.0
20190522,6,1,STARLIGHT,1203453.0,5.0
20190522,4,12,CAPTAIN BOSS,1651233.0,10.0
20190522,4,11,HAPPY COOPERATION,644694.0,2.0
20190522,4,10,CURLING LUXURY,2066862.0,11.0
20190522,4,9,GOUTEN OF GARO,2127468.0,12.0
20190522,4,8,SUPER EURO STAR,647580.0,3.0
20190522,4,7,MONEYMORE,1080254.0,4.0
20190522,4,6,HIGH REV,293295.0,1.0
20190522,4,5,CHACHAUP,1611867.0,9.0
20190522,4,4,PRECIOUS SWEETIE,1451967.0,6.0
20190522,4,3,THE SHOW,1090961.0,5.0
20190522,4,2,SUNNY DRAGON,1520549.0,8.0
20190522,4,1,JUMBO PRIZE,1496946.0,7.0
20190522,2,12,HURRICANE HUNTER,1089241.0,4.0
20190522,2,11,JUNZI,1326828.0,6.0
20190522,2,10,BRAVE COMMAND,1896774.0,10.0
20190522,2,9,BLOOMING SPIRIT,2509641.0,11.0
20190522,2,8,TAKINGUFURTHER,651867.0,2.0
20190522,2,7,DR LUCKY STAR,1454847.0,8.0
20190522,2,6,VERY LUCKY,1740294.0,9.0
20190522,2,5,LUCKY THOUGHT,570113.0,1.0
20190522,2,4,CHEER WIN,1210744.0,5.0
20190522,2,3,SUPER EIGHTEEN,2826192.0,12.0
20190522,2,2,THE ABRAXAS,1451651.0,7.0
20190522,2,1,E STAR,1024274.0,3.0
