date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190518,4,10,MR CROISSANT,70401.0,4.0
20190518,4,9,RED DESERT,70716.0,8.0
20190518,4,8,BEST ALLIANCE,70385.0,3.0
20190518,4,7,HIGHLAND FORTUNE,70585.0,7.0
20190518,4,6,BIG PARTY,69290.0,1.0
20190518,4,5,WON WON TOO,70831.0,9.0
20190518,4,4,AFRICAN SKY,70472.0,6.0
20190518,4,3,KEY WITNESS,70081.0,2.0
20190518,4,2,DREAM COME TRUE,70443.0,5.0
20190518,3,12,ROYAL CHOCOLATE,70828.0,9.0
20190518,3,11,GLITTERING ARMOUR,69911.0,1.0
20190518,3,10,REGENCY DARLING,70560.0,5.0
20190518,3,9,GOLDEN GENERAL,70686.0,7.0
20190518,3,8,HASTA LUEGO,70543.0,4.0
20190518,3,7,CALIFORNIA LEGEND,70738.0,8.0
20190518,3,6,PROMISE KEPT,70936.0,11.0
20190518,3,5,ONE STEP AHEAD,71034.0,12.0
20190518,3,4,FOREVER BRIGHT,70651.0,6.0
20190518,3,3,DIAMOND BRILLIANT,69929.0,2.0
20190518,3,2,ALL YOU NEED,70367.0,3.0
20190518,3,1,JOYFUL HEART,70848.0,10.0
20190518,1,12,DOUBLE DOUBLE,71246.0,11.0
20190518,1,11,SUNNY ORIENT,71041.0,6.0
20190518,1,10,PADDINGTON,69937.0,1.0
20190518,1,9,NASHASHUK,70577.0,4.0
20190518,1,8,LAUGH OUT LOUD,71515.0,12.0
20190518,1,7,RICHCITY FORTUNE,70051.0,3.0
20190518,1,6,ADONIS,70867.0,5.0
20190518,1,5,M REBORN,69989.0,2.0
20190518,1,4,BIG BULLY,71121.0,9.0
20190518,1,3,WHAMPOA STAR,71226.0,10.0
20190518,1,2,ROYAL PREROGATIVE,71085.0,8.0
20190518,1,1,LIVERBIRD STAR,71079.0,7.0
