date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190522.0,1,1,SEIZE THE SPIRIT,102564.0,3.0
20190522.0,1,2,WICKER,102778.0,5.0
20190522.0,1,3,OPEN HOUSE,102077.0,2.0
20190522.0,1,4,LETSGOFREE,103132.0,8.0
20190522.0,1,5,MEGATRON,105354.0,12.0
20190522.0,1,6,COME ON WONGCHOY,103915.0,10.0
20190522.0,1,7,SHINING BRIGHT,103985.0,11.0
20190522.0,1,8,WONDERFUL TIGER,100710.0,1.0
20190522.0,1,9,MASTER BERNINI,102586.0,4.0
20190522.0,1,10,BONITO,103124.0,7.0
20190522.0,1,11,LITTLE FANTASY,103252.0,9.0
20190522.0,1,12,GOBI STORM,102893.0,6.0
20190522.0,3,1,GOLD WIN,101854.0,9.0
20190522.0,3,2,RACING LUCK,101018.0,4.0
20190522.0,3,3,HANG'S DECISION,101248.0,6.0
20190522.0,3,4,XIANG YIN,101297.0,7.0
20190522.0,3,5,MAGNIFICENT,102308.0,11.0
20190522.0,3,6,MY ALLY,98606.0,1.0
20190522.0,3,7,BIG BANG BONG,101359.0,8.0
20190522.0,3,8,LAST KINGDOM,103512.0,12.0
20190522.0,3,9,JENERATOR,100827.0,3.0
20190522.0,3,10,WIN WIN,101865.0,10.0
20190522.0,3,11,LUCKY TIME,100801.0,2.0
20190522.0,3,12,MAGNETISM,101153.0,5.0
20190522.0,5,1,HAPPY WARRIOR,104429.0,11.0
20190522.0,5,2,SALTO OLIMPICO,95935.0,1.0
20190522.0,5,3,ACCLAIMED LIGHT,101483.0,3.0
20190522.0,5,4,SPARKLING SWORD,102958.0,7.0
20190522.0,5,5,GOOD FOR YOU,102698.0,6.0
20190522.0,5,6,FAITHFUL TRINITY,104048.0,9.0
20190522.0,5,7,REMARKABLE,103631.0,8.0
20190522.0,5,9,GENTRY,100545.0,2.0
20190522.0,5,10,DREAM WARRIORS,104382.0,10.0
20190522.0,5,11,MISTER MONTE,102325.0,5.0
20190522.0,5,12,FAMILY LEADER,102106.0,4.0
