date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190526.0,2,1,DALRADIAN,70776.0,12.0
20190526.0,2,2,CHICKEN DANCE,70788.0,14.0
20190526.0,2,3,EMPIRE STAR,70631.0,6.0
20190526.0,2,4,FOCUS,70567.0,3.0
20190526.0,2,5,HAPPY FOREST,70676.0,9.0
20190526.0,2,6,V CHEVALIERS,70658.0,8.0
20190526.0,2,7,VICTORY IN HAND,70021.0,1.0
20190526.0,2,8,SUPREME PLUS,70570.0,4.0
20190526.0,2,9,WINNING WARRIOR,70723.0,10.0
20190526.0,2,10,SHINING ACE,70467.0,2.0
20190526.0,2,11,GREAT FIT,70773.0,11.0
20190526.0,2,12,MR MAGELLAN,70635.0,7.0
20190526.0,2,13,LET'S COME BACK,70595.0,5.0
20190526.0,2,14,TEST THE STARS,70779.0,13.0
20190526.0,7,1,DAN CONTROL,69936.0,3.0
20190526.0,7,2,LOCKHEED,70323.0,9.0
20190526.0,7,3,SIMPLY BIG,70443.0,11.0
20190526.0,7,4,CALIFORNIA TURBO,70366.0,10.0
20190526.0,7,5,TRIUMPHANT ARCH,70185.0,6.0
20190526.0,7,6,DECISIVE ACTION,70311.0,8.0
20190526.0,7,7,FALCON TURBO,69986.0,4.0
20190526.0,7,8,HAIR TRIGGER,70276.0,7.0
20190526.0,7,9,AEROHAPPINESS,69603.0,1.0
20190526.0,7,10,THE JUDGE,70107.0,5.0
20190526.0,7,11,TOP SCORE,69865.0,2.0
20190522.0,2,1,E STAR,71695.0,12.0
20190522.0,2,2,THE ABRAXAS,70942.0,5.0
20190522.0,2,3,SUPER EIGHTEEN,71159.0,10.0
20190522.0,2,4,CHEER WIN,71084.0,8.0
20190522.0,2,5,LUCKY THOUGHT,70785.0,1.0
20190522.0,2,6,VERY LUCKY,71005.0,6.0
20190522.0,2,7,DR LUCKY STAR,70904.0,4.0
20190522.0,2,8,TAKINGUFURTHER,70864.0,3.0
20190522.0,2,9,BLOOMING SPIRIT,71103.0,9.0
20190522.0,2,10,BRAVE COMMAND,70857.0,2.0
20190522.0,2,11,JUNZI,71028.0,7.0
20190522.0,2,12,HURRICANE HUNTER,71162.0,11.0
20190522.0,4,1,JUMBO PRIZE,71055.0,9.0
20190522.0,4,2,SUNNY DRAGON,70482.0,1.0
20190522.0,4,3,THE SHOW,70780.0,3.0
20190522.0,4,4,PRECIOUS SWEETIE,71069.0,10.0
20190522.0,4,5,CHACHAUP,71351.0,12.0
20190522.0,4,6,HIGH REV,70837.0,4.0
20190522.0,4,7,MONEYMORE,70976.0,8.0
20190522.0,4,8,SUPER EURO STAR,70737.0,2.0
20190522.0,4,9,GOUTEN OF GARO,70889.0,6.0
20190522.0,4,10,CURLING LUXURY,71158.0,11.0
20190522.0,4,11,HAPPY COOPERATION,70888.0,5.0
20190522.0,4,12,CAPTAIN BOSS,70935.0,7.0
20190522.0,6,1,STARLIGHT,70173.0,2.0
20190522.0,6,2,CALIFORNIA ARGENT,70459.0,7.0
20190522.0,6,3,BALLISTIC KING,70694.0,10.0
20190522.0,6,4,PLANET STAR,70455.0,6.0
20190522.0,6,5,SHANGHAI MASTER,70429.0,5.0
20190522.0,6,6,LOVING A BOOM,69297.0,1.0
20190522.0,6,7,GOLDEN DASH,70489.0,8.0
20190522.0,6,8,ELITE PATCH,70943.0,12.0
20190522.0,6,9,HARBOUR ALERT,70318.0,3.0
20190522.0,6,10,MANNA FROM HEAVEN,70871.0,11.0
20190522.0,6,11,MIGHTY MAVERICK,70367.0,4.0
20190522.0,6,12,CEREFINO,70559.0,9.0
20190522.0,7,1,TELECOM PUMA,70394.0,5.0
20190522.0,7,2,HAPPY FAMILY,70483.0,6.0
20190522.0,7,3,ENDEARING,70023.0,2.0
20190522.0,7,4,MR GENUINE,70231.0,4.0
20190522.0,7,5,SPARKLING DRAGON,70509.0,7.0
20190522.0,7,6,MOST BEAUTIFUL,70095.0,3.0
20190522.0,7,7,WINNING FEELING,70902.0,12.0
20190522.0,7,8,SMART LEADER,70692.0,11.0
20190522.0,7,9,FEARLESS FIRE,70619.0,10.0
20190522.0,7,10,HAPPY TIME,70578.0,8.0
20190522.0,7,11,ZERO HEDGE,69903.0,1.0
20190522.0,7,12,WINNING SUPREME,70615.0,9.0
20190522.0,8,1,FORTUNE BOOTH,70071.0,5.0
20190522.0,8,2,SUPER TURBO,77040.0,12.0
20190522.0,8,3,HIGH FIVE,70039.0,3.0
20190522.0,8,4,LITTLE BIRD,71133.0,11.0
20190522.0,8,5,TORNADO TWIST,70090.0,7.0
20190522.0,8,6,YEE CHEONG BABY,70004.0,2.0
20190522.0,8,7,CALIFORNIA ARCHER,69696.0,1.0
20190522.0,8,8,MONTREAL,70522.0,10.0
20190522.0,8,9,FANTASTIC FEELING,70080.0,6.0
20190522.0,8,10,HANDSOME BO BO,70060.0,4.0
20190522.0,8,11,FAT TURTLE,70119.0,8.0
20190522.0,8,12,HINCHINLOVE,70188.0,9.0
