date,raceNo,Horse No.,Horse,pred_finishTime,pred_plc
20190605.0,4,1,ORIENTAL ELITE,70987.0,9.0
20190605.0,4,2,HERO TIME,71583.0,11.0
20190605.0,4,3,GOOD FOR YOU,70383.0,1.0
20190605.0,4,4,PACKING ROCKSTAR,70696.0,4.0
20190605.0,4,5,RELIABLE TEAM,70956.0,8.0
20190605.0,4,6,THE SHOW,70803.0,5.0
20190605.0,4,7,CALLING THE SHOTS,71370.0,10.0
20190605.0,4,8,BLISSFUL EIGHT,70585.0,2.0
20190605.0,4,9,WINNERS BROTHER,70618.0,3.0
20190605.0,4,10,HIGH REV,70860.0,6.0
20190605.0,4,11,CHARITYDREAM,72036.0,12.0
20190605.0,4,12,COMPASSION STAR,70862.0,7.0
20190605.0,7,1,SUPREME PATROL,70573.0,11.0
20190605.0,7,2,HARRIER JET,70533.0,10.0
20190605.0,7,3,SHANGHAI MASTER,70158.0,5.0
20190605.0,7,4,SMART LEADER,70285.0,6.0
20190605.0,7,5,BUOYANT BOY,69951.0,3.0
20190605.0,7,6,BALLISTIC KING,70525.0,9.0
20190605.0,7,7,GOLDEN DASH,70125.0,4.0
20190605.0,7,8,ELITE PATCH,69921.0,2.0
20190605.0,7,9,ZERO HEDGE,69742.0,1.0
20190605.0,7,10,STRATHALLAN,70473.0,7.0
20190605.0,7,11,JUMBO PRIZE,70624.0,12.0
20190605.0,7,12,STARLIGHT,70518.0,8.0
